* SSDNum   CHNum  Mean  
    0      0       102.5 
    0      1        95.5 
    0      2        86.5 
    0      3       122.5 
    0      4        80.5 
    0      5       112.5 
    0      6       118.5 
    0      7       106.5 
    0      8        93.5 
    0      9        88.5 
    0     10       108.5 
    0     11        80.5 
    0     12       112.5 
    0     13       108.5 
    0     14       101.5 
    0     15       112.5 
    1      0        75.5 
    1      1        98.5 
    1      2        82.5 
    1      3        90.5 
    1      4       100.5 
    1      5        75.5 
    1      6       106.5 
    1      7       101.5 
    1      8        90.5 
    1      9       104.5 
    1     10        99.5 
    1     11        91.5 
    1     12        85.5 
    1     13       101.5 
    1     14        84.5 
    1     15        83.5 
    2      0        81.5 
    2      1        83.5 
    2      2        82.5 
    2      3        89.5 
    2      4        92.5 
    2      5       100.5 
    2      6        99.5 
    2      7       109.5 
    2      8        91.5 
    2      9        85.5 
    2     10       109.5 
    2     11        92.5 
    2     12       101.5 
    2     13        93.5 
    2     14       110.5 
    2     15        82.5 
    3      0       116.5 
    3      1        79.5 
    3      2        86.5 
    3      3        82.5 
    3      4        97.5 
    3      5        78.5 
    3      6        80.5 
    3      7        80.5 
    3      8        76.5 
    3      9        75.5 
    3     10       102.5 
    3     11        79.5 
    3     12       104.5 
    3     13        83.5 
    3     14        82.5 
    3     15        76.5 
