 *Fit function = par[0]+par[1]*x && y = a*x + b (y=Energy, x=Ch);  so I define a = par[1], b = par[0]
 *SSDNum  CHNum     par_a       Errpar_a          par_b        Errpar_b
    0      0      0.0247941    0.000584123       -1.42235       0.157114
    0      1      0.0237796    0.000340044      -0.997502      0.0892954
    0      2      0.0249964     1.6872e-05       -1.11412     0.00429354
    0      3      0.0242199     0.00013892       -1.74932      0.0401258
    0      4      0.0250393    5.16475e-05      -0.971886      0.0128275
    0      5      0.0259275     0.00140236       -2.12897         0.3989
    0      6      0.0249289    0.000181173       -1.94457      0.0522597
    0      7      0.0244708    6.43917e-05       -1.56581      0.0179258
    0      8       0.024768    0.000142009       -1.16856      0.0367834
    0      9      0.0241717    7.39246e-05      -0.960945       0.018986
    0     10      0.0249702    5.53027e-05       -1.64038      0.0152526
    0     11      0.0248281    0.000505237      -0.969448       0.126502
    0     12      0.0250716    0.000392888       -1.82503       0.110813
    0     13      0.0247799    0.000620092       -1.62276       0.171896
    0     14      0.0241393    0.000265255       -1.28521      0.0717768
    0     15      0.0246786    0.000373525       -1.70316       0.105186
    1      0       0.025254    0.000143596      -0.824579      0.0345246
    1      1       0.024515    3.46414e-05       -1.26493     0.00920149
    1      2       0.024234    0.000157444       -0.89153      0.0398818
    1      3      0.0244662     8.3249e-05       -1.14098      0.0217354
    1      4      0.0242702     9.1554e-05       -1.34583      0.0248688
    1      5      0.0242223    0.000452408      -0.710652       0.111278
    1      6      0.0247898    0.000379583       -1.57513       0.104454
    1      7      0.0247671    0.000387925       -1.46636       0.105145
    1      8      0.0255526     0.00100216       -1.51825       0.265312
    1      9      0.0248848    0.000429375       -1.60714       0.118256
    1     10      0.0249037     0.00123358       -1.44449       0.331436
    1     11      0.0242484    0.000145992       -1.24284      0.0390721
    1     12      0.0255172    0.000799313       -1.34661       0.206532
    1     13      0.0245171    0.000125456       -1.42694      0.0341493
    1     14      0.0246645    0.000203201       -1.02871      0.0517029
    1     15       0.024223    0.000438962      -0.822321        0.10999
    2      0      0.0256442    0.000178843       -1.04437       0.043876
    2      1      0.0256072    0.000361066       -1.17339      0.0905267
    2      2      0.0254974    4.02709e-05       -1.14289      0.0100921
    2      3      0.0253738    1.38983e-05        -1.2483     0.00355764
    2      4      0.0250894     1.5907e-05       -1.18728     0.00407932
    2      5      0.0259917    0.000275751       -1.63452      0.0730017
    2      6      0.0254093      2.992e-05       -1.57633     0.00803407
    2      7      0.0256198    0.000116007       -1.83262      0.0320537
    2      8      0.0254415    0.000161797       -1.23332      0.0412108
    2      9          0.026    0.000226011       -1.28252      0.0567574
    2     10      0.0256854    0.000201585       -1.79204      0.0552388
    2     11      0.0252086    0.000142748       -1.33086      0.0372465
    2     12      0.0254914    1.72928e-05       -1.53465     0.00460023
    2     13      0.0254461     0.00016429       -1.44653      0.0432138
    2     14      0.0258176    2.94962e-05       -1.85995     0.00811878
    2     15      0.0255505    0.000192288       -1.21178       0.048606
    3      0              0              0              0              0
    3      1      0.0198133    8.64366e-05       -1.26508      0.0284083
    3      2      0.0190197    3.55304e-06       -1.34673     0.00123171
    3      3      0.0198077    0.000149819       -1.32526      0.0497083
    3      4      0.0197671    9.05403e-05       -1.60309      0.0313735
    3      5      0.0194171     0.00016488        -1.2108      0.0548348
    3      6       0.018845    7.04661e-05        -1.2123      0.0241522
    3      7      0.0193707    5.25841e-05       -1.25279      0.0176439
    3      8      0.0191889    8.62302e-05       -1.18185       0.028889
    3      9      0.0198808    3.10677e-05       -1.13815     0.00997789
    3     10      0.0197949    6.52119e-05       -1.74215      0.0230229
    3     11      0.0200104     2.1762e-05       -1.25835     0.00707454
    3     12      0.0188199    1.77894e-06       -1.60489    0.000647625
    3     13      0.0198437    4.97447e-06       -1.36644      0.0016578
    3     14       0.019906    0.000105577       -1.31521       0.034803
    3     15      0.0199081      5.084e-05       -1.19622      0.0164538
