*SSDNum  CHNum   mean1     mean2     mean3    sigma1    sigma2    sigma3     Chi21     Chi22     Chi23     Xmin1     Xmax1     Xmin2     Xmax2     Xmin3     Xmax3
0         0     255.451   269.436   281.991   3.61787   3.31827   3.50773   7.77596   13.4033   3.70209   251.644   261.038   264.795   274.457   278.036   288.056
0         1      248.57   262.626   275.808   3.78252   3.48019   3.27464   3.69531   9.68157    12.436   244.317   255.309   258.914   268.825   272.429   284.683
0         2      240.99   254.767   267.567   3.79151   3.45726   3.29709   6.52991   2.00902   11.4891   236.337   246.778   250.199   260.101   263.881   276.303
0         3     275.525   289.164    302.21   3.61541   3.66784   3.20535   1.05415    2.6214   5.51262   271.337   279.798   284.659   295.461   299.061   312.204
0         4     234.711   248.477   261.078   3.62095   3.57534   3.12546   7.29894   3.15674   15.4422   231.237   239.878   244.379     253.2   256.801   269.763
0         5      271.13   285.016   297.596   3.78542   3.59291    3.4241   5.05683   12.7669   10.2692   264.857   275.119   279.259   291.502   294.382   309.145
0         6     274.648   288.772   301.667   3.65871   3.48743    3.1924   8.59156   5.56938   3.06559   268.697   279.318   283.639   294.801   298.222   309.384
0         7     264.616   278.594   291.386   3.83901   3.51352    3.7358   13.7285   12.0422   8.55711   258.937   269.739    273.34   284.502   287.202   299.444
0         8     245.617   259.436   272.087   3.72805   3.48427   3.58713   8.49171   8.63237   5.50957   240.816   249.998   253.778    265.48   267.821   280.423
0         9     243.056   256.933   269.828   3.83238    3.5875   3.31987     10.23   9.61516   26.8154   238.337   249.318   252.019   262.641   265.521   277.943
0        10      262.47   276.035   288.794   3.55927   3.65137   3.25413   6.40467   10.9022   12.5154   258.517   267.518   270.939    280.66   285.521   297.403
0        11     236.782   250.832   263.295    3.6862    3.5092   3.84815   1.59193   11.2615   5.69533   230.877   242.219   245.459   256.621   259.141   274.084
0        12     268.641   282.694   295.411   3.73296   3.42769   3.41306   11.2737   7.21918   11.1052   263.417   273.678   277.639   288.981   291.682   303.924
0        13     263.467   277.689   290.359   3.75442   3.40118   3.09587   12.7363   5.89003   14.2251   258.057   268.678   274.079   283.621   286.862   298.564
0        14     256.675   270.703   283.417   3.68992   3.48656   3.37772  0.666248   7.76396   6.64804   252.237   261.598   266.279   276.181   279.241   291.303
0        15     268.164   282.113   294.057   3.57909   3.27219   3.58643   10.8213   4.74784    4.5041   262.877   274.039   277.999   287.181   290.061   305.004
1         0     226.954    240.71   253.538   3.07994   2.95387   2.78487   4.94976   3.01533   6.89704   222.796   232.338   235.939   247.461   249.081   262.043
1         1     252.039   266.118   279.183   3.30584    3.2416   3.06551   12.2769   12.5421    7.7562   246.697   258.039   261.459   272.261   274.961   289.724
1         2     239.072   253.378   266.601   3.29938   3.20944   2.85199   4.95213   16.2344   7.08562   233.397   244.199   247.439   258.781   261.842   274.984
1         3     247.305   261.602   274.386   3.37835   2.99023   3.15592   20.4586   8.03007   17.3113   241.397   252.919    256.88   266.601   269.482   281.904
1         4     257.606   271.779   284.905   3.21529   3.07465    3.2218   9.29442   12.4219   14.8047   252.297   262.559    267.06   278.582   280.922   291.004
1         5     232.466   246.384   259.075   3.27924   3.04717   3.07079   8.69462   5.69769   7.27431   226.757   237.379    241.52   251.421   255.022   267.264
1         6     261.396   275.579   288.233   3.14546   3.05812   3.24099   6.21446   17.5501   10.6381   257.037   267.299   270.899   280.801   283.322   297.904
1         7     257.401   271.503   284.001   3.19851   3.13017   3.21017   7.30493   7.43574   16.7119   251.677   263.199    268.06   278.141   280.122   296.685
1         8     251.172   265.631   279.025   3.52726   3.36333   3.13436   7.28473    2.4129   13.5691   245.358    257.42    260.84   271.642   275.603   286.225
1         9     261.541   275.777    288.93   3.42657   3.25003   3.45653   20.2689   33.0029   8.63661   255.037   266.919    270.16   282.402   284.562   300.585
1        10     254.967   269.455   282.199    3.4869     3.415   3.83635   17.3136   26.5068   16.0728   250.217   260.659   263.539   275.601   277.942   295.945
1        11     253.332   267.867   280.995   3.56237   3.36226   3.93899   25.8718   30.2798   15.2378   246.538    259.32   263.821   274.803   277.143   296.586
1        12     244.795   258.915   271.768   3.44205   3.24624   4.30024   6.67329   7.18714   15.5025   239.818    250.62    254.76   264.302   267.542   290.046
1        13     258.128   272.425   285.725   3.52413   3.66258   4.14798   29.5927   11.8814   16.3193   252.297   263.099    267.78   278.582   281.642   298.745
1        14     240.535   254.878   267.967   3.18492   2.93818   2.80248   8.90766   5.90823   17.8126   236.117   247.459    251.42   261.322   264.202   279.685
1        15     236.499   250.691   264.092    3.5094   3.21916    2.2722   6.79971   16.8319    14.933   230.076   243.579   246.099   257.801   260.141   272.564
