* Fit function: E_MeV = k * E_CH + h, then E_CH = 1/k * E_MeV - h/k 
* 1,2,3 represent using alpha peak1,peak2, and peak3 to calibrate the energy,respectively. 
* SSDNum  CHNum      k1        h1          k2           h2          k3          h3       k11=1./k1  h11=-h1/k1   k22=1./k2  h22=-h2/k2   k33=1./k3  h33=-h3/k3
    0       0    0.111846    -9.10173     0.11045    -8.98811   0.0965326    -7.85554     8.94084      81.377     9.05386      81.377     10.3592      81.377
    0       1    0.110828     -8.1124    0.109474    -8.01328   0.0954242    -6.98486     9.02298      73.198     9.13459      73.198     10.4795      73.198
    0       2    0.109965    -7.17472    0.108844    -7.10162   0.0950914    -6.20429     9.09382     65.2456     9.18742     65.2456     10.5162     65.2456
    0       3    0.111004    -11.2125    0.109889    -11.0999   0.0958312    -9.67994     9.00868      101.01     9.10008      101.01      10.435      101.01
    0       4    0.110968    -6.61748    0.109782    -6.54671   0.0959636     -5.7227     9.01159      59.634       9.109      59.634     10.4206      59.634
    0       5     0.10773    -9.83428    0.106743    -9.74422   0.0934833    -8.53379     9.28251     91.2868      9.3683     91.2868     10.6971     91.2868
    0       6    0.109616    -10.7056    0.108339    -10.5808   0.0946454    -9.24349     9.12272     97.6645     9.23032     97.6645     10.5658     97.6645
    0       7    0.107913    -9.15957    0.106877    -9.07162   0.0935076    -7.93685     9.26672     84.8792     9.35656     84.8792     10.6943     84.8792
    0       8    0.111362    -7.99031    0.110097     -7.8995   0.0961867    -6.90145      8.9797     71.7506     9.08292     71.7506     10.3964     71.7506
    0       9    0.109911    -7.39824    0.108728    -7.31858   0.0949441    -6.39078     9.09824      67.311     9.19727      67.311     10.5325      67.311
    0      10    0.110494    -9.61176    0.109447    -9.52069   0.0955967    -8.31588     9.05028     86.9891     9.13685     86.9891     10.4606     86.9891
    0      11    0.108839    -6.44573    0.107636    -6.37453   0.0942512    -5.58182     9.18791     59.2228     9.29053     59.2228     10.6099     59.2228
    0      12    0.108693    -9.87761    0.107502    -9.76942   0.0940214    -8.54431     9.20023     90.8762     9.30211     90.8762     10.6359     90.8762
    0      13    0.109478    -9.49869    0.108136     -9.3823   0.0945739    -8.20559     9.13429     86.7638     9.24761     86.7638     10.5737     86.7638
    0      14    0.110203     -8.8529    0.108928    -8.75046   0.0952117    -7.64862     9.07417     80.3327      9.1804     80.3327     10.5029     80.3327
    0      15    0.109078    -9.90208    0.107936    -9.79841   0.0947615    -8.60244     9.16776     90.7799     9.26476     90.7799     10.5528     90.7799
    1       0   0.0831647    -4.92405   0.0822979    -4.87272    0.071868    -4.25518     12.0243     59.2084      12.151     59.2084     13.9144     59.2084
    1       1   0.0811596    -6.37518   0.0803078    -6.30828   0.0701486    -5.51026     12.3214     78.5512     12.4521     78.5512     14.2555     78.5512
    1       2   0.0795786    -5.01978   0.0787427    -4.96705   0.0687987    -4.33979     12.5662     63.0795     12.6996     63.0795     14.5352     63.0795
    1       3   0.0803306    -5.91452   0.0794477    -5.84951   0.0695357    -5.11972     12.4486     73.6272     12.5869     73.6272     14.3811     73.6272
    1       4   0.0800478    -6.67665   0.0792575    -6.61072   0.0692749    -5.77809     12.4925     83.4082     12.6171     83.4082     14.4352     83.4082
    1       5   0.0810562    -4.88482   0.0802818    -4.83815   0.0702582    -4.23408     12.3371     60.2646     12.4561     60.2646     14.2332     60.2646
    1       6   0.0807626    -7.09765    0.079893    -7.02122   0.0699474    -6.14717      12.382     87.8828     12.5167     87.8828     14.2965     87.8828
    1       7   0.0807896    -6.82375   0.0799627    -6.75391   0.0700669    -5.91807     12.3778     84.4632     12.5058     84.4632     14.2721     84.4632
    1       8   0.0789965    -5.87772    0.078175    -5.81659   0.0682987    -5.08174     12.6588     74.4047     12.7918     74.4047     14.6416     74.4047
    1       9   0.0800662    -6.90969   0.0792448    -6.83881    0.069253    -5.97651     12.4897     86.2997     12.6191     86.2997     14.4398     86.2997
    1      10   0.0803317    -6.48187   0.0793828     -6.4053   0.0695067    -5.60841     12.4484     80.6888     12.5972     80.6888     14.3871     80.6888
    1      11   0.0782202    -5.83335   0.0774298    -5.77441   0.0677736    -5.05429     12.7844     74.5761     12.9149     74.5761      14.755     74.5761
    1      12    0.079325    -5.47928   0.0786095    -5.42986   0.0688316    -4.75446     12.6064     69.0739     12.7211     69.0739     14.5282     69.0739
    1      13   0.0797979    -6.61155   0.0789646    -6.54251   0.0689671    -5.71418     12.5317     82.8537     12.6639     82.8537     14.4997     82.8537
    1      14   0.0800326    -5.31705   0.0791574     -5.2589   0.0691944      -4.597     12.4949      66.436     12.6331      66.436      14.452      66.436
    1      15   0.0820434    -5.38877   0.0810876    -5.32599   0.0706813    -4.64249     12.1887     65.6819     12.3323     65.6819      14.148     65.6819
    2       0   0.0303582    -2.14034   0.0300171    -2.11629   0.0261579    -1.84421       32.94     70.5028     33.3144     70.5028     38.2293     70.5028
    2       1   0.0294284    -2.08109   0.0291224    -2.05945   0.0254684    -1.80105     33.9807     70.7171     34.3378     70.7171     39.2643     70.7171
    2       2   0.0296452    -2.11973   0.0293164    -2.09622   0.0255836    -1.82932     33.7323     71.5033     34.1106     71.5033     39.0875     71.5033
