*SSDNum  CHNum   mean1     mean2     mean3    sigma1    sigma2    sigma3     Chi21     Chi22     Chi23     Xmin1     Xmax1     Xmin2     Xmax2     Xmin3     Xmax3
0         0     184.635   190.747   196.646   1.02767   1.01278   0.92558  0.513582   10.8177   1.08687    182.68   187.104   188.668   193.762   195.014    201.27
0         1     132.442   138.608   144.413    1.0222  0.938887  0.893212 0.0561653   2.43401   1.16453   130.501   135.212   136.744   140.689   142.528   149.193
0         2     167.677   173.763   179.529  0.955335  0.916107  0.926579   1.09271   1.37103   2.37587   165.958   169.605    171.75   175.825   177.756   182.296
0         3     133.431   139.453   145.305  0.965256   1.05562  0.9138954.46221e-08   52.5631 0.0327237   131.758   135.424   137.489   141.829   143.809   147.685
0         4      147.75   153.906    159.66  0.968749  0.981676  0.922941   14.1225   14.8056   5.08867   146.335   149.744   152.004   156.064   157.788   162.423
0         5     134.553   140.575   146.355  0.940298  0.953225  0.942679    1.3635    33.363   2.48318    132.67   137.109   138.823   143.963    144.82   150.661
0         6     167.743   173.808   179.622  0.962558  0.956997  0.924914   6.24407   2.36595    8.7439   166.126   169.942   171.967   176.173   177.887   184.585
0         7     130.859    136.98    142.67   1.05176   1.03838  0.956307   1.46451   29.3718   2.00192   129.048   133.487   134.812   139.718   140.575   147.117
0         8      169.03   174.941   180.714  0.872785  0.998677  0.9277991.74774e-07   32.5616   1.67505   167.747   171.383   173.017   178.002   179.187   184.989
0         9     167.565   173.635   179.427   1.00344  0.975026  0.918985  0.463139   2.20698   1.74085   166.078       170   171.798   176.006   177.845   182.257
0        10      170.17     176.2   182.092   1.05833   1.03313  0.901379    13.882   19.9789   2.64345   168.849    172.71    174.39   178.931   180.504   187.618
0        11     166.631   172.569   178.333   1.03498  0.990881  0.897197  0.486416    1.8441  0.107456   164.771   168.611    170.55   174.944   176.923   181.752
0        12     143.061   149.033    154.88   1.00347  0.981442  0.859652   28.5521   28.9512  0.757247   141.527   145.567   147.247   151.502   153.361   159.295
0        13     161.937   168.108   173.913   1.07758   1.07035  0.963747   56.0117    11.599   2.55482   159.799    164.51   166.272   170.486   172.324   177.266
0        14     206.683   212.801   218.523   1.00216  0.971686   1.01494  0.154861   2.04189    21.885   204.955   208.709   210.782   214.965   216.252   222.258
0        15     154.092   160.202   165.977   1.10382   1.09239  0.902814   16.2833   19.8072   3.60482   151.707   157.133   157.567   162.733   163.862   170.374
1         0     220.768   228.219    235.35    1.1005  0.991662  0.987031   95.7011   92.9602   19.7434   218.363   223.919   226.437   230.778   233.426   238.723
1         1      152.26   159.812   166.803   1.03664   1.05268  0.925749   55.99431.12228e-07   7.97664   150.425   154.819    157.51    161.31   164.952   169.741
1         2     181.468   188.762   195.741   0.94615    0.9711  0.981753   2.12052   12.9577   8.63985    179.96    183.66   186.831   191.706   193.938   197.932
1         3     175.621    183.06   190.129   1.05443   0.98823   0.86597   180.026   51.3631  0.268189   173.155   178.425   180.951   184.959   188.802   192.975
1         4      159.45   166.905   174.026   1.05506    1.1027  0.931663   145.268   186.572   16.4255   157.088   161.852   164.469   169.442   172.217   176.509
1         5     158.622    165.81   172.654  0.953322  0.919272  0.854686   4.13939   20.5848   14.1392   156.682   160.765   163.653   168.035   170.675   175.804
1         6     156.918   164.149   171.313  0.896351   1.01214  0.8722721.19904e-07    48.205   2.63293   155.552   159.337   162.248     167.1   169.817   174.378
1         7     154.446   161.619   167.934  0.978821   1.11058   1.49201   2.79447   30.7467   28.4176   152.646   156.813   160.123   164.372   166.088   172.176
1         8     154.204   161.728   168.855   1.04054   0.94044   0.94549   51.5983   17.9611   7.41827   152.438   156.989   159.854   164.236    167.27   171.315
1         9     182.746    190.19   197.192   1.01922  0.905459   0.87526   76.0388   3.13293    1.3923    181.38   185.673   188.762   193.473   195.672   202.477
1        10     191.069   198.633   205.696   1.02593  0.923788  0.916894   61.7525    22.405    10.661   189.063   193.943   196.839   201.129   203.918   209.441
1        11      180.28   187.598   194.592   0.92471  0.925643  0.9315516.00665e-07   7.98935   2.58302   178.782   182.467   185.853   189.787   193.073   198.202
1        12      193.38   200.666   207.577   0.92717  0.950732  0.862036   1.38797   28.0728   5.65653   191.952   195.874   198.857   203.842    206.13   211.033
1        13     172.564   179.917   186.886  0.936471  0.975901  0.920473   1.50878   21.3438   16.5559   170.836   174.858   177.807   182.678   185.226   190.588
1        14     166.928   174.263   181.035   1.01365  0.891844  0.940497    64.932  0.300267    20.386   164.981   169.978   172.841   176.674   179.488   185.165
1        15     170.856   178.057   185.017   1.46509    1.1136  0.939762   32.4165   5.99368    2.4748   168.043   173.858   176.148    180.26   183.079    189.54
2         0     232.299   245.498   257.512   1.32016   1.22757   1.26405    49.514   49.1094   18.7017   230.229   235.749   243.326   249.846   255.484   261.827
2         1      225.26   238.689   251.006   1.40801   1.25735   1.22794    271.42    116.73    11.376   222.347   229.182   235.888   243.368   249.171   256.908
2         2     240.705   253.853   266.067   1.34674   1.29161   1.27048   170.592    145.82   25.8259   238.252   243.927   250.632   258.112   263.141   270.363
2         3     243.467   256.598   268.943   1.16373   1.26465   1.23031   5.91351   95.2862   20.4375   241.697    246.63   254.442   260.315   266.894   272.238
2         4     251.272   264.623   277.069   1.30346   1.28477   1.11927   71.3993   74.9668   20.8465   248.671   254.732   261.696   268.402   274.978   281.684
2         5     200.514   214.024   226.485   1.32222   1.18546   1.25925   125.529    72.045   45.6099   198.344   204.534   211.627   218.848   224.265    233.55
2         6     230.342   243.807   256.383   1.32566   1.29897   1.23338   130.393   150.495    23.651   228.152   234.858   240.919   247.109   253.943   261.036
2         7      205.68   219.038    231.24   1.34723   1.18106   1.24968   120.477   31.1636   11.4732   203.091   210.183   216.631   223.466   229.011   235.072
2         8      244.87   258.056   270.691   1.20544   1.31183    1.1901   66.5133   148.048   17.5071   242.894   248.826   255.403   262.109   268.685   275.391
2         9     236.774   249.765   261.949   1.23071   1.26014   1.29399   90.3857     156.7    38.474   234.509    240.57   247.018   255.142   259.398   265.072
2        10     216.169   229.515    241.81   1.40806   1.27777   1.25694   390.206    99.589    16.862   213.413   221.924   226.954   233.659   239.334   245.266
2        11     223.136   236.288   248.714    1.2594   1.33627   1.22298    56.328   222.587   50.2948   221.347   226.248   233.469    240.82   246.365   257.843
2        12     244.499   257.794   270.259    1.3375   1.28602   1.22869   126.102   128.163   12.5494   242.347   248.666   254.727   262.336   267.881   274.587
2        13     240.543   253.849   266.263   1.33911   1.30661    1.2807   136.134   134.385   14.8519   238.474   245.051   251.112    257.56   264.266   270.327
2        14     249.513   263.091   275.465   1.33874   1.19204   1.23353   99.9039   49.6385   23.3121   246.927   253.246   260.725   266.141   273.234   287.935
