* Consider the deadlayer effects on the fit parameters of peak1 and peak2 
* 1,2 represent using alpha peak1,peak2, respectively. 
* SSDNum  CHNum        k1             h1             k2           h2          <deadlayer>(um)     deadlayer(um)       E1_ELoss           E2_ELoss
    0      0      0.0708401       -4.02193      0.0714979       -4.05927              0                 0                   0                   0
    0      1      0.0712521       -3.53553      0.0719176       -3.56855              0                 0                   0                   0
    0      2      0.0700591       -4.10153      0.0706025       -4.13335              0                 0                   0                   0
    0      3      0.0697449       -3.76181      0.0705103       -3.80309              0                 0                   0                   0
    0      4      0.0706524       -4.18501      0.0711326       -4.21345              0                 0                   0                   0
    0      5      0.0700076        -4.2964       0.070493       -4.32619              0                 0                   0                   0
    0      6      0.0694313       -5.07453      0.0698852        -5.1077              0                 0                   0                   0
    0      7      0.0692309       -4.25961      0.0697408       -4.29098              0                 0                   0                   0
    0      8      0.0691101       -5.29064      0.0696799       -5.33426              0                 0                   0                   0
    0      9      0.0701699       -3.99755       0.070567       -4.02017              0                 0                   0                   0
    0     10      0.0692354       -6.44922      0.0697599       -6.49808              0                 0                   0                   0
    0     11      0.0706019       -3.90613      0.0711522       -3.93658              0                 0                   0                   0
    0     12      0.0710032       -2.63349      0.0716688       -2.65817              0                 0                   0                   0
    0     13      0.0694135       -4.82625      0.0699317       -4.86227              0                 0                   0                   0
    0     14      0.0705503       -4.41915      0.0710608       -4.45113              0                 0                   0                   0
    0     15      0.0700794       -3.77778      0.0707885       -3.81601              0                 0                   0                   0
    1      0      0.0693742       -3.89001      0.0700016       -3.92519              0                 0                   0                   0
    1      1       0.066339       -3.82853      0.0671768       -3.87688              0                 0                   0                   0
    1      2      0.0560069       -3.44174      0.0564019       -3.46601              0                 0                   0                   0
    1      3      0.0562999       -2.99868      0.0567395        -3.0221              0                 0                   0                   0
    1      4      0.0560599       -4.55211      0.0566233       -4.59786              0                 0                   0                   0
    1      5      0.0555705        -4.1786      0.0560102       -4.21166              0                 0                   0                   0
    1      6      0.0563719       -3.16112      0.0568147       -3.18595              0                 0                   0                   0
    1      7      0.0548708       -3.67092      0.0554062       -3.70674              0                 0                   0                   0
    1      8      0.0551731        -4.2166      0.0556871       -4.25588              0                 0                   0                   0
    1      9      0.0559464       -3.06617      0.0564051       -3.09131              0                 0                   0                   0
    1     10      0.0553563       -3.98908      0.0558834       -4.02707              0                 0                   0                   0
    1     11      0.0530566       -3.78835      0.0536277       -3.82913              0                 0                   0                   0
    1     12       0.056511       -3.28246      0.0569244       -3.30647              0                 0                   0                   0
    1     13      0.0562666       -3.43886      0.0567134       -3.46617              0                 0                   0                   0
    1     14      0.0560244       -4.74674      0.0564907       -4.78625              0                 0                   0                   0
    1     15      0.0584635       -4.95111      0.0589901       -4.99571              0                 0                   0                   0
    2      0      0.0279988       -2.27059      0.0278589       -2.25924        1.21938              0.98            0.145252            0.139026
    2      1      0.0274819       -1.67033      0.0273454       -1.66203        1.21938              1.14            0.169248            0.161969
    2      2      0.0281865       -1.99909      0.0280463       -1.98915        1.21938              1.44            0.214418            0.205138
    2      3      0.0280452       -1.17427      0.0279051        -1.1684        1.21938              1.47             0.21895            0.209468
    2      4      0.0280873       -1.64711      0.0279474       -1.63891        1.21938              1.52            0.226509            0.216689
    2      5      0.0282526       -1.41538      0.0281118       -1.40833        1.21938              1.24            0.184256            0.176315
    2      6      0.0274949       -1.40197      0.0273582         -1.395        1.21938              0.89            0.131797            0.126158
    2      7      0.0280525       -1.43424      0.0279131       -1.42712        1.21938               1.5            0.223462            0.213778
    2      8      0.0278348       -1.92131      0.0276963       -1.91175        1.21938              1.18            0.175255            0.167711
    2      9      0.0280499        -1.4613      0.0279104       -1.45403        1.21938              1.33            0.197804            0.189263
    2     10      0.0281031        -1.3347      0.0279628       -1.32804        1.21938              1.16            0.172233            0.164823
    2     11      0.0283769       -1.86709      0.0282352       -1.85777        1.21938              0.99            0.146763            0.140471
    2     12       0.028099       -1.67808      0.0279589       -1.66971        1.21938              1.33            0.197804            0.189263
    2     13      0.0282517       -1.47659      0.0281111       -1.46924        1.21938              1.05            0.155733            0.149048
    2     14      0.0288832       -2.49688      0.0287395       -2.48446        1.21938              1.11            0.164745            0.157665
    2     15      0.0278617       -1.09884      0.0277226       -1.09336        1.21938              1.18            0.175255            0.167711
    3      0      0.0161199       -1.47925      0.0160955       -1.47701              0                 0                   0                   0
    3      1      0.0160378       -1.37074      0.0160086       -1.36825              0                 0                   0                   0
    3      2      0.0158367        -1.2678      0.0158105        -1.2657              0                 0                   0                   0
    3      3      0.0158139       -1.07617      0.0157906       -1.07458              0                 0                   0                   0
    3      4      0.0160645       -1.10414      0.0160187       -1.10099              0                 0                   0                   0
    3      5      0.0160192       -1.31034      0.0159984       -1.30864              0                 0                   0                   0
    3      6      0.0159991       -1.51818      0.0159717       -1.51558              0                 0                   0                   0
    3      7      0.0158399       -1.36247      0.0158016       -1.35918              0                 0                   0                   0
    3      8      0.0159732       -1.37385       0.015946       -1.37152              0                 0                   0                   0
    3      9      0.0157443        -1.1997      0.0157127       -1.19729              0                 0                   0                   0
    3     10       0.015897       -1.49873      0.0158781       -1.49695              0                 0                   0                   0
    3     11      0.0161337       -1.44544       0.016099       -1.44233              0                 0                   0                   0
    3     12      0.0161187       -1.57092      0.0160835       -1.56748              0                 0                   0                   0
    3     13      0.0161677       -1.48463      0.0161075        -1.4791              0                 0                   0                   0
    3     14      0.0161877       -1.50876      0.0161212       -1.50256              0                 0                   0                   0
    3     15      0.0160172       -1.57523      0.0159927       -1.57282              0                 0                   0                   0
