*EntryIndex         SSDNum     CHNum   ECh_Cut       ECh
0              1         7   115.958       164
0              3        13   121.802      4090
100              2        14   93.2145      1868
100              3         9   119.005      1019
500              1         4   80.3077       800
700              4         9   143.887       533
700              4        14    137.63       490
800              3        14   113.862       396
1000              1         4   80.3077       117
1000              2        10   104.049       165
1000              4         6   137.113       232
1200              2         7   78.1233       168
1200              2         8   73.6897       105
1200              3         4   119.489      1052
1200              3        14   113.862       569
1300              4         6   137.113       425
1400              4         9   143.887       544
1600              1         6    80.145       129
1600              3        16   109.747       279
1700              4        14    137.63       537
1800              1         4   80.3077       597
1800              2         5    79.497       647
1800              2        16   90.0124       301
1900              2         2   72.8214       280
2200              2         5    79.497       400
2200              3         7   103.528       844
2300              3         9   119.005       560
2300              3        11    94.393       501
2400              3         2   101.445      1307
2400              3         3   120.387       365
2400              3         4   119.489       189
2400              3         5   129.761       189
2400              3         6    71.929       139
2400              3         7   103.528       173
2400              3         8   85.0236       154
2400              3         9   119.005       190
2400              3        10   114.462       180
2400              3        11    94.393       158
2400              3        12   100.569       160
2400              3        13   121.802       175
2400              3        14   113.862       166
2400              3        15    124.42       171
2400              3        16   109.747       126
2500              2         7   78.1233       710
2500              3        13   121.802       137
2500              4         3   149.066       650
2600              1         3   115.501       857
2600              4         7   126.957       161
2700              1         6    80.145       333
2700              3        15    124.42       600
2800              2         2   72.8214       450
2800              2        14   93.2145       716
2800              3         1   114.034       233
2900              2         3   102.754       221
2900              4        14    137.63       182
3000              2         8   73.6897       120
3000              2        15   89.7282       225
3000              4         5   135.466       137
3000              4         6   137.113       767
3100              1         1    132.18       169
3100              1        16   102.116       129
3100              3        13   121.802       144
3200              1         6    80.145       665
3200              2         2   72.8214       521
3200              2         8   73.6897       167
3200              3        13   121.802       153
3300              2         2   72.8214       122
3300              2        12   100.955       556
3300              3        10   114.462       160
3300              3        14   113.862       240
3500              1         8   79.2956      3255
3600              2        12   100.955       449
3600              2        14   93.2145       356
3700              1        13   91.8378       370
3700              2        13   117.267       160
3700              3         2   101.445       371
3800              1         6    80.145        85
3800              2         9   74.8055       432
3800              2        14   93.2145       249
3800              3        11    94.393       508
3800              4         8   170.329       326
3900              1        15    155.39       230
3900              3         6    71.929       409
4000              3         1   114.034       208
4000              3        10   114.462       143
4000              4         2   118.513      1242
4100              1        11   118.457       120
4100              4         5   135.466       195
4200              4        15   125.328       217
4300              1         1    132.18       388
4300              2         4   96.9622       209
4300              3         4   119.489       166
