    Z    A Einc(MeV)     ELossL1     ELossL2        ERes
    1    1         0           0           0           0
    1    1       0.1         0.1           0           0
    1    1       0.2         0.2           0           0
    1    1       0.3         0.3           0           0
    1    1       0.4         0.4           0           0
    1    1       0.5         0.5           0           0
    1    1       0.6         0.6           0           0
    1    1       0.7         0.7           0           0
    1    1       0.8         0.8           0           0
    1    1       0.9         0.9           0           0
    1    1         1           1           0           0
    1    1       1.1         1.1           0           0
    1    1       1.2         1.2           0           0
    1    1       1.3         1.3           0           0
    1    1       1.4         1.4           0           0
    1    1       1.5         1.5           0           0
    1    1       1.6         1.6           0           0
    1    1       1.7         1.7           0           0
    1    1       1.8         1.8           0           0
    1    1       1.9         1.9           0           0
    1    1         2           2           0           0
    1    1       2.1         2.1           0           0
    1    1       2.2         2.2           0           0
    1    1       2.3         2.3           0           0
    1    1       2.4         2.4           0           0
    1    1       2.5         2.5           0           0
    1    1       2.6         2.6           0           0
    1    1       2.7         2.7           0           0
    1    1       2.8         2.8           0           0
    1    1       2.9         2.9           0           0
    1    1         3           3           0           0
    1    1       3.1         3.1           0           0
    1    1       3.2         3.2           0           0
    1    1       3.3         3.3           0           0
    1    1       3.4     3.15816    0.241835           0
    1    1       3.5     2.87951    0.620485           0
    1    1       3.6     2.70125    0.898753           0
    1    1       3.7     2.56424     1.13576           0
    1    1       3.8     2.45154     1.34846           0
    1    1       3.9      2.3553      1.5447           0
    1    1         4     2.27113     1.72887           0
    1    1       4.1     2.19627     1.90373           0
    1    1       4.2     2.12884     2.07116           0
    1    1       4.3     2.06751     2.23249           0
    1    1       4.4     2.01128     2.38872           0
    1    1       4.5      1.9594      2.5406           0
    1    1       4.6     1.91126     2.68874           0
    1    1       4.7      1.8664      2.8336           0
    1    1       4.8     1.82441     2.97559           0
    1    1       4.9     1.78497     3.11503           0
    1    1         5     1.74782     3.25218           0
    1    1       5.1     1.71272     3.38728           0
    1    1       5.2     1.67947     3.52053           0
    1    1       5.3     1.64792     3.65208           0
    1    1       5.4      1.6179      3.7821           0
    1    1       5.5      1.5893      3.9107           0
    1    1       5.6     1.56199     4.03801           0
    1    1       5.7     1.53589     4.16411           0
    1    1       5.8     1.51089     4.28911           0
    1    1       5.9     1.48693     4.41307           0
    1    1         6     1.46392     4.53608           0
    1    1       6.1      1.4418      4.6582           0
    1    1       6.2     1.42053     4.77947           0
    1    1       6.3     1.40003     4.89997           0
    1    1       6.4     1.38027     5.01973           0
    1    1       6.5      1.3612      5.1388           0
    1    1       6.6     1.34278     5.25722           0
    1    1       6.7     1.32498     5.37502           0
    1    1       6.8     1.30775     5.49225           0
