*SSDNum  CHNum   mean1     mean2     mean3    sigma1    sigma2    sigma3     Chi21     Chi22     Chi23     Xmin1     Xmax1     Xmin2     Xmax2     Xmin3     Xmax3
0         0     255.292    269.23   281.973   3.87442   3.43995   3.21785   11.8143   19.9286   7.31578    248.84   261.454   264.338    275.33   277.853   289.747
0         1     248.514    262.62   275.808   3.85161   3.48621   3.27464   5.19502   9.68798    12.436   242.822   255.436   257.599   269.159   272.357   284.615
0         2     240.944   254.684   267.652   3.88479   3.55934    3.2307   8.03973   5.97949   11.7837   233.822   247.518    249.14   261.574   263.376    275.63
0         3     275.538   289.164   302.162   3.77888   3.66784   3.20894   3.40296    2.6214   4.67192   270.363   282.076   284.779   294.691   298.115   310.188
0         4     234.682   248.346   261.078   3.97878   3.74776   3.12546   18.0873   9.40164   15.4422   230.908    241.71    243.33   254.852   256.652   269.974
0         5     271.096   285.057   297.605   3.99023   3.54723    3.9587   27.2042   11.9002   5.08676   263.258   279.101   280.181   292.423   294.223   303.225
0         6     274.668   288.772    301.66   3.77856   3.48743   3.22807   10.9727   5.56938   3.24187   268.278    280.34     284.3   294.562   297.983   310.225
0         7     264.622    278.54   291.213   3.85323   3.88746    3.8357   13.7956   25.3693    9.9774   259.058    270.58    272.02   284.082   286.423   299.565
0         8     245.591   259.333   272.098   3.81224   3.51008   3.50266   24.4889  0.345478   6.23479   241.107   253.169    257.13   264.511   267.572   281.794
0         9     243.064    256.98   269.531   3.81826    3.7099   3.58489   10.2928   7.59211   38.2973   236.647    248.71    251.59   261.672   263.832   280.035
0        10     262.255   276.035   288.659   3.89751   3.65137   3.25105   17.6268   10.9022   11.5133   256.107   268.169    270.87   281.312   284.012   295.174
0        11     236.801    250.83   263.332   3.82711   3.50729   3.79382   6.25743   11.2603   5.50564   229.647    243.15    245.49   256.302   259.674   270.678
0        12     268.682   282.695   295.312   3.66205   3.42921    3.4759   10.1131   7.21873   11.4151   264.248    274.33   278.471   288.372   290.893   304.755
0        13     263.375   277.173   290.327     3.594   3.95023   3.58512   6.35443   30.6164   3.65833   258.268   267.809    270.51   284.372   287.433   296.434
0        14     256.635   270.547   283.417   3.78312   3.71269   3.37772   3.04361   19.7352   6.64804   249.567   261.989    263.97   278.012   278.912   290.974
0        15      268.19   282.079   293.929   3.65332    3.3294   3.86968   12.2125   4.99093   3.42472   263.168    274.51    276.85   287.112   288.552   301.334
1         0     226.916   240.658   253.538   3.14012   3.01384   2.78487   5.67226   5.05221   6.89704   222.127   232.929   234.549   246.611   249.492   260.834
1         1     252.025   266.133    279.03   3.27216   3.22404   3.18828   11.4554   12.3987   19.7249   247.467   257.369    261.87   271.772   273.392   286.354
1         2     239.081   253.368     266.6   3.27642    3.1927   2.84387   4.54261   16.5724   7.05898   234.078    243.62    247.04   260.182   261.803   273.325
1         3     247.431   261.557   274.449   3.20443   3.08657    3.1157   5.99043   13.1573   16.7542   242.698    253.32    255.84   266.462   269.523   280.685
1         4      257.56   271.789   284.879   3.30995   3.09035    3.0072   22.0592   10.4591   21.0887   251.178    263.06    266.84   277.102   280.343   292.945
1         5     232.414   246.383   259.075    3.1951   3.06371   3.06509   13.8176   7.06141    7.2648   226.898    238.24    242.38   253.002   255.343   265.604
1         6     261.411   275.491   288.233   3.31075   3.19186   3.24099   32.7358   27.1933   10.6381   255.557    267.98    269.96   281.482   282.742   298.045
1         7     257.365   271.473   283.993   3.28698   3.17992   3.20504   16.1124   7.57312   14.9231   251.458   262.439     267.3   277.202   280.263   290.704
1         8     251.175   265.572   278.739   3.53245   3.50294   3.31684   7.31845   9.32901   16.9642   245.138   257.561   260.261   273.043   275.023   287.086
1         9     261.604   275.841    288.69   3.36552   3.12109   3.61103   11.4518   24.7821   14.8622   255.898    267.78    271.02   280.922   284.163   299.026
1        10     254.967   269.341    282.21    3.4869   3.57751   3.81452   17.3136   48.4638   14.5941   249.638    261.16    263.14   275.562   278.082   293.745
1        11     253.337    267.69   281.048   3.57176   3.38834   3.83388   25.9725   18.9894   8.13799   247.039   259.641   262.341   273.503   277.104   290.426
1        12     244.755   258.756   271.791   3.49605   3.64858   4.26346   9.22652   31.7491   14.7862   238.698    250.58   253.101   264.983   267.683   283.346
1        13     258.198   272.379   285.544   3.42823   3.71652   4.25099   19.4011   12.9691   18.4869   252.978    263.78    266.66   279.263   281.423   297.806
1        14     240.424   254.763   267.972   3.33099   3.06284   2.78161   27.9635   14.0502   16.6061   233.557    246.52    249.58   261.642   263.983   274.784
1        15     236.462   250.594    263.99   3.56447   3.24077   2.31401   9.13496   17.0615   13.6029   229.317   242.459    244.98   256.862   259.022   270.004
2         0     231.833   245.225   257.898   1.82361    1.6003   1.47056   38.8038   29.2623   6.23647   226.543   236.215   240.342   249.756    254.14   261.553
2         1     237.226   250.796   263.403   1.76917   1.63565   1.54449    87.614   73.8183   3.40093   232.799   242.729   247.242   255.882   260.525   268.778
2         2     236.869   250.404   263.068   1.74984   1.60678   1.73803   94.2669   69.3099   19.1685   232.444   241.858   244.824   254.882   258.493   266.488
2         3     242.542     255.9   268.635   1.63731   1.56775   1.60547   26.9049   83.8004   11.0424   238.928   247.697   251.437   261.109   264.848   272.844
2         4     242.792   256.384   269.338   1.73475   1.65588   1.64616    59.717   61.3038   12.1777   237.833   247.505   251.373   261.045   264.398   272.394
2         5     251.423   264.748   277.082   1.65857   1.61335   1.43573   63.2939   89.7313   8.53473   247.478   254.828   259.858   268.627   273.011   281.651
2         6     254.871   268.516    281.18   1.71851   1.54081    1.4432   82.3431    38.296   19.2721   250.346   259.244   264.403   272.656   277.814   285.036
2         7     262.858   276.376   288.907   1.69887   1.63599   1.39125   84.1432   43.8871   22.2384   257.896   266.665   272.468   280.335   285.493   292.715
2         8      240.96   254.464   267.292   1.73543   1.55322    1.3853   71.9221   68.5403   6.14451   236.608   245.635   250.793   259.304   264.592   272.458
2         9     237.831   251.341    263.56   1.68681   1.53126    1.6101   28.5771    18.187   9.90869   233.703   242.988   247.501   256.141   260.784   269.295
2        10     260.441   273.898   286.523   1.82969   1.69722   1.47343   56.0376   75.9601   7.50787   256.026   265.182   268.922   279.239   283.881   291.619
2        11     247.285   260.948   273.682   1.84861   1.71186   1.69855    19.417   28.9477   14.1929   243.282   251.664   256.693   265.205   268.687   279.003
2        12      252.53   265.925   278.387   1.75812   1.63293   1.71099   75.0205   58.7228   11.8539   248.026   257.569   262.341   270.336   274.463   282.458
2        13     249.424   263.083   275.614   1.66672   1.50919   1.63443   112.843   56.0589   6.74589   244.411   253.954   259.112   266.721   271.879   281.293
2        14     261.937   275.286   287.532   1.62856   1.56776    1.8026   60.5428   99.8339   12.9894   257.961   265.956   270.083    280.27   284.139   292.263
2        15     239.312   252.978    265.62    1.7451   1.48729   1.61397   12.2825   4.21347    0.9009   235.087   243.856   249.788   257.139   262.684    269.39
3         0           0         0         0         0         0         0         0         0         0   345.956    356.56   361.959   372.755   378.347   387.987
3         1     301.164   311.449   318.139   2.76903   2.46517   2.32457   38.7478   46.2121   8.06879   295.882     306.1   307.257   315.548    315.74   323.452
3         2     318.163   328.818   336.106   2.63792   2.40312   2.21526   30.4231   34.9876   10.6081   312.679   322.897   324.054   332.152   332.537   340.624
3         3     314.558   331.721   347.509   1.85747   1.78493   1.90204   58.3672    48.164   21.3955   311.028   320.476   327.995   337.442   343.997   354.987
3         4     329.106   346.612   363.056   2.06821   1.69409    1.8532    93.294   3.91353  0.357706   324.257    332.74   343.923   351.056   359.539   366.287
3         5     315.877   332.883    349.28   3.10979   2.16754   1.71279   154.014    20.069   13.7113   309.692   323.573   328.586   338.226   345.359   354.807
3         6     324.804     342.9   359.769   2.67895   2.31907   1.97529   102.963   101.313   11.2123   321.717   329.622   338.491   348.516    355.65   364.326
3         7     318.103   335.794   352.109    2.0805   2.09732   1.90617   30.2121   37.0397   31.0047   314.198   321.332   332.514   341.383   348.131   357.578
3         8      317.34   335.019   351.894   1.87732   2.11145    1.8413   11.1717   19.2668   4.49435   314.054   320.416   330.635   339.889   347.987   356.663
3         9     303.557     321.1   337.851   2.17518   1.77558   1.47842   87.1557   7.33729 0.0733259   301.293   308.812   319.416     325.2    336.19   341.203
3        10     335.786   353.193   369.429   2.04106   1.99461   1.96144   20.4006   24.6323   11.2366   331.956    339.09   349.308    357.02   364.925   374.179
3        11     308.232   325.076   341.064   2.06181   1.88079   2.17906   58.7129    33.763   6.71908     305.1   312.812   321.103   329.393   337.491   344.431
3        12     346.084   364.236   381.378    2.2357    2.1686   2.50655   36.3295   62.3184   15.1198   341.861   350.344   360.948    370.01   376.951   384.277
3        13     316.032   333.485   349.759   1.84461   1.65646   1.71135   12.5816   2.08243   9.93141   312.764   319.897   330.501   337.442   346.503   354.215
3        14     312.533   329.924   345.784   1.92627   1.65555   1.89909   19.5545   21.6103   23.4108   309.836   317.162   327.766   333.743   342.419   349.938
3        15     306.642   323.814   340.383   1.67538   1.56564   1.34779   7.74542   8.59557  0.152548   304.992   310.969   321.959   327.936   338.539   342.974
