*SSDNum  CHNum   mean1     mean2     mean3    sigma1    sigma2    sigma3     Chi21     Chi22     Chi23     Xmin1     Xmax1     Xmin2     Xmax2     Xmin3     Xmax3
0         0      184.46   190.604    196.48   1.16364   1.17132     1.063  0.665713   9.89877   2.85136   182.212   186.812   188.059    193.75   194.452   198.974
0         1     132.117   138.336   144.302   1.14053   1.13055  0.784497   4.18869   6.56666  0.660909   129.978   134.968   135.981   141.517    142.53   147.286
0         2     167.477   173.613   179.383   1.07932   1.04831  0.949974   14.6018   28.8538    2.2534   164.978    170.28   171.215   176.049    176.75   181.506
0         3     133.259   139.391   144.996   1.05979   1.04473   1.14042   10.4036   17.6192   6.91797   130.684   135.513    137.07   141.743   142.366   148.364
0         4     147.535    153.71   159.519   1.02249   1.03766    1.0023   40.1368   42.5835   10.5593   144.503   150.111   150.812    156.03   156.809   162.339
0         5     134.172   140.328   146.068   1.07468  0.999046  0.984418   5.00705   2.23524   0.93404   131.553   137.005   138.329   143.314   144.092   148.454
0         6     167.417   173.598   179.605   1.05683  0.939536  0.978463   2.03254   2.38971   0.16112   165.437   170.033   171.746   176.497   178.055   183.195
0         7     130.692   136.919   142.433   1.05373   1.04753   1.02087    1.2576  0.601991   2.54234   128.761   133.435   135.538   140.289     140.6    145.04
0         8     168.814    174.84   180.557   1.04375    1.0462   1.04523   37.6005   28.4418  0.725899   166.048   171.422   172.357   177.186   177.653   183.806
0         9     167.155   173.259   179.143   1.13561   1.09218  0.934271   6.14738   14.8792   3.73293   164.126   169.734   170.357   175.731   176.743   182.429
0        10     169.837   175.995   181.959  0.994251   1.12927  0.900434  0.748369   12.5831  0.137837    167.36   172.111   172.967   179.198   179.821    184.65
0        11     166.272   172.239    178.05   1.16693   1.07207   1.06004   35.2989    20.119   3.63896    162.97   168.889   169.746   174.731    175.51   180.962
0        12     142.987   148.877   154.851   1.26468  0.930463  0.918134   5.38318   3.89374  0.226565   140.347   145.643   146.111   151.563   152.186    158.65
0        13     161.736   167.844   173.699   1.01794   1.05434  0.997601  0.973269   25.6383   6.37247   159.528   164.435   165.136    170.51   171.133    177.13
0        14     206.378   212.472   218.348   1.07557   1.02315   1.01989   9.16752   14.2946   2.49223   203.827   208.967   209.824   214.653   215.588   221.507
