* numtel = ssdindex * 9 + csiindex
* numtel      Z         A         ECsI_MeV        ECsI_Ch
    0         1         1        2.92481            160
    0         1         1        4.35796            191
    0         1         1         5.8256            222
    0         1         1        7.32206            253
    0         1         1        8.83878            284
    0         1         1        10.3598            315
    0         1         1        11.8703            346
    0         1         1        13.3735            377
    0         1         1         14.864            408
    0         1         1        16.3373            439
    0         1         1        17.7899            470
    0         1         1         19.219            501
    0         1         1        20.6225            532
    0         1         1         21.999            563
    0         1         1        23.3475            594
    0         1         1        24.6674            625
    0         1         1        25.9587            656
    0         1         1        27.2214            687
    0         1         1        28.4559            718
    0         1         1        29.6626            749
    0         1         1        30.8423            780
    0         1         1        31.9954            811
    0         1         1        33.1229            842
    0         1         1        34.2255            873
    0         1         1         35.304            904
    0         1         1        36.3592            935
    0         1         1         37.392            966
    0         1         1         38.403            997
    0         1         1         39.393           1028
    0         1         1        40.3628           1059
    0         1         1        41.3132           1090
    0         1         2        1.68021            160
    0         1         2        4.51673            218
    0         1         2        7.43331            276
    0         1         2        10.4457            334
    0         1         2        13.5457            392
    0         1         2        16.6907            450
    0         1         2        19.8494            508
    0         1         2        22.9296            566
    0         1         2        25.9689            624
    0         1         2        28.9514            682
    0         1         2        31.8707            740
    0         1         2        34.7228            798
    0         1         2        37.5055            856
    0         1         2        40.2179            914
    0         1         2        42.8608            972
    0         1         2        45.4352           1030
    0         1         2        47.9429           1088
    0         1         2        50.3862           1146
    0         1         2        52.7674           1204
    0         1         2         55.089           1262
    0         1         2        57.3534           1320
    0         1         2        59.5632           1378
    0         1         2        61.7207           1436
    0         1         2        63.8282           1494
    0         1         2        65.8879           1552
    0         1         2        67.9021           1610
    0         1         2        69.8725           1668
    0         1         2        71.8011           1726
    0         1         2          73.69           1784
    0         1         2        75.5406           1842
    0         1         3       0.555825            160
    0         1         3        4.72042            241
    0         1         3        8.94499            322
    0         1         3         13.298            403
    0         1         3        17.7539            484
    0         1         3        22.3165            565
    0         1         3        26.9441            646
    0         1         3        31.4925            727
    0         1         3        35.9001            808
    0         1         3        40.2076            889
    0         1         3        44.4084            970
    0         1         3         48.498           1051
    0         1         3        52.4764           1132
    0         1         3        56.3453           1213
    0         1         3        60.1079           1294
    0         1         3        63.7679           1375
    0         1         3        67.3296           1456
    0         1         3        70.7972           1537
    0         1         3        74.1752           1618
    0         1         3        77.4681           1699
    0         1         3        80.6802           1780
    0         1         3        83.8152           1861
    0         1         3        86.8772           1942
    0         1         3        89.8696           2023
    0         1         3        92.7957           2104
    0         1         3        95.6586           2185
    0         1         3        98.4616           2266
    0         1         3        101.207           2347
