* numtel = ssdindex * 9 + csiindex
* numtel      Z         A         ECsI_MeV        ECsI_Ch
    0         1         1        4.78068            200
    0         1         1        6.20932            230
    0         1         1        7.66311            260
    0         1         1        9.13385            290
    0         1         1        10.6032            320
    0         1         1        12.0649            350
    0         1         1        13.5184            380
    0         1         1        14.9596            410
    0         1         1        16.3845            440
    0         1         1        17.7899            470
    0         1         1        19.1733            500
    0         1         1        20.5328            530
    0         1         1         21.867            560
    0         1         1        23.1751            590
    0         1         1        24.4564            620
    0         1         1         25.711            650
    0         1         1        26.9387            680
    0         1         1          28.14            710
    0         1         1        29.3151            740
    0         1         1        30.4647            770
    0         1         1        31.5892            800
    0         1         1        32.6895            830
    0         1         1        33.7661            860
    0         1         1        34.8198            890
    0         1         1        35.8515            920
    0         1         1        36.8617            950
    0         1         1        37.8512            980
    0         1         1        38.8207           1010
    0         1         1        39.7708           1040
    0         1         1        40.7023           1070
    0         1         2        3.62936            200
    0         1         2        6.41781            256
    0         1         2        9.28986            312
    0         1         2        12.2565            368
    0         1         2        15.2761            424
    0         1         2        18.3268            480
    0         1         2        21.3396            536
    0         1         2        24.2995            592
    0         1         2        27.2103            648
    0         1         2        30.0664            704
    0         1         2         32.862            760
    0         1         2        35.5939            816
    0         1         2        38.2607            872
    0         1         2        40.8622            928
    0         1         2        43.3989            984
    0         1         2        45.8722           1040
    0         1         2        48.2837           1096
    0         1         2        50.6354           1152
    0         1         2        52.9294           1208
    0         1         2         55.168           1264
    0         1         2        57.3534           1320
    0         1         2        59.4879           1376
    0         1         2        61.5735           1432
    0         1         2        63.6124           1488
    0         1         2        65.6066           1544
    0         1         2         67.558           1600
    0         1         2        69.4683           1656
    0         1         2        71.3393           1712
    0         1         2        73.1728           1768
    0         1         2        74.9702           1824
    0         1         2        76.7329           1880
    0         1         3        2.62625            200
    0         1         3        6.73793            280
    0         1         3        10.9722            360
    0         1         3        15.3231            440
    0         1         3        19.7599            520
    0         1         3        24.3194            600
    0         1         3        28.8844            680
    0         1         3        33.2937            760
    0         1         3        37.6142            840
    0         1         3        41.8286            920
    0         1         3        45.9361           1000
    0         1         3         49.935           1080
    0         1         3        53.8261           1160
    0         1         3        57.6112           1240
    0         1         3        61.2937           1320
    0         1         3        64.8775           1400
    0         1         3        68.3666           1480
    0         1         3        71.7653           1560
    0         1         3        75.0778           1640
    0         1         3        78.3085           1720
    0         1         3        81.4613           1800
    0         1         3        84.5399           1880
    0         1         3         87.548           1960
    0         1         3        90.4891           2040
    0         1         3        93.3661           2120
    0         1         3        96.1822           2200
    0         1         3        98.9402           2280
    0         1         3        101.643           2360
    0         1         3        104.292           2440
    0         1         3        106.891           2520
    0         2         3       0.561022            200
    0         2         3        5.33419            286
    0         2         3        9.70583            372
    0         2         3        13.9293            458
    0         2         3         18.055            544
    0         2         3         22.113            630
    0         2         3         26.121            716
    0         2         3         30.084            802
    0         2         3        33.9859            888
    0         2         3        37.8669            974
    0         2         3        41.7306           1060
    0         2         3        45.5846           1146
    0         2         3        49.4345           1232
    0         2         3        53.2849           1318
    0         2         3        57.1392           1404
    0         2         3        61.0006           1490
    0         2         3        64.8716           1576
    0         2         3        68.7546           1662
    0         2         3        72.6514           1748
    0         2         3        76.5636           1834
    0         2         3        80.4927           1920
    0         2         3        84.4395           2006
    0         2         3        88.4055           2092
    0         2         3        92.3917           2178
    0         2         3        96.3988           2264
    0         2         3        100.428           2350
    0         2         3        104.479           2436
    0         2         3        108.553           2522
    0         2         3         112.65           2608
    0         2         3        116.773           2694
    0         2         3        120.919           2780
    0         2         4      0.0161949            200
    0         2         4        6.92597            326
    0         2         4        13.3768            452
    0         2         4        19.5544            578
    0         2         4        25.5655            704
    0         2         4        31.4744            830
    0         2         4        37.3143            956
    0         2         4        43.0536           1082
    0         2         4        48.7424           1208
    0         2         4        54.4021           1334
    0         2         4        60.0493           1460
    0         2         4        65.6938           1586
    0         2         4        71.3439           1712
    0         2         4        77.0059           1838
    0         2         4         82.685           1964
    0         2         4        88.3851           2090
    0         2         4        94.1102           2216
    0         2         4        99.8628           2342
    0         2         4        105.646           2468
    0         2         4        111.461           2594
    0         2         4        117.311           2720
    0         2         4        123.196           2846
    0         2         4        129.118           2972
    0         2         4        135.078           3098
    0         2         4        141.079           3224
    0         2         4        147.119           3350
    0         2         4        153.201           3476
    0         2         4        159.325           3602
    0         2         4        165.492           3728
    0         2         4        171.704           3854
    0         2         4        177.961           3980
    0         2         6              0            200
    0         2         6        6.21467            326
    0         2         6         13.059            452
    0         2         6        19.5162            578
    0         2         6        25.7456            704
    0         2         6         31.821            830
    0         2         6        37.8054            956
    0         2         6        43.7308           1082
    0         2         6        49.6141           1208
    0         2         6        55.4678           1334
    0         2         6         61.261           1460
    0         2         6        66.9735           1586
    0         2         6        72.6834           1712
    0         2         6         78.375           1838
    0         2         6         84.063           1964
    0         2         6        89.7501           2090
    0         2         6        95.4414           2216
    0         2         6         101.14           2342
    0         2         6         106.85           2468
    0         2         6        112.572           2594
    0         2         6         118.31           2720
    0         2         6        124.065           2846
    0         2         6         129.84           2972
    0         2         6        135.634           3098
    0         2         6         141.45           3224
    0         2         6        147.289           3350
    0         2         6        153.151           3476
    0         2         6        159.038           3602
    0         2         6        164.951           3728
    0         2         6         170.89           3854
    0         2         6        176.855           3980
    0         3         6              0            200
    0         3         6        6.02583            326
    0         3         6        14.3657            452
    0         3         6        21.9704            578
    0         3         6        29.1126            704
    0         3         6        35.9328            830
    0         3         6        42.5336            956
    0         3         6        48.9511           1082
    0         3         6        55.2322           1208
    0         3         6        61.3787           1334
    0         3         6         67.409           1460
    0         3         6        73.3717           1586
    0         3         6        79.2732           1712
    0         3         6        85.1291           1838
    0         3         6        90.9483           1964
    0         3         6        96.7396           2090
    0         3         6         102.51           2216
    0         3         6        108.264           2342
    0         3         6        114.008           2468
    0         3         6        119.746           2594
    0         3         6        125.481           2720
    0         3         6        131.216           2846
    0         3         6        136.954           2972
    0         3         6        142.698           3098
    0         3         6         148.45           3224
    0         3         6        154.211           3350
    0         3         6        159.983           3476
