* fit parameters for Z=1 isotopes
* fit_func = par[0]+par[1]*E^{(par[2]+A)/(par[3]+A)}
* numtel         ssdnum         csinum         par[0]         par[1]         par[2]         par[3]
    0              0              0              192.07        6.81411        10.9198        8.18804
    1              0              1             121.584        10.8635        8.54284        7.17467
    2              0              2             188.736        3.75201        12.4215         8.3272
    3              0              3             163.662        7.84741        13.6037        10.8997
    4              0              4             189.041        4.21048        11.6728        7.87911
    5              0              5             186.909        6.08376         12.457        9.03674
    6              0              6             159.696        8.53894        13.8801         11.215
    7              0              7             146.024        7.34501        9.39859        7.25389
    8              0              8             187.491        5.40146         10.707        7.94176
    9              1              0             199.209        8.82034        9.77403        7.62471
   10              1              1              169.12        8.82102        13.3365        11.0341
   11              1              2             179.901        8.05029        12.1705        9.76129
   12              1              3             186.071        7.75374        11.0192        8.75282
   13              1              4             157.503        10.1227        5.76671        4.72601
   14              1              5             177.284        5.60422        10.5432         8.0048
   15              1              6             165.646        13.8769        18.8046        16.8198
   16              1              7             166.393        8.39926        12.8565        10.4877
   17              1              8             214.865        6.38292        10.1178        7.67441
   18              2              0             191.747        5.54076        9.25037         6.6976
   19              2              1             192.459        2.47359        11.1473        7.09441
   20              2              2              205.65         3.7999        10.2477        7.02157
   21              2              3             210.823        5.74115        8.97867        6.30909
   22              2              4             209.305        4.69628        9.45922          6.461
   23              2              5             197.602        3.92604        9.67663        6.57221
   24              2              6              192.04        4.32037        9.79408        6.85823
   25              2              7             206.598        3.37276        10.8283        7.04224
   26              2              8             201.249        5.27507        9.23182        6.62702
   27              3              0             67.6311        24.5185        24.0014         25.303
   28              3              1             121.797        17.9716      -0.170046      -0.181049
   29              3              2             96.8776        18.5719        1.54773        1.48752
   30              3              3             59.0572        19.5378       -0.12597      -0.138386
   31              3              4             0.0            0.0            0.0           0.0
   32              3              5             0.0            0.0            0.0           0.0  
   33              3              6             102.612        14.6185        6.17983        5.77231
   34              3              7              66.734        19.3919      -0.675505      -0.673358
   35              3              8             78.2541         24.766        16.8866        17.8649
