* fit parameters for Z=2 isotopes
* fit_func = DEEFIT_Func14
* numtel         ssdnum         csinum         par[0]         par[1]         par[2]
    0              0              0             276.159         21.671       0.067127
    1              0              1              209.62        20.2725       0.117189
    2              0              2             214.832        20.2874      0.0929452
    3              0              3             239.412        20.3177       0.095564
    4              0              4             208.578        21.1918       0.116886
    5              0              5             241.903        23.2617      0.0948527
    6              0              6             251.557        20.6673       0.101989
    7              0              7             193.686         19.511       0.121229
    8              0              8             246.386        18.3519      0.0642793
    9              1              0              317.65        24.6705      0.0737426
   10              1              1             246.652        21.8543      0.0568411
   11              1              2             256.859        21.9489      0.0744371
   12              1              3             252.402        21.7876       0.103806
   13              1              4             250.964        21.7746       0.102612
   14              1              5             184.293        19.6319      0.0961984
   15              1              6             284.189        24.2101      0.0792299
   16              1              7             235.044        21.4207      0.0985161
   17              1              8             303.483        22.5603       0.060925
   18              2              0             81.8735        22.2961       0.121294
   19              2              1             37.2755         19.625       0.189828
   20              2              2             107.742        20.2283        0.13651
   21              2              3             114.287        24.4837       0.189949
   22              2              4              96.555        23.4497       0.198131
   23              2              5             85.8134        20.4933       0.171332
   24              2              6             103.195        19.1391       0.183845
   25              2              7             89.6996         21.954       0.198836
   26              2              8             130.379        21.8967       0.179619
   27              3              0             64.1798        21.6535       0.229892
   28              3              1              73.178        21.1168       0.123395
   29              3              2             90.3611        20.8984        0.21548
   30              3              3             83.2428        21.7068       0.181097
   33              3              6             83.2066        19.2796       0.273233
   34              3              7             57.8884        20.6027       0.205651
   35              3              8             89.1617        21.5736       0.192012
