* set the ECsI cut range for all the isotopes by hand
* numtel = ssdindex * 9 + csiindex
* numtel        Z           A      ECsI_Ch_Min    ECsI_Ch_Max
    0           1           1         160           1100
    0           1           2         160           1900
    0           1           3         160           2600
    0           2           3         160           2800
    0           2           4         160           4000
    0           2           6         160           4000
    0           3           6         160           4000
    0           3           7         160           4000
    0           3           8         160           4000
    0           3           9         160           4000
    0           4           7         160           4000
    0           4           9         160           4000
    0           4          10         160           4000
    0           5          10         160           4000
    0           5          11         160           4000
    0           5          12         160           4000
    0           6          12         400           4000
    0           6          13         400           4000
    0           6          14         400           4000
    1           1           1         120           1000
    1           1           2         120           1900
    1           1           3         120           2600
    1           2           3         120           2600
    1           2           4         120           3500
    1           2           6         120           4000
    1           3           6         120           4000
    1           3           7         120           4000
    1           3           8         120           4000
    1           3           9         120           4000
    1           4           7         120           4000
    1           4           9         120           4000
    1           4          10         120           4000
    1           5          10         120           4000
    1           5          11         120           4000
    1           5          12         120           4000
    1           6          12         300           4000
    1           6          13         300           4000
    1           6          14         300           4000
    2           1           1         130           1000
    2           1           2         130           1900
    2           1           3         130           2600
    2           2           3         130           2600
    2           2           4         130           4000
    2           2           6         130           4000
    2           3           6         130           4000
    2           3           7         130           4000
    2           3           8         130           4000
    2           3           9         130           4000
    2           4           7         130           4000
    2           4           9         130           4000
    2           4          10         130           4000
    2           5          10         130           4000
    2           5          11         130           4000
    2           5          12         130           4000
    2           6          12         300           4000
    2           6          13         300           4000
    2           6          14         300           4000
    3           1           1         130           1000
    3           1           2         130           1800
    3           1           3         130           2600
    3           2           3         130           2600
    3           2           4         130           4000
    3           2           6         130           4000
    3           3           6         130           4000
    3           3           7         130           4000
    3           3           8         130           4000
    3           3           9         130           4000
    3           4           7         130           4000
    3           4           9         130           4000
    3           4          10         130           4000
    3           5          10         130           4000
    3           5          11         130           4000
    3           5          12         130           4000
    3           6          12         300           4000
    3           6          13         300           4000
    3           6          14         300           4000
    4           1           1         130           1100
    4           1           2         130           2000
    4           1           3         130           2700
    4           2           3         130           3000
    4           2           4         130           4000
    4           2           6         130           4000
    4           3           6         130           4000
    4           3           7         130           4000
    4           3           8         130           4000
    4           3           9         130           4000
    4           4           7         130           4000
    4           4           9         130           4000
    4           4          10         130           4000
    4           5          10         130           4000
    4           5          11         130           4000
    4           5          12         130           4000
    4           6          12         300           4000
    4           6          13         300           4000
    4           6          14         300           4000
    5           1           1         130           1200
    5           1           2         130           2100
    5           1           3         130           3000
    5           2           3         130           3000
    5           2           4         130           4000
    5           2           6         130           4000
    5           3           6         130           4000
    5           3           7         130           4000
    5           3           8         130           4000
    5           3           9         130           4000
    5           4           7         130           4000
    5           4           9         130           4000
    5           4          10         130           4000
    5           5          10         130           4000
    5           5          11         130           4000
    5           5          12         130           4000
    5           6          12         300           4000
    5           6          13         300           4000
    5           6          14         300           4000
    6           1           1         130           1100
    6           1           2         130           1900
    6           1           3         130           2700
    6           2           3         130           3000
    6           2           4         130           4000
    6           2           6         130           4000
    6           3           6         130           4000
    6           3           7         130           4000
    6           3           8         130           4000
    6           3           9         130           4000
    6           4           7         130           4000
    6           4           9         130           4000
    6           4          10         130           4000
    6           5          10         130           4000
    6           5          11         130           4000
    6           5          12         130           4000
    6           6          12         300           4000
    6           6          13         300           4000
    6           6          14         300           4000
    7           1           1         130           1100
    7           1           2         130           1900
    7           1           3         130           2600
    7           2           3         130           3000
    7           2           4         130           4000
    7           2           6         130           4000
    7           3           6         130           4000
    7           3           7         130           4000
    7           3           8         130           4000
    7           3           9         130           4000
    7           4           7         130           4000
    7           4           9         130           4000
    7           4          10         130           4000
    7           5          10         130           4000
    7           5          11         130           4000
    7           5          12         130           4000
    7           6          12         300           4000
    7           6          13         300           4000
    7           6          14         300           4000
    8           1           1         160           1000
    8           1           2         160           1800
    8           1           3         160           2300
    8           2           3         160           3000
    8           2           4         160           4000
    8           2           6         160           4000
    8           3           6         160           4000
    8           3           7         160           4000
    8           3           8         160           4000
    8           3           9         160           4000
    8           4           7         160           4000
    8           4           9         160           4000
    8           4          10         160           4000
    8           5          10         160           4000
    8           5          11         160           4000
    8           5          12         160           4000
    8           6          12         300           4000
    8           6          13         300           4000
    8           6          14         300           4000
    9           1           1         120           1900
    9           1           2         120           2800
    9           1           3         120           3200
    9           2           3         120           3500
