* numtel = ssdindex * 9 + csiindex
* numtel      Z         A         ECsI_MeV        ECsI_Ch
    0         1         1        4.02466            200
    0         1         1        5.90262            226
    0         1         1        7.61761            252
    0         1         1         9.1899            278
    0         1         1        10.6287            304
    0         1         1        11.9581            330
    0         1         1        13.2036            356
    0         1         1         14.386            382
    0         1         1        15.5232            408
    0         1         1        16.6316            434
    0         1         1        17.7252            460
    0         1         1        18.8155            486
    0         1         1        19.9114            512
    0         1         1         21.019            538
    0         1         1        22.1414            564
    0         1         1        23.2786            590
    0         1         1        24.4278            616
    0         1         1        25.5827            642
    0         1         1         26.734            668
    0         1         1        27.8701            694
    0         1         1         28.977            720
    0         1         1        30.0401            746
    0         1         1        31.0451            772
    0         1         1        31.9804            798
    0         1         1        32.8385            824
    0         1         1        33.6188            850
    0         1         1        34.3294            876
    0         1         1        34.9898            902
    0         1         1        35.6325            928
    0         1         1        36.3056            954
    0         1         1        37.0766            980
    0         1         2        2.27031            200
    0         1         2        4.95098            253
    0         1         2        7.92886            306
    0         1         2        11.1695            359
    0         1         2        14.6094            412
    0         1         2        18.1532            465
    0         1         2        21.6403            518
    0         1         2        24.9653            571
    0         1         2        28.0574            624
    0         1         2         30.866            677
    0         1         2        33.3818            730
    0         1         2         35.637            783
    0         1         2        37.6961            836
    0         1         2        39.6415            889
    0         1         2        41.5598            942
    0         1         2        43.5309            995
    0         1         2        45.6201           1048
    0         1         2        47.8718           1101
    0         1         2        50.3039           1154
    0         1         2        52.9029           1207
    0         1         2        55.6181           1260
    0         1         2        58.3592           1313
    0         1         2        60.9993           1366
    0         1         2        63.3885           1419
    0         1         2         65.382           1472
    0         1         2        66.8806           1525
    0         1         2        67.8775           1578
    0         1         2        68.4988           1631
    0         1         2        69.0336           1684
    0         1         2        69.9649           1737
    0         1         2        72.0478           1790
    0         1         3        1.87156            200
    0         1         3        5.76561            284
    0         1         3        10.0197            368
    0         1         3         14.699            452
    0         1         3        19.8143            536
    0         1         3        25.4055            620
    0         1         3        31.1984            704
    0         1         3        36.8901            788
    0         1         3        42.3559            872
    0         1         3        47.4028            956
    0         1         3        51.9014           1040
    0         1         3        55.8114           1124
    0         1         3        59.1823           1208
    0         1         3        62.1339           1292
    0         1         3        64.8266           1376
    0         1         3        67.4331           1460
    0         1         3        70.1178           1544
    0         1         3        73.0236           1628
    0         1         3        76.2639           1712
    0         1         3        79.9173           1796
    0         1         3        84.0195           1880
    0         1         3        88.5547           1964
    0         1         3        93.4422           2048
    0         1         3        98.5247           2132
    0         1         3        103.565           2216
    0         1         3        108.258           2300
    0         1         3        112.275           2384
    0         1         3        115.336           2468
    0         1         3        117.308           2552
    0         1         3        118.291           2636
    0         1         3        118.675           2720
    0         2         3      0.0474973            200
    0         2         3        5.03447            289
    0         2         3        9.50519            378
    0         2         3        13.8296            467
    0         2         3        18.0891            556
    0         2         3        22.3089            645
    0         2         3        26.4943            734
    0         2         3        30.6332            823
    0         2         3        34.7109            912
    0         2         3        38.7588           1001
    0         2         3        42.7854           1090
    0         2         3        46.8039           1179
    0         2         3        50.8297           1268
    0         2         3        54.8791           1357
    0         2         3         58.967           1446
    0         2         3        63.1058           1535
    0         2         3        67.3031           1624
    0         2         3        71.5601           1713
    0         2         3          75.87           1802
    0         2         3         80.218           1891
    0         2         3        84.5819           1980
    0         2         3         88.936           2069
    0         2         3        93.2563           2158
    0         2         3        97.5297           2247
    0         2         3        101.767           2336
    0         2         3         106.02           2425
    0         2         3        110.406           2514
