* fit parameters for Z=2 isotopes
* fit_func = DEEFIT_Func14
* numtel         ssdnum         csinum         par[0]         par[1]         par[2]
    0              0              0            276.1592        21.6710         0.0671
    1              0              1            209.6204        20.2725         0.1172
    2              0              2            214.8321        20.2874         0.0929
    3              0              3            239.4123        20.3177         0.0956
    4              0              4            208.5778        21.1918         0.1169
    5              0              5            241.9033        23.2617         0.0949
    6              0              6            251.5575        20.6673         0.1020
    7              0              7            193.6860        19.5110         0.1212
    8              0              8            246.3859        18.3519         0.0643
    9              1              0            317.6498        24.6705         0.0737
   10              1              1            246.6525        21.8543         0.0568
   11              1              2            256.8593        21.9489         0.0744
   12              1              3            252.4021        21.7876         0.1038
   13              1              4            250.9645        21.7746         0.1026
   14              1              5            184.2925        19.6319         0.0962
   15              1              6            284.1888        24.2101         0.0792
   16              1              7            235.0439        21.4207         0.0985
   17              1              8            303.4829        22.5603         0.0609
   18              2              0             81.8735        22.2961         0.1213
   19              2              1             37.2755        19.6250         0.1898
   20              2              2            107.7416        20.2283         0.1365
   21              2              3            114.2872        24.4837         0.1899
   22              2              4             96.5550        23.4497         0.1981
   23              2              5             85.8134        20.4933         0.1713
   24              2              6            103.1950        19.1391         0.1838
   25              2              7             89.6996        21.9540         0.1988
   26              2              8            130.3786        21.8967         0.1796
   27              3              0             64.1798        21.6535         0.2299
   28              3              1             73.1780        21.1168         0.1234
   29              3              2             90.3611        20.8984         0.2155
   30              3              3             83.2428        21.7068         0.1811
   33              3              6             83.2066        19.2796         0.2732
   34              3              7             57.8884        20.6027         0.2057
   35              3              8             89.1617        21.5736         0.1920
