* Fitting the markers with func = [0]/x + pol6
* TeleNo     ParticleNo       Z         A          a0             a1             a2           a3             a4             a5             a6             a7
    0              0         1         1        3.82441        4.64827      -0.104584     -0.0225853    0.000118482    0.000115469    5.56902e-06   -5.64873e-07
    0              1         1         2       0.547063        8.05913      -0.482639      0.0100751    0.000734374   -1.81336e-05   -1.83931e-06    6.25288e-08
    0              2         1         3        1.39799        8.91603      -0.500465      0.0145274    0.000557215   -2.21501e-05   -1.38765e-06    5.03178e-08
    0              3         2         3        5.78123        16.9236      -0.342626     0.00193791    8.67294e-05   -1.08677e-06   -4.98962e-08    9.61557e-10
    0              4         2         4        2.73919        23.9451       -1.02977      0.0358473   -0.000554726   -2.66753e-06    1.65947e-07    -1.2428e-09
    0              5         2         6        4.60411        28.4593       -0.73409     0.00762861    8.03106e-05   -1.13534e-06   -2.16204e-08    2.59388e-10
    0              6         3         6       -3.89003        50.9193      -0.925719      0.0124715   -8.88939e-05   -3.20393e-07     8.4707e-09   -3.28341e-11
    0              7         3         7       0.966651        52.3031      -0.711355      0.0051369    -9.9167e-06   -1.34954e-07    7.20591e-10   -1.02764e-13
    0              8         3         8       -4.04057        56.5027      -0.792656     0.00666607   -1.94294e-05   -1.52754e-07    1.08998e-09   -1.22707e-12
    0              9         3         9        8.02291        57.0745       -0.65821      0.0038063   -3.58411e-06   -7.47474e-08    4.29467e-10   -1.25042e-12
    0             10         4         7       -3.78553        75.8697      -0.847534     0.00556337   -1.08311e-05   -8.19299e-08    4.23061e-10   -3.96063e-13
    0             11         4         9        1.41067        81.6385      -0.734028     0.00348054   -2.80987e-06   -4.05504e-08    1.40497e-10   -1.45271e-13
    0             12         4        10        5.72719        84.4925      -0.697277     0.00272539    2.53546e-06   -3.76372e-08    -7.7088e-11    5.73923e-13
    0             13         5        10       -12.0623        113.693      -0.859398     0.00409458   -7.55743e-06    -2.1629e-08    1.16809e-10   -1.31795e-13
    0             14         5        11       -3.41554        115.772      -0.779373     0.00311119   -4.07688e-06   -1.66363e-08    6.49713e-11   -5.60953e-14
    0             15         5        12       -28.0774        123.133      -0.861078     0.00386691   -7.26775e-06     -1.742e-08    1.16404e-10   -1.73404e-13
    0             16         5        13        -6.1872        124.906      -0.794768       0.003029   -3.62228e-06   -1.53333e-08    5.45555e-11   -4.40004e-14
    0             17         6        12        4.40228        145.838      -0.692667    0.000990128    5.81662e-06    -1.0901e-08   -8.29838e-11    2.15981e-13
    0             18         6        13        6.16368        151.143      -0.715377     0.00141374    2.85629e-06   -9.44843e-09   -4.02577e-11    1.19579e-13
    0             19         6        14        2.25278        157.409      -0.779601     0.00229631   -1.96398e-06   -8.23069e-09    2.29566e-11   -1.47606e-14
    0             20         6        15        4.73413        160.603      -0.727191     0.00171831   -9.12143e-08    -7.1931e-09    7.74986e-12     3.9051e-15
    0             21         7        14        3.25233        184.501      -0.535179    -0.00435251    6.94534e-05   -4.04567e-07    1.11525e-09   -1.19357e-12
    0             22         7        15        6.65944         190.35      -0.680114    0.000464465    6.42981e-06   -8.94029e-09   -7.89385e-11    1.93993e-13
    0             23         7        16        5.52165        196.012      -0.691599    0.000455831    6.70484e-06   -8.36574e-09    -8.4958e-11    2.00052e-13
    0             24         7        17        6.99019        201.135      -0.686205     0.00017515    9.14782e-06   -1.07927e-08      -1.26e-10    3.07367e-13
    0             25         8        16        5.48596        227.526      -0.698325    0.000312161    6.89323e-06   -8.43072e-09   -9.56131e-11    2.38353e-13
    0             26         8        17        3.38275        233.907      -0.720951    0.000745745    3.45808e-06   -5.45205e-09   -4.11266e-11    1.01893e-13
    0             27         8        18        2.14655        239.083      -0.696924    0.000594115     2.7327e-06   -2.25362e-09   -2.27264e-11    3.43428e-14
    0             28         8        19        1.34882        245.054      -0.712189    0.000569629    4.13854e-06   -4.50791e-09   -5.11489e-11    1.14315e-13
    0             29         9        19       -6.44713        281.055       -0.84166     0.00267657    -8.0671e-06   -6.07391e-09    1.26039e-10   -2.31255e-13
    0             30         9        20         20.887        280.519      -0.458531    -0.00559201    7.35313e-05   -4.13162e-07     1.1248e-09    -1.1869e-12
    0             31         9        21        1.05444        291.601       -0.77201     0.00131809    6.22421e-08   -6.85766e-09    7.35401e-13    3.33688e-14
    0             32        10        20       -0.37969        321.419      -0.865471     0.00452033   -4.71934e-05    3.12619e-07   -1.01418e-09    1.26401e-12
    0             33        10        21        7.69313        325.504      -0.730811     0.00093801   -5.46741e-08   -2.71272e-09     3.9681e-12    5.28398e-15
    0             34        10        22        23.6602        329.467       -0.65505    3.18091e-05    3.57061e-06   -2.26821e-10   -3.38252e-11    4.73936e-14
    0             35        11        23        5.64368         373.46      -0.719383     0.00103876   -2.97385e-06    1.02673e-09    7.13093e-11   -1.88428e-13
    0             36        11        24        14.0211        379.143       -0.69354    0.000646019   -7.34212e-07    5.54659e-10    4.18066e-11   -1.29186e-13
    0             37        11        25         12.703        382.003      -0.422275    -0.00621059     7.5722e-05    -4.1023e-07    1.07099e-09    -1.0809e-12
    1              0         1         1       -1.84806        7.64445      -0.997853      0.0430459     0.00356088    -0.00014495   -1.90259e-05    8.91299e-07
    1              1         1         2        4.74228        4.25338      -0.030443     -0.0050523   -9.45369e-06    7.51901e-06    2.58311e-07   -1.31067e-08
    1              2         1         3       0.566669        7.66392      -0.410619     0.00990669    0.000439669   -1.45412e-05   -9.69543e-07    3.25465e-08 
    1              3         2         3        4.81949        19.2386      -0.380482    -0.00112076    6.42631e-05    6.66694e-07   -5.49581e-09   -1.37092e-10
    1              4         2         4         2.9799        23.0323      -0.496989      0.0028644    5.19352e-05   -5.03521e-07   -1.36682e-08    1.98171e-10
    1              5         2         6         4.6587        27.3956      -0.492672     0.00231812    5.37447e-05   -3.49209e-07   -1.07807e-08     1.0469e-10
    1              6         3         6        7.75154        45.2294       -0.55481      0.0022749    1.93404e-05   -9.92393e-08   -1.49711e-09    9.11667e-12
    1              7         3         7        3.73534        49.4786      -0.610806     0.00295363    1.56546e-05   -1.17166e-07   -1.18681e-09    8.02837e-12
    1              8         3         8        5.05457        52.0864      -0.592681     0.00255378    1.48888e-05   -9.19363e-08     -1.028e-09     6.3027e-12
    1              9         3         9        2.12484        55.6397      -0.666425     0.00461371   -6.81714e-06   -1.04106e-07    3.20804e-10    8.81806e-13
