*SSDNum  CHNum    mean     sigma   mean+5sigma      Chi2      Xmin      Xmax
    0    0        102.888  0.702783   106.401   9.19472    96.557   108.791
    0    1         95.007  0.711588    98.565   2.25029   90.5263   100.692
    0    2        86.3586  0.706839   89.8928   1.78727   81.5664   90.8709
    0    3        122.196  0.711346   125.753   9.20211   115.855   129.812
    0    4        80.9377   0.70713   84.4733   4.47088   75.8803   87.4248
    0    5        112.397  0.714168   115.968   1.60609   106.551    118.44
    0    6        118.885  0.719625   122.484  0.426811   111.548   126.711
    0    7        106.004  0.710024   109.554   4.16854   100.003    113.96
    0    8        93.4928  0.694678   96.9662   4.66503   87.9417   98.4524
    0    9        88.4976  0.686719   91.9312   6.67005   82.0833   97.2462
    0   10        108.378   0.69141   111.835   9.99276   101.726    113.96
    0   11        80.9221  0.683372   84.3389   17.8487    75.708   86.7356
    0   12        112.422  0.700203   115.923   2.91568   106.034   119.474
    0   13        108.016   0.70161   111.524   16.9304   102.243   114.649
    0   14        101.825  0.694381   105.297   1.61694   95.6955    107.24
    0   15        112.379  0.694899   115.853   3.67509       105    118.44
    1    0        75.6269  0.774485   79.4993    1.2299   70.5388   80.8772
    1    1         98.128  0.783497   102.045   2.81415   93.1109   104.138
    1    2        82.6057  0.798666    86.599   12.2936   77.0865   88.9756
    1    3        90.0618  0.785158   93.9876   3.04187   83.2895   97.0739
    1    4        100.495  0.765383   104.322   4.03443    94.317   108.446
    1    5        75.9509  0.772767   79.8148   2.71734   70.3665   82.4279
    1    6        106.943  0.774805   110.817   9.63238   99.4862    113.96
    1    7         101.61  0.776291   105.492   6.95231   94.6617   107.068
    1    8        90.6878  0.769553   94.5356   3.58808   85.7018   98.1078
    1    9         104.82  0.746518   108.553   15.6779   96.3847   115.683
    1   10        99.6963  0.762926   103.511   1.34193   92.7663   108.963
    1   11        91.5404   0.75342   95.3075   8.55647   83.9787   100.003
    1   12        85.6515  0.753065   89.4169   2.68058   78.8095   94.4893
    1   13        101.066   0.74506   104.792   10.9633   94.1447   106.723
    1   14        84.8877  0.757394   88.6747   1.33025   77.2588   91.9048
    1   15        83.8632  0.759109   87.6588    1.3013    77.948   90.6986
    2    0        81.7634  0.817953   85.8532   31.7737   74.6742   89.4925
    2    1        83.9865  0.786725   87.9202   4.71312   78.8095   92.4217
    2    2        82.3936  0.779009   86.2887   3.61953   75.5357    90.354
    2    3        89.9388  0.767742   93.7776   3.02875    84.151    98.797
    2    4        92.1082  0.761534   95.9159   2.53334   84.6679   101.037
    2    5        100.537   0.76614   104.368   5.77138   93.4555   106.034
    2    6        99.9408   0.76884   103.785   2.37848    94.317    107.24
    2    7        109.611  0.782875   113.526   3.26809   101.382   117.061
    2    8        91.2612  0.760547    95.064   4.21194   83.6341   100.865
    2    9         85.669  0.751541   89.4267   5.03112    80.188   92.9386
    2   10        109.535  0.754726   113.309   2.71376   103.105   116.889
    2   11        92.4121  0.763866   96.2315   3.03686   85.1848   100.348
    2   12        101.222   0.75633   105.003   3.57727   92.9386   107.585
    2   13        93.7832  0.753068   97.5485   2.98954   87.5971   102.243
    2   14        110.122  0.772521   113.984   0.89401   99.6585   119.646
    2   15        82.3439  0.792755   86.3076   2.99381   74.5019   92.0771
    3    0          116.7  0.719054   120.295   37.2942   109.825   124.987
    3    1        79.5808   1.02926   84.7271   287.525   71.0558    88.631
    3    2        86.5226  0.892107   90.9831   40.5036   79.4987   92.7663
    3    3        82.9908  0.809193   87.0368   2.27341   77.2588    90.354
    3    4        97.5152  0.778913    101.41   4.86701   90.0094   104.483
    3    5        78.7013  0.765566   82.5292   6.68335   73.1234   84.4956
    3    6        80.6936   0.79087   84.6479   8.82289   75.0188   88.8033
    3    7        80.7287  0.797236   84.7149   1.05943   75.3634    88.114
    3    8         76.644  0.756551   80.4268   4.02894   70.8835   82.0833
    3    9        75.4643  0.728446   79.1065   1.73663    69.505   82.6003
    3   10        102.728  0.760398    106.53   4.34631    96.557   108.274
    3   11        79.8145  0.728758   83.4583   15.2983   74.3296   86.7356
    3   12        104.461  0.766639   108.294   15.5895   98.4524    109.48
    3   13         83.385  0.739458   87.0823   2.26652   76.5695   89.1479
    3   14         82.639  0.748436   86.3812   8.96224   75.3634   88.9756
    3   15        76.8223  0.742319   80.5339    6.0213   70.3665   83.4618
