*SSDNum  CHNum    mean     sigma   mean+5sigma      Chi2      Xmin      Xmax
    0    0        126.353   1.73909   135.049   12.3157   119.818   134.292
    0    1        92.4048   1.71435   100.977    6.3521   85.5294   98.9693
    0    2        99.9942   1.65894   108.289    8.6489   91.9048   108.102
    0    3        102.888   1.68721   111.324   14.6644   95.8678   110.858
    0    4        105.337    1.6537   113.605   4.14453   96.0401   112.926
    0    5        93.1995   1.64222   101.411   5.16294   86.2187   100.348
    0    6        107.581   1.65991   115.881    9.2279   100.175   115.511
    0    7        94.1383   1.64809   102.379    9.2051   85.8741   102.415
    0    8        125.065   1.69354   133.532   8.81045   116.028   132.914
    1    0        91.1306   1.74446   99.8529    32.006   82.7726   100.865
    1    1        69.6549   1.67214   78.0156   6.73797   62.9574    77.948
    1    2        80.0661   1.67226   88.4274   11.0951   71.2281   88.2863
    1    3        85.9898   1.67102   94.3449   11.8143   77.0865   92.9386
    1    4        81.0602   1.70102   89.5653   11.0988   74.1573    90.354
    1    5        73.1147   1.71182   81.6738   11.1701   65.7143   80.8772
    1    6        95.2197   1.69321   103.686   6.60151   86.2187   104.828
    1    7        66.5984   1.70897   75.1432   10.4756   58.3051   75.5357
    1    8        93.1707   1.72367   101.789   8.90274   83.1172   103.105
    2    0        94.0645   2.36793   105.904   20.6107   83.8064       105
    2    1        81.3179   2.16728   92.1543   18.4009   70.3665   92.4217
    2    2        106.485   2.03173   116.643   9.29949    98.797   114.821
    2    3        111.839   2.04483   122.064   17.7142    100.52   123.264
    2    4        115.434   2.02715    125.57   9.25619   103.449   126.711
    2    5        90.3259   1.93949   100.023   8.39015   81.5664   100.175
    2    6        112.062   1.97784   121.951   14.7068   99.4862   123.092
    2    7        101.406   1.89651   110.889   8.49641   91.3878   112.926
    2    8        114.958   1.84286   124.173   11.4002   103.966   126.711
    3    0        87.8599   3.06135   103.167   409.415   73.8127   99.6585
    3    1        89.5418   2.76862   103.385   151.895   79.8434   99.3139
    3    2        102.198   2.77324   116.064   155.208   92.0771   111.892
    3    3        61.4495   2.65721   74.7356   163.056   53.6529   72.4342
    3    4        70.0186   1.24578   76.2475    153.39   63.6466   77.7757
    3    5        82.0447   1.31371   88.6133   147.909   75.1911   88.9756
    3    6          97.31   2.60229   110.321    84.244   86.0464   107.929
    3    7        72.7142   2.60029   85.7157   89.4832   62.7851   84.8402
    3    8        103.012   2.69559    116.49   17.5702   90.6986   112.754
