SSD_Layer       Multi=0       Multi=1        Multi=2        Multi=3        Multi=4        Multi=5        Multi=6         Sum

SSD1_L1S       0.118687       0.270638       0.290841       0.193615      0.0883893      0.0291217     0.00716019       0.998452
SSD1_L2F       0.591303       0.288402       0.101754      0.0161366     0.00202902    0.000250363    3.18528e-05       0.999907
SSD1_L2B       0.612226       0.285221      0.0849425      0.0139276     0.00188346    0.000365352    0.000157671       0.998724
SSD1_L3A       0.677455       0.258278      0.0561326     0.00730831    0.000755548    6.75279e-05    3.50381e-06              1

SSD2_L1S       0.299807       0.362848       0.221064      0.0862822      0.0239715     0.00499675    0.000855248       0.999825
SSD2_L2F       0.613368       0.249345       0.105912      0.0262782      0.0043065    0.000557424    5.98833e-05       0.999827
SSD2_L2B       0.483337        0.34223       0.130802      0.0332671     0.00608771     0.00105911    0.000416635         0.9972
SSD2_L3A       0.706151        0.23787      0.0491651     0.00622053    0.000550098    4.01345e-05    3.18528e-06              1

SSD3_L1S       0.529002       0.321953       0.118474      0.0256759     0.00428038    0.000544364    5.89277e-05       0.999989
SSD3_L2F       0.608442       0.258826      0.0829472      0.0143417     0.00201819    0.000275527    5.98833e-05        0.96691
SSD3_L2B       0.634879       0.251286      0.0677834      0.0105748     0.00144835    0.000322032    0.000188887       0.966483
SSD3_L3A       0.717359       0.222755      0.0516898     0.00738571    0.000659671    0.000113396    2.58008e-05       0.999989

SSD4_L1S      0.0843421       0.142049       0.163764       0.159666       0.138228        0.10746      0.0756392       0.871148
SSD4_L2F       0.543623       0.256078       0.146837      0.0390477     0.00682128    0.000988711    0.000216599       0.993612
SSD4_L2B        0.57579       0.313404      0.0887852      0.0145083     0.00185033    0.000343373    0.000167546       0.994849
SSD4_L3A        0.68959       0.233637      0.0632788      0.0120671     0.00132189    9.74696e-05    6.68909e-06       0.999999

