   *SSDNum            material   thickness/um      Charge(Z)        Mass(A)   PunchThroughEnergy/MeV
         0             Si            304              1              1        6.14415
         0             Si            304              1              2        8.14798
         0             Si            304              1              3        9.57438
         0             Si            304              2              3        21.8457
         0             Si            304              2              4        24.5586
         0             Si            304              2              6         29.008
         0             Si            304              3              6        46.4515
         0             Si            304              3              7        49.4723
         0             Si            304              3              8         52.244
         0             Si            304              4              7        68.5605
         0             Si            304              4              9        75.8506
         0             Si            304              4             10        79.1123
         0             Si            304              5              8        93.4548
         0             Si            304              5             10        102.093
         0             Si            304              5             11        106.011
         0             Si            304              6             12        135.066
         0             Si           1010              1              1        12.3695
         0             Si           1010              1              2        16.5364
         0             Si           1010              1              3        19.5547
         0             Si           1010              2              3           43.8
         0             Si           1010              2              4        49.3989
         0             Si           1010              2              6        58.6507
         0             Si           1010              3              6        93.4228
         0             Si           1010              3              7        99.7429
         0             Si           1010              3              8        105.564
         0             Si           1010              4              7        138.093
         0             Si           1010              4              9        153.636
         0             Si           1010              4             10        160.641
         0             Si           1010              5              8        188.078
         0             Si           1010              5             10        206.759
         0             Si           1010              5             11        215.266
         0             Si           1010              6             12        274.176
         0            CsI          50000              1              1        132.119
         0            CsI          50000              1              2        176.807
         0            CsI          50000              1              3        209.871
         0            CsI          50000              2              3        468.672
         0            CsI          50000              2              4        526.989
         0            CsI          50000              2              6          625.3
         0            CsI          50000              3              6        1003.61
         0            CsI          50000              3              7        1069.15
         0            CsI          50000              3              8        1130.12
         0            CsI          50000              4              7        1504.39
         0            CsI          50000              4              9        1663.85
         0            CsI          50000              4             10        1736.72
         0            CsI          50000              5              8        2078.03
         0            CsI          50000              5             10        2267.09
         0            CsI          50000              5             11        2354.33
         0            CsI          50000              6             12        3036.61
         1             Si            305              1              1        6.15603
         1             Si            305              1              2        8.16398
         1             Si            305              1              3        9.59339
         1             Si            305              2              3        21.8876
         1             Si            305              2              4        24.6062
         1             Si            305              2              6        29.0648
         1             Si            305              3              6        46.5415
         1             Si            305              3              7        49.5686
         1             Si            305              3              8        52.3461
         1             Si            305              4              7        68.6943
         1             Si            305              4              9             76
         1             Si            305              4             10        79.2688
         1             Si            305              5              8        93.6382
         1             Si            305              5             10        102.295
         1             Si            305              5             11        106.221
         1             Si            305              6             12        135.336
         1             Si           1008              1              1        12.3554
         1             Si           1008              1              2        16.5173
         1             Si           1008              1              3        19.5319
         1             Si           1008              2              3        43.7502
         1             Si           1008              2              4        49.3424
         1             Si           1008              2              6        58.5834
         1             Si           1008              3              6        93.3166
         1             Si           1008              3              7        99.6291
         1             Si           1008              3              8        105.443
         1             Si           1008              4              7        137.936
         1             Si           1008              4              9         153.46
         1             Si           1008              4             10        160.457
         1             Si           1008              5              8        187.866
         1             Si           1008              5             10        206.524
         1             Si           1008              5             11         215.02
         1             Si           1008              6             12        273.864
         1            CsI          50000              1              1        132.119
         1            CsI          50000              1              2        176.807
         1            CsI          50000              1              3        209.871
         1            CsI          50000              2              3        468.672
         1            CsI          50000              2              4        526.989
         1            CsI          50000              2              6          625.3
         1            CsI          50000              3              6        1003.61
         1            CsI          50000              3              7        1069.15
         1            CsI          50000              3              8        1130.12
         1            CsI          50000              4              7        1504.39
         1            CsI          50000              4              9        1663.85
         1            CsI          50000              4             10        1736.72
         1            CsI          50000              5              8        2078.03
         1            CsI          50000              5             10        2267.09
         1            CsI          50000              5             11        2354.33
         1            CsI          50000              6             12        3036.61
         2             Si            110              1              1        3.35625
         2             Si            110              1              2         4.3986
         2             Si            110              1              3        5.12263
         2             Si            110              2              3        11.9577
         2             Si            110              2              4        13.3636
         2             Si            110              2              6         15.613
         2             Si            110              3              6        25.2328
         2             Si            110              3              7        26.7677
         2             Si            110              3              8        28.1604
         2             Si            110              4              7         37.005
         2             Si            110              4              9        40.6207
         2             Si            110              4             10        42.2128
         2             Si            110              5              8        50.2354
         2             Si            110              5             10        54.4998
         2             Si            110              5             11         56.398
         2             Si            110              6             12        71.5453
         2             Si            526              1              1        8.46861
         2             Si            526              1              2         11.281
         2             Si            526              1              3        13.2996
         2             Si            526              2              3        30.0512
         2             Si            526              2              4        33.8426
         2             Si            526              2              6        40.1046
         2             Si            526              3              6        64.0437
         2             Si            526              3              7        68.2774
         2             Si            526              3              8        72.1897
         2             Si            526              4              7        94.7395
         2             Si            526              4              9        105.069
         2             Si            526              4             10        109.699
         2             Si            526              5              8        129.135
         2             Si            526              5             10        141.546
         2             Si            526              5             11        147.167
         2             Si            526              6             12        187.549
         2            CsI          50000              1              1        132.119
         2            CsI          50000              1              2        176.807
         2            CsI          50000              1              3        209.871
         2            CsI          50000              2              3        468.672
         2            CsI          50000              2              4        526.989
         2            CsI          50000              2              6          625.3
         2            CsI          50000              3              6        1003.61
         2            CsI          50000              3              7        1069.15
         2            CsI          50000              3              8        1130.12
         2            CsI          50000              4              7        1504.39
         2            CsI          50000              4              9        1663.85
         2            CsI          50000              4             10        1736.72
         2            CsI          50000              5              8        2078.03
         2            CsI          50000              5             10        2267.09
         2            CsI          50000              5             11        2354.33
         2            CsI          50000              6             12        3036.61
         3             Si             70              1              1        2.55103
         3             Si             70              1              2        3.31854
         3             Si             70              1              3         3.8424
         3             Si             70              2              3        9.07629
         3             Si             70              2              4        10.0993
         3             Si             70              2              6        11.7059
         3             Si             70              3              6        19.0488
         3             Si             70              3              7        20.1515
         3             Si             70              3              8        21.1429
         3             Si             70              4              7        27.8101
         3             Si             70              4              9        30.3644
         3             Si             70              4             10        31.4742
         3             Si             70              5              8        37.6613
         3             Si             70              5             10        40.6551
         3             Si             70              5             11        41.9718
         3             Si             70              6             12        53.1012
         3             Si            306              1              1        6.16789
         3             Si            306              1              2        8.17995
         3             Si            306              1              3        9.61238
         3             Si            306              2              3        21.9296
         3             Si            306              2              4        24.6536
         3             Si            306              2              6        29.1215
         3             Si            306              3              6        46.6314
         3             Si            306              3              7        49.6647
         3             Si            306              3              8        52.4481
         3             Si            306              4              7        68.8279
         3             Si            306              4              9        76.1492
         3             Si            306              4             10         79.425
         3             Si            306              5              8        93.8213
         3             Si            306              5             10        102.497
         3             Si            306              5             11        106.431
         3             Si            306              6             12        135.605
         3            CsI          50000              1              1        132.119
         3            CsI          50000              1              2        176.807
         3            CsI          50000              1              3        209.871
         3            CsI          50000              2              3        468.672
         3            CsI          50000              2              4        526.989
         3            CsI          50000              2              6          625.3
         3            CsI          50000              3              6        1003.61
         3            CsI          50000              3              7        1069.15
         3            CsI          50000              3              8        1130.12
         3            CsI          50000              4              7        1504.39
         3            CsI          50000              4              9        1663.85
         3            CsI          50000              4             10        1736.72
         3            CsI          50000              5              8        2078.03
         3            CsI          50000              5             10        2267.09
         3            CsI          50000              5             11        2354.33
         3            CsI          50000              6             12        3036.61
