* Fitting the markers with func = [0]/x + pol6
*TeleNo     ParticleNo       Z         A          a0             a1             a2           a3             a4             a5             a6             a7
   20              0         1         1        2.79726       0.484796       0.023187   -5.96722e-05   -8.07387e-05   -6.28251e-06   -2.83405e-08    7.30167e-08
   20              1         1         2        2.11697        1.81272      -0.159881     0.00953409    0.000518824   -5.02048e-05   -4.63896e-06    3.31441e-07
   20              2         1         3        1.85268         2.3757     -0.0620957    -0.00706175     6.3834e-05    2.84694e-05    1.24735e-06   -1.10802e-07
   20              3         2         3       0.739674        10.3416      -0.535748     0.00804586    0.000404269   -9.31836e-06   -6.47926e-07    1.87229e-08
   20              4         2         4         1.6409         11.399      -0.507158     0.00790932    0.000152503   -3.53504e-06   -1.26719e-07    2.72081e-09
   20              5         2         5       0.557378        13.9721      -0.535487     0.00727435     0.00013679   -2.56321e-06   -8.74954e-08    1.61164e-09
   20              6         3         6       0.397621        24.0667      -0.742258      0.0140772   -0.000108303   -9.59071e-07    2.30863e-08   -1.13579e-10
   20              7         3         7       0.194256        25.4303      -0.697767      0.0109936   -5.83075e-05   -7.09473e-07    1.05827e-08   -3.41791e-11
   20              8         3         8        4.29527        25.5512      -0.566194      0.0047575    4.31033e-05   -5.27719e-07   -8.79672e-09    9.58392e-11
   20              9         3         9          8.584        26.0043      -0.516318     0.00363685    3.93847e-05   -3.69774e-07    -7.0228e-09    6.86337e-11
   20             10         4         7        2.09111        35.5217      -0.638363     0.00430298    2.60046e-05   -2.46738e-07   -2.99024e-09    2.33193e-11
   20             11         4         9       0.833327         39.388      -0.684905     0.00654263   -1.72469e-05   -1.84946e-07    1.24328e-09   -1.29334e-12
   20             12         4        10       0.153871         41.489      -0.715501     0.00731844   -2.89228e-05   -1.57182e-07    1.99878e-09   -5.67944e-12
   20             13         5        10      -0.798183        53.9707      -0.726004     0.00552154   -1.26483e-05   -1.20359e-07    1.05065e-09   -2.88466e-12
   20             14         5        11        2.74439        54.7625       -0.63737      0.0028934    1.65414e-05   -1.13349e-07   -1.24844e-09    8.21429e-12
   20             15         5        12        3.34125        56.4435      -0.611339     0.00231636    1.66421e-05   -8.07102e-08   -1.07772e-09    6.07618e-12
   20             16         5        13        2.65666        58.8062      -0.634427     0.00247255    1.88876e-05   -9.73596e-08   -1.34215e-09    7.92524e-12   
   20             17         6        12       0.136013        70.6647      -0.660272     0.00222919    1.65074e-05   -7.81821e-08   -1.05153e-09    6.05681e-12
   20             18         6        13        3.20631        72.2254      -0.631576     0.00187035    1.62393e-05   -6.68526e-08   -9.98549e-10    5.59369e-12
   20             19         6        14        2.32463        74.6515      -0.644111     0.00200375    1.59614e-05    -7.3394e-08   -1.02066e-09    6.03503e-12
   20             20         7        15        3.42078        90.7012        -0.6151     0.00114016    1.49105e-05   -3.90678e-08   -8.00052e-10    4.00058e-12
   21              0         1         1        2.51379       0.565629      0.0326619   -0.000772877   -0.000251349   -1.95433e-05    6.53994e-09    2.59082e-07
   21              1         1         2        1.53109        1.70844     -0.0311055    -0.00642219   -3.63934e-05    2.78656e-05    1.73159e-06   -1.40664e-07
   21              2         1         3        1.12021         2.4967     -0.0661267    -0.00784408      5.023e-05    3.03681e-05    1.35959e-06    -1.2073e-07
   21              3         2         3      -0.738824        10.7953      -0.576378      0.0057643     0.00072072    -9.7738e-06   -1.46655e-06    4.17311e-08
