# Fitting the markers with func = [0]/x + pol6
# TeleNo     ParticleNo       Z         A          a0             a1             a2           a3             a4             a5             a6             a7
    0              0         1         1        2195.68       -4.37475      0.0163825   -1.06231e-05   -1.51515e-08    9.17594e-12    1.79664e-14   -1.27085e-17
    0              1         1         2       -481.338        29.7471     -0.0825676    0.000103645    -4.6231e-08   -1.33254e-11    1.76543e-14   -4.05034e-18
    0              2         1         3        -497.02        30.9006     -0.0637593    5.99501e-05   -2.04573e-08   -3.98945e-12    4.24227e-15   -7.45242e-19
    0              3         2         3        583.006        48.7258     -0.0468199    2.69089e-05   -6.05068e-09   -1.75474e-12    1.21348e-15   -1.79841e-19
    0              4         2         4        806.875        52.9017     -0.0438381    2.17844e-05   -4.62934e-09   -4.32487e-13     3.4335e-16   -3.93838e-20
    0              5         2         6        1075.16        62.4399     -0.0450122     2.0123e-05   -3.81131e-09   -4.06066e-13    2.68319e-16    -2.8836e-20
    0              6         3         6        1139.85        99.9266     -0.0569294    2.30974e-05   -4.22349e-09   -4.46991e-13    2.92271e-16   -3.10702e-20
    0              7         3         7        1740.47        103.395     -0.0518976    1.81106e-05   -2.65941e-09   -3.96988e-13    1.81629e-16   -1.64347e-20
    0              8         3         8        1722.61        110.909     -0.0557441    2.04451e-05   -3.37753e-09   -4.10031e-13    2.31368e-16   -2.32101e-20
    0              9         3         9        2321.59        113.768     -0.0524504     1.7561e-05   -2.59757e-09    -3.5459e-13    1.74239e-16   -1.64278e-20
    0             10         4         7        2406.53        140.609     -0.0501452    7.59875e-06    1.78497e-09   -4.06028e-13   -1.50852e-16    3.40093e-20
    0             11         4         9        1740.48        164.943     -0.0766939    3.18284e-05   -6.53704e-09   -6.56973e-13    5.13516e-16   -5.92339e-20
    0             12         4        10        2500.63        169.608      -0.072719    2.85669e-05   -5.72809e-09    -6.6641e-13    5.00289e-16   -5.93544e-20
    0             13         5        11        2996.93        229.074     -0.0843793    3.01517e-05   -5.45327e-09   -7.03142e-13    4.33617e-16   -4.58508e-20
    1              0         1         1        1119.89        1.75745     0.00277503   -4.39871e-06   -2.33817e-09    3.35689e-12    3.57276e-15   -3.07751e-18
    1              1         1         2        30.9564        22.0584     -0.0612034    8.06133e-05   -3.94302e-08   -8.09675e-12      1.348e-14   -3.23601e-18
    1              2         1         3       -91.6499        25.4563     -0.0537302    5.26937e-05   -1.89159e-08   -3.24321e-12    3.78393e-15    -6.7529e-19
    1              3         2         3        413.622        45.7145     -0.0447436     2.5758e-05   -6.28506e-09   -6.30505e-13    5.89184e-16   -7.77791e-20
    1              4         2         4        807.865        48.4874     -0.0397829    1.96283e-05   -4.13421e-09   -4.37231e-13    3.38568e-16   -4.04094e-20
    1              5         2         6        802.852        58.8823      -0.044074    2.06268e-05   -4.17287e-09   -2.97361e-13    2.44126e-16   -2.60645e-20
    1              6         3         6        1043.68        93.7773     -0.0552444    2.31116e-05    -4.2973e-09   -4.68565e-13    3.09157e-16    -3.3555e-20
    1              7         3         7        1156.72         100.51     -0.0592134    2.62114e-05   -5.46876e-09   -4.07063e-13    3.63984e-16    -4.1867e-20
    1              8         3         8        1138.45         107.61     -0.0627962    2.73222e-05   -5.32163e-09   -5.50125e-13    3.83153e-16   -4.19801e-20
    1              9         3         9        1930.43        107.978     -0.0538435    1.92723e-05   -2.90971e-09   -3.68432e-13    1.68269e-16   -1.38933e-20
    1             10         4         7        2624.23        131.839     -0.0531689    1.43886e-05   -1.11757e-09   -4.28427e-13    9.89525e-17   -4.78707e-21
    1             11         4         9        1874.52        154.798      -0.073493    3.04721e-05   -6.68614e-09   -2.74832e-13    4.03458e-16   -5.03078e-20
    1             12         4        10        1901.22        162.284     -0.0745157    2.89708e-05   -5.47811e-09   -5.46333e-13    3.97775e-16   -4.46684e-20
    1             13         5        10        1865.47        211.975     -0.0888054    3.30395e-05   -5.56835e-09   -7.96901e-13    4.30921e-16    -4.3429e-20
    1             14         5        11        2799.45        216.066     -0.0804832    2.52866e-05   -3.45589e-09   -5.61113e-13    2.44295e-16   -2.20429e-20
    1             15         5        12        2415.17        228.163     -0.0911146    3.27027e-05   -5.33051e-09   -8.49814e-13    4.48495e-16   -4.62214e-20
    1             16         6        12        1481.35         287.19      -0.112405    4.34948e-05   -6.73053e-09   -1.90234e-12    8.10308e-16   -7.52191e-20
    1             17         6        13        3839.08        285.212     -0.0932343    2.96982e-05   -4.54003e-09   -7.85839e-13    3.85768e-16   -3.65671e-20
    1             18         6        14          11240        266.247     -0.0540975    3.26848e-06    2.23993e-09   -2.49173e-13   -1.49179e-16    2.82202e-20
    1             19         7        15        99342.7        190.481      0.0214272   -8.61263e-06   -2.29854e-09    4.86982e-13    2.74431e-16   -5.73362e-20
    2              0         1         1        1443.06      -0.926863      0.0105096   -1.02707e-05   -9.33305e-09    8.93895e-12    1.31438e-14   -1.07586e-17
    2              1         1         2       -176.622        26.0151     -0.0785964    0.000108828   -5.43885e-08   -1.45268e-11    2.25362e-14   -5.60528e-18
    2              2         1         3        98.6829        25.4079     -0.0555841    5.60195e-05   -2.02919e-08   -4.04901e-12    4.51485e-15   -8.18552e-19
    2              3         2         3         677.18        44.7568     -0.0418463    2.31911e-05   -5.09903e-09   -1.17669e-12    7.86152e-16   -1.05111e-19
    2              4         2         4        853.333        49.6554     -0.0400364    1.85304e-05   -3.54839e-09   -3.22542e-13    2.19688e-16   -2.24335e-20
    2              5         2         6        848.268        59.9599     -0.0445168     2.0587e-05    -4.1284e-09   -3.33022e-13    2.60645e-16    -2.8372e-20
    2              6         3         6        1617.78         92.512     -0.0496885    1.84285e-05   -3.11755e-09   -3.27965e-13    2.09042e-16   -2.21787e-20
    2              7         3         7        1255.49        102.636     -0.0590341      2.456e-05    -4.6693e-09   -3.82516e-13    2.86903e-16   -3.05946e-20
    2              8         3         8        1226.85        110.021     -0.0645165     2.8444e-05   -5.69641e-09   -5.36312e-13    3.99387e-16   -4.41421e-20
    2              9         3         9        1340.31        115.716     -0.0675126    3.14538e-05   -7.13015e-09   -4.80572e-13    5.12961e-16   -6.32889e-20
    2             10         4         7        2015.69        141.491      -0.068933    2.77683e-05   -5.67286e-09   -4.42853e-13    4.06124e-16   -4.87698e-20
    2             11         4         9        1887.86        158.741     -0.0750437    2.99572e-05   -6.00697e-09   -3.49034e-13    3.47558e-16    -3.9411e-20
