* Mass resoltion of alpha particles in the experiment
* ssdnum         csinum          sigma
0                   0            0.122871
0                   1            0.115442
0                   2            0.127709
0                   3            0.139512
0                   4            0.132578
0                   5            0.144407
0                   6             0.14963
0                   7            0.147474
0                   8            0.128207
1                   0            0.156619
1                   1            0.133539
1                   2            0.119937
1                   3            0.157437
1                   4            0.155536
1                   5            0.129228
1                   6            0.166504
1                   7             0.15226
1                   8            0.131279
2                   0            0.115313
2                   1            0.164183
2                   2            0.128885
2                   3            0.130583
2                   4            0.156597
2                   5             0.13475
2                   6            0.127012
2                   7            0.148124
2                   8            0.160805
3                   0            0.137567
3                   1            0.129812
3                   2            0.139086
3                   3            0.128976
3                   4                   0
3                   5                   0
3                   6            0.137354
3                   7             0.12768
3                   8            0.129618

* average mass resolution : 0.138427
