* Mass resoltion of alpha particles in the experiment
* ssdnum         csinum            sigma_R1            sigma_R2            sigma_R3
0                   0            0.106623            0.113426            0.132804
0                   1             0.10084            0.110447            0.135954
0                   2            0.103323            0.115426            0.149048
0                   3            0.120445            0.123214            0.147929
0                   4            0.109654            0.120429            0.149647
0                   5            0.110624            0.124064            0.147397
0                   6            0.127739            0.115186            0.138298
0                   7            0.119874            0.122792            0.150506
0                   8            0.100533            0.115599             0.14905
1                   0            0.127546            0.146649            0.164562
1                   1            0.116769            0.125943            0.154863
1                   2             0.10069            0.121363             0.16215
1                   3            0.136806            0.155742            0.172828
1                   4            0.138715            0.142718            0.168767
1                   5            0.113766            0.140112             0.18453
1                   6            0.136143            0.140281            0.156827
1                   7             0.13101             0.13764            0.161504
1                   8            0.105045            0.128617            0.162497
2                   0           0.0919718            0.125115            0.170877
2                   1            0.155308            0.200347            0.243212
2                   2            0.101762            0.129493             0.17431
2                   3            0.106246            0.136594            0.173425
2                   4            0.135097             0.16648            0.198831
2                   5            0.110884            0.139847            0.173394
2                   6            0.107461            0.143754            0.193894
2                   7            0.123703            0.155372            0.190964
2                   8            0.129345            0.170198            0.207127
3                   0            0.124878            0.161808            0.205318
3                   1            0.120267            0.148194            0.190359
3                   2            0.137239            0.167906            0.197364
3                   3            0.118743             0.14981            0.185267
3                   4                   0                   0                   0
3                   5                   0                   0                   0
3                   6            0.127012            0.164127            0.197223
3                   7            0.120382            0.155162            0.186032
3                   8            0.124536            0.158685            0.188117
