* Fitting the markers with func = [0]/x + pol6
* TeleNo     ParticleNo       Z         A          a0             a1             a2           a3             a4             a5             a6             a7
    0              0         1         1        9.25837        1.98942       0.202947     0.00240341    -0.00234183   -0.000367373   -1.50935e-05    6.41023e-06
    0              1         1         2       -3.94773         10.813      -0.988246      0.0322388     0.00232704   -8.36668e-05   -8.41327e-06    3.38078e-07
    0              2         1         3        2.25942        8.49017      -0.461589       0.012679    0.000838249   -2.67232e-05   -2.46733e-06    8.67988e-08
    0              3         2         3        10.0537        16.0321      -0.266842    0.000500876    3.70509e-05   -6.11612e-08   -8.25447e-09    8.08604e-11
    0              4         2         4       0.836029        26.2199       -1.37852      0.0550527   -0.000939866   -3.77519e-06    2.92005e-07   -2.33873e-09
    0              5         2         6       -3.29676        31.2835       -0.95171      0.0116109    0.000127671   -2.10552e-06   -3.99718e-08     5.2917e-10
    0              6         3         6        3.03631        48.4404      -0.705881     0.00599687   -2.26376e-05   -2.40026e-07    3.58419e-09   -1.28177e-11
    0              7         3         7        7.16979         50.771      -0.621473     0.00284361    1.63712e-05   -1.36171e-07   -1.40442e-09    1.07904e-11
    0              8         3         8        2.64654         54.827      -0.653974     0.00272689    2.09013e-05   -1.24118e-07   -1.64211e-09    1.04609e-11
    0              9         3         9        8.02291        57.0745       -0.65821      0.0038063   -3.58411e-06   -7.47474e-08    4.29467e-10   -1.25042e-12
    0             10         4         7       -3.78553        75.8697      -0.847534     0.00556337   -1.08311e-05   -8.19299e-08    4.23061e-10   -3.96063e-13
    0             11         4         9        1.41067        81.6385      -0.734028     0.00348054   -2.80987e-06   -4.05504e-08    1.40497e-10   -1.45271e-13
    0             12         4        10        5.72719        84.4925      -0.697277     0.00272539    2.53546e-06   -3.76372e-08    -7.7088e-11    5.73923e-13
    0             13         5        10       -6.83485        113.378      -0.892454       0.005109   -1.54456e-05   -1.99784e-08    2.90331e-10   -5.76364e-13
    0             14         5        11        7.75464        115.026      -0.787926      0.0033795    -5.0231e-06   -2.30707e-08    1.08042e-10   -1.24589e-13
    0             15         5        12        7.90591        120.165      -0.773747     0.00280707   -2.41298e-06   -1.33816e-08     2.1372e-11    2.51243e-14
    0             16         5        13        6.86197        124.978      -0.805453     0.00331453   -5.71437e-06   -1.42274e-08    8.64161e-11   -1.15471e-13
    0             17         6        12        4.40228        145.838      -0.692667    0.000990128    5.81662e-06    -1.0901e-08   -8.29838e-11    2.15981e-13
    0             18         6        13        6.16368        151.143      -0.715377     0.00141374    2.85629e-06   -9.44843e-09   -4.02577e-11    1.19579e-13
    0             19         6        14        2.25278        157.409      -0.779601     0.00229631   -1.96398e-06   -8.23069e-09    2.29566e-11   -1.47606e-14
    0             20         6        15        4.73413        160.603      -0.727191     0.00171831   -9.12143e-08    -7.1931e-09    7.74986e-12     3.9051e-15
    0             21         7        14        -3.0123        187.211      -0.741169     0.00106023    4.74436e-06   -1.05464e-08   -7.30765e-11     2.1162e-13
    0             22         7        15        6.65944         190.35      -0.680114    0.000464465    6.42981e-06   -8.94029e-09   -7.89385e-11    1.93993e-13
    0             23         7        16        5.52165        196.012      -0.691599    0.000455831    6.70484e-06   -8.36574e-09    -8.4958e-11    2.00052e-13
    0             24         7        17        6.99019        201.135      -0.686205     0.00017515    9.14782e-06   -1.07927e-08      -1.26e-10    3.07367e-13
    0             25         8        16        5.48596        227.526      -0.698325    0.000312161    6.89323e-06   -8.43072e-09   -9.56131e-11    2.38353e-13
    0             26         8        17        3.38275        233.907      -0.720951    0.000745745    3.45808e-06   -5.45205e-09   -4.11266e-11    1.01893e-13
    0             27         8        18        3.05637        241.015      -0.803111     0.00213829   -4.57755e-06   -5.07453e-09    8.04614e-11   -1.58487e-13
    0             28         8        19        1.34882        245.054      -0.712189    0.000569629    4.13854e-06   -4.50791e-09   -5.11489e-11    1.14315e-13    
    0             29         9        19       -6.44713        281.055       -0.84166     0.00267657    -8.0671e-06   -6.07391e-09    1.26039e-10   -2.31255e-13
    0             30         9        20         20.887        280.519      -0.458531    -0.00559201    7.35313e-05   -4.13162e-07     1.1248e-09    -1.1869e-12
    0             31         9        21        17.4238        289.631      -0.699845    0.000697992    5.53875e-07   -2.81884e-09    3.76406e-11   -1.12943e-13
    0             32        10        20       -0.37969        321.419      -0.865471     0.00452033   -4.71934e-05    3.12619e-07   -1.01418e-09    1.26401e-12
    0             33        10        21        7.69313        325.504      -0.730811     0.00093801   -5.46741e-08   -2.71272e-09     3.9681e-12    5.28398e-15
    0             34        10        22        23.6602        329.467       -0.65505    3.18091e-05    3.57061e-06   -2.26821e-10   -3.38252e-11    4.73936e-14
    0             35        11        23        5.64368         373.46      -0.719383     0.00103876   -2.97385e-06    1.02673e-09    7.13093e-11   -1.88428e-13
    0             36        11        24        14.0211        379.143       -0.69354    0.000646019   -7.34212e-07    5.54659e-10    4.18066e-11   -1.29186e-13
    0             37        11        25        18.5509        384.137       -0.66234     0.00014106    4.26767e-06   -6.28147e-09   -7.13146e-11    2.21376e-13
    1              0         1         1        5.38188        2.72452    -0.00424944    -0.00743925    4.25475e-05    3.36915e-05    1.48604e-06   -1.44382e-07
    1              1         1         2        3.33115        5.44755      -0.283399     0.00726589    0.000535425   -2.07578e-05   -1.69884e-06    7.25829e-08
    1              2         1         3       -1.88524        8.69509      -0.530382      0.0127764    0.000655455   -1.91643e-05   -1.43392e-06    4.60722e-08
    1              3         2         3        4.81949        19.2386      -0.380482    -0.00112076    6.42631e-05    6.66694e-07   -5.49581e-09   -1.37092e-10
    1              4         2         4         2.9799        23.0323      -0.496989      0.0028644    5.19352e-05   -5.03521e-07   -1.36682e-08    1.98171e-10
    1              5         2         6         4.6587        27.3956      -0.492672     0.00231812    5.37447e-05   -3.49209e-07   -1.07807e-08     1.0469e-10
    1              6         3         6        7.75154        45.2294       -0.55481      0.0022749    1.93404e-05   -9.92393e-08   -1.49711e-09    9.11667e-12
    1              7         3         7        3.73534        49.4786      -0.610806     0.00295363    1.56546e-05   -1.17166e-07   -1.18681e-09    8.02837e-12
    1              8         3         8        5.05457        52.0864      -0.592681     0.00255378    1.48888e-05   -9.19363e-08     -1.028e-09     6.3027e-12
    1              9         3         9        2.12484        55.6397      -0.666425     0.00461371   -6.81714e-06   -1.04106e-07    3.20804e-10    8.81806e-13
    1             10         4         7      -0.119565        71.7124      -0.807543     0.00636856   -2.35456e-05   -6.93758e-08    9.46621e-10   -2.38072e-12
    1             11         4         9        4.41741        77.2462      -0.631695     0.00206996    7.76396e-06   -3.83325e-08   -2.77754e-10    1.23524e-12
    1             12         4        10        3.89817         80.819      -0.639496     0.00208878     7.5773e-06   -3.83592e-08   -2.72696e-10    1.23052e-12
    1             13         5        10        11.5248        104.145       -0.62895     0.00143973     4.5989e-06   -1.42874e-08   -8.91962e-11    2.77443e-13
    1             14         5        11        3.93172        108.593      -0.616099    0.000966547    7.54035e-06   -1.30775e-08   -1.52465e-10     4.2638e-13
    1             15         5        12        2.08113          113.6      -0.676151     0.00207379    3.01011e-07   -1.49727e-08   -7.55112e-13    8.19461e-14
    1             16         5        13        10.4047        116.462      -0.631651     0.00133269    4.29392e-06   -1.31078e-08   -8.18371e-11    2.66673e-13
    1             17         6        12       -4.64086        140.695      -0.712732     0.00198479    7.30778e-07   -1.83205e-08    2.06046e-12    1.13033e-13
    1             18         6        13       -3.47929        145.492      -0.746605     0.00289389   -6.76015e-06    -1.6231e-08    1.82432e-10   -3.77689e-13
    1             19         6        14        4.27428        147.743      -0.586442   -0.000214903    1.24923e-05    -8.8948e-09   -2.50798e-10    6.57482e-13
    1             20         6        15        4.04829        152.405      -0.609688    0.000553281    5.35515e-06    -3.9557e-09   -8.17388e-11    1.57363e-13
    1             21         7        14        2.80119        176.833      -0.668999     0.00131935   -1.84453e-07   -8.55383e-09    7.44727e-11   -2.12118e-13
    1             22         7        15        4.94779        182.187      -0.659706    0.000894655    3.92155e-06   -9.18009e-09   -6.58776e-11    2.09719e-13
    1             23         7        16         1.2278        188.583      -0.725857     0.00204172   -3.44984e-06   -1.14662e-08    1.07506e-10   -2.20423e-13
    1             24         7        17        9.70896        190.836      -0.603715   -5.24026e-05    8.88352e-06   -3.52375e-09    -1.9827e-10    5.17973e-13
    1             25         8        16        8.23094        216.532      -0.671836     0.00146802   -3.65953e-06   -3.45179e-09    1.17434e-10   -3.06191e-13
    1             26         8        17        5.15479        222.759       -0.68045     0.00156658   -3.59079e-06   -1.12742e-08    1.50203e-10   -3.33595e-13
    1             27         8        18        3.94039        230.039      -0.874401     0.00825575   -0.000113132    8.72091e-07   -3.23821e-09    4.60105e-12
    1             28         8        19        8.32272         233.86      -0.699582     0.00172062   -4.87993e-06    -5.8629e-09     1.4954e-10   -3.64765e-13
    1             29         9        19      -0.163239         265.69      -0.656547    0.000543786      4.214e-06   -8.68657e-09   -7.81034e-11    2.58813e-13
    1             30         9        20        11.0302        269.544      -0.557515    -0.00117783    1.44636e-05   -4.64108e-09   -3.13124e-10    8.28309e-13
    1             31         9        21        2.77896        276.982      -0.652595    0.000434379    4.23193e-06   -8.68773e-09   -7.97064e-11    3.02235e-13
    1             32        10        20        10.6499        306.984      -0.498424    -0.00211445    1.94801e-05    6.01481e-09   -5.31928e-10    1.41271e-12
    1             33        10        21        52.0417        310.522      -0.495186   -0.000876468    5.56697e-06     5.7592e-09   -7.93513e-11    1.48349e-13
    1             34        10        22       -96.1295        333.926       -1.06844     0.00634662   -2.45713e-05    -7.9142e-08    9.04325e-10   -1.86525e-12
    1             35        11        23       -5591.84        523.597       -1.97533    -0.00130801    5.11644e-05    1.92143e-08   -1.41715e-09    3.40716e-12
    1             36        11        24        4978.77        231.803        0.48312    -0.00190842   -9.78477e-06    1.53728e-08    2.31895e-10   -5.98685e-13
    1             37        11        25        8622.52        189.298       0.487843   -0.000550054   -6.52816e-06   -1.00108e-08    5.98582e-11    9.89604e-14
    2              0         1         1        3.16382       0.362908      0.0175193    0.000331811    8.40788e-06    3.06888e-06    4.28854e-07    5.71733e-09
    2              1         1         2      -0.977604        3.89649      -0.576235      0.0200124     0.00296676   -8.20429e-05   -1.93063e-05    8.96746e-07
