* Fitting the markers with func = [0]/x + pol6
* TeleNo     ParticleNo       Z         A          a0             a1             a2           a3             a4             a5             a6             a7
    0              0         1         1        1685.19       0.139844     0.00421781    -3.5322e-06   -2.48731e-09    1.99682e-12    2.46521e-15   -1.61488e-18
    0              1         1         2       -234.568        26.8755     -0.0720309    8.73386e-05   -3.78717e-08   -9.21796e-12    1.22023e-14   -2.64595e-18
    0              2         1         3        149.919        25.1032     -0.0471165    3.97558e-05   -1.18595e-08   -2.23093e-12    1.98375e-15   -3.03503e-19
    0              3         2         3        430.243        48.7097     -0.0452763    2.41095e-05    -5.4334e-09   -4.13082e-13    3.77779e-16   -4.39177e-20
    0              4         2         4        806.875        52.9017     -0.0438381    2.17844e-05   -4.62934e-09   -4.32487e-13     3.4335e-16   -3.93838e-20
    0              5         2         6        1075.16        62.4399     -0.0450122     2.0123e-05   -3.81131e-09   -4.06066e-13    2.68319e-16    -2.8836e-20
    0              6         3         6        1139.85        99.9266     -0.0569294    2.30974e-05   -4.22349e-09   -4.46991e-13    2.92271e-16   -3.10702e-20
    0              7         3         7        1740.47        103.395     -0.0518976    1.81106e-05   -2.65941e-09   -3.96988e-13    1.81629e-16   -1.64347e-20
    0              8         3         8        1722.61        110.909     -0.0557441    2.04451e-05   -3.37753e-09   -4.10031e-13    2.31368e-16   -2.32101e-20
    0              9         3         9        2321.59        113.768     -0.0524504     1.7561e-05   -2.59757e-09    -3.5459e-13    1.74239e-16   -1.64278e-20
    0             10         4         7        1095.59        149.436     -0.0693299    2.45391e-05   -3.74909e-09   -5.35682e-13    2.53575e-16   -2.26876e-20
    0             11         4         9        1740.48        164.943     -0.0766939    3.18284e-05   -6.53704e-09   -6.56973e-13    5.13516e-16   -5.92339e-20
    0             12         4        10        2500.63        169.608      -0.072719    2.85669e-05   -5.72809e-09    -6.6641e-13    5.00289e-16   -5.93544e-20  
    0             13         5        10        1523.03        228.131     -0.0914447    3.33446e-05   -5.79283e-09   -7.04033e-13    4.27336e-16   -4.51683e-20
    0             14         5        11        2996.93        229.074     -0.0843793    3.01517e-05   -5.45327e-09   -7.03142e-13    4.33617e-16   -4.58508e-20
    0             15         5        12        2161.09        242.403     -0.0929485    3.37876e-05    -6.3394e-09   -5.15796e-13    4.24368e-16   -4.91955e-20
    0             16         6        12        2693.04        283.412     -0.0674802    6.42653e-06    2.18897e-09   -2.98902e-13   -1.25621e-16    2.20413e-20
    0             17         6        13        4184.29        289.306     -0.0639632    4.56649e-06    2.42441e-09   -2.62529e-13   -1.43923e-16     2.4908e-20
    0             18         6        14        3399.19        311.049     -0.0895787    2.58137e-05   -3.91136e-09   -8.11294e-13    4.40531e-16   -4.98659e-20      
    1              0         1         1        1119.89        1.75745     0.00277503   -4.39871e-06   -2.33817e-09    3.35689e-12    3.57276e-15   -3.07751e-18
    1              1         1         2        30.9564        22.0584     -0.0612034    8.06133e-05   -3.94302e-08   -8.09675e-12      1.348e-14   -3.23601e-18
    1              2         1         3       -91.6499        25.4563     -0.0537302    5.26937e-05   -1.89159e-08   -3.24321e-12    3.78393e-15    -6.7529e-19
    1              3         2         3        592.998        43.6097     -0.0392598    2.05063e-05   -4.53743e-09   -4.14577e-13    3.41228e-16    -3.9195e-20
    1              4         2         4        807.865        48.4874     -0.0397829    1.96283e-05   -4.13421e-09   -4.37231e-13    3.38568e-16   -4.04094e-20
    1              5         2         6        802.852        58.8823      -0.044074    2.06268e-05   -4.17287e-09   -2.97361e-13    2.44126e-16   -2.60645e-20
    1              6         3         6        1043.68        93.7773     -0.0552444    2.31116e-05    -4.2973e-09   -4.68565e-13    3.09157e-16    -3.3555e-20
    1              7         3         7        1156.72         100.51     -0.0592134    2.62114e-05   -5.46876e-09   -4.07063e-13    3.63984e-16    -4.1867e-20
    1              8         3         8        1138.45         107.61     -0.0627962    2.73222e-05   -5.32163e-09   -5.50125e-13    3.83153e-16   -4.19801e-20
    1              9         3         9        1930.43        107.978     -0.0538435    1.92723e-05   -2.90971e-09   -3.68432e-13    1.68269e-16   -1.38933e-20
    1             10         4         7        2624.23        131.839     -0.0531689    1.43886e-05   -1.11757e-09   -4.28427e-13    9.89525e-17   -4.78707e-21
    1             11         4         9        1874.52        154.798      -0.073493    3.04721e-05   -6.68614e-09   -2.74832e-13    4.03458e-16   -5.03078e-20
    1             12         4        10        1901.22        162.284     -0.0745157    2.89708e-05   -5.47811e-09   -5.46333e-13    3.97775e-16   -4.46684e-20
    1             13         5        10        1865.47        211.975     -0.0888054    3.30395e-05   -5.56835e-09   -7.96901e-13    4.30921e-16    -4.3429e-20
    1             14         5        11        2799.45        216.066     -0.0804832    2.52866e-05   -3.45589e-09   -5.61113e-13    2.44295e-16   -2.20429e-20
    1             15         5        12        2415.17        228.163     -0.0911146    3.27027e-05   -5.33051e-09   -8.49814e-13    4.48495e-16   -4.62214e-20
    1             16         6        12        1481.35         287.19      -0.112405    4.34948e-05   -6.73053e-09   -1.90234e-12    8.10308e-16   -7.52191e-20
    1             17         6        13        3839.08        285.212     -0.0932343    2.96982e-05   -4.54003e-09   -7.85839e-13    3.85768e-16   -3.65671e-20
    1             18         6        14          11240        266.247     -0.0540975    3.26848e-06    2.23993e-09   -2.49173e-13   -1.49179e-16    2.82202e-20
 *  1             19         7        15        99342.7        190.481      0.0214272   -8.61263e-06   -2.29854e-09    4.86982e-13    2.74431e-16   -5.73362e-20
    2              0         1         1        1443.06      -0.926863      0.0105096   -1.02707e-05   -9.33305e-09    8.93895e-12    1.31438e-14   -1.07586e-17
    2              1         1         2       -176.622        26.0151     -0.0785964    0.000108828   -5.43885e-08   -1.45268e-11    2.25362e-14   -5.60528e-18
    2              2         1         3        98.6829        25.4079     -0.0555841    5.60195e-05   -2.02919e-08   -4.04901e-12    4.51485e-15   -8.18552e-19
    2              3         2         3        632.048        44.4121     -0.0396568    1.99946e-05   -4.22889e-09   -3.60912e-13    2.86419e-16   -3.13474e-20
    2              4         2         4        853.333        49.6554     -0.0400364    1.85304e-05   -3.54839e-09   -3.22542e-13    2.19688e-16   -2.24335e-20
    2              5         2         6        848.268        59.9599     -0.0445168     2.0587e-05    -4.1284e-09   -3.33022e-13    2.60645e-16    -2.8372e-20
    2              6         3         6        1617.78         92.512     -0.0496885    1.84285e-05   -3.11755e-09   -3.27965e-13    2.09042e-16   -2.21787e-20
