* Mass resoltion of alpha particles in the experiment
* ssdnum         csinum            sigma_R1            sigma_R2            sigma_R3
0                   0            0.104584            0.111117            0.127851
0                   1           0.0996199            0.106736             0.13198
0                   2            0.103062            0.112111            0.143619
0                   3            0.119026            0.121052            0.139678
0                   4            0.109436            0.116686            0.145475
0                   5            0.113374            0.119456            0.142436
0                   6            0.128343            0.114457            0.135723
0                   7            0.123204            0.119115            0.147481
0                   8           0.0995879            0.114463            0.149447
1                   0            0.121789            0.131752             0.15348
1                   1            0.113032            0.118126             0.13559
1                   2           0.0968489            0.110183            0.137134
1                   3            0.138369            0.153219            0.166443
1                   4            0.138871            0.137145            0.159442
1                   5            0.112405            0.126028            0.159733
1                   6            0.129388             0.13321            0.149828
1                   7             0.12753            0.135064            0.155315
1                   8            0.100815            0.123821            0.147434
2                   0           0.0943466            0.122217            0.171062
2                   1            0.133662            0.143035            0.147227
2                   2            0.103142            0.127166            0.164498
2                   3            0.107487            0.126043            0.153904
2                   4            0.130854            0.144387            0.171828
2                   5             0.11114            0.136951            0.156759
2                   6            0.107264            0.138968            0.177442
2                   7            0.125509            0.132022            0.154102
2                   8            0.119657            0.128148            0.156483
3                   0            0.124459            0.156365            0.171259
3                   1            0.119873            0.147195            0.194435
3                   2             0.13794            0.164231            0.278048
3                   3            0.116902            0.145504            0.170461
3                   4                   0                   0                   0
3                   5                   0                   0                   0
3                   6            0.126961             0.15525            0.234057
3                   7            0.121191            0.148529            0.163327
3                   8             0.12286            0.149084             0.18652
