*SSDNum  CHNum    mean     sigma   mean+5sigma      Chi2      Xmin      Xmax
    0    0        101.831   2.12642   112.464    280.53   91.3878   114.132
    0    1        93.8855   2.14484    104.61   170.599   83.8064   102.071
    0    2        85.4504   2.15961   96.2484   79.4244   77.0865    92.594
    0    3        121.229   2.13985   131.928   93.5803   111.892   132.914
    0    4        80.0943   2.12767   90.7327   213.167   71.2281   87.2525
    0    5        111.516   2.15932   122.312   507.209   101.554   122.231
    0    6         117.76   2.17455   128.633   459.259    109.48   126.538
    0    7        104.999   2.15078   115.753   433.112   95.0063   114.305
    0    8         92.791    2.1236   103.409   194.826   83.4618   100.865
    0    9        87.5734   2.14794   98.3132   269.336   78.1203   95.5232
    0   10        107.839   2.14742   118.576    67.316   99.3139   118.095
    0   11        80.0084   2.13764   90.6966   13.2974   72.4342    88.114
    0   12        111.513   2.16139    122.32   411.715   102.071   121.541
    0   13        107.084   2.15686   117.868   172.102   97.5909   118.268
    0   14        101.193   2.14271   111.907     24.56   93.2832   112.065
    0   15        111.447    2.1364   122.129   108.068   101.898   119.301
    1    0        74.7443   1.70101   83.2494   99.8958   67.9543   82.4279
    1    1         97.537   1.70603   106.067   10.6014   90.0094   104.655
    1    2        81.6046   1.74093   90.3092   40.7114    73.468   89.6648
    1    3         89.474   1.71981    98.073   71.1839   81.3941   97.9355
    1    4        99.5777   1.70364   108.096   20.2728   92.4217   107.757
    1    5        75.1403   1.70156   83.6481   107.092   67.9543   81.7387
    1    6        105.904   1.70924    114.45   12.4039   96.3847   114.994
    1    7        100.887   1.71576   109.465   58.7583   93.4555   107.412
    1    8         89.815   1.78931   98.7615   525.843   81.2218   97.0739
    1    9        103.995   1.71816   112.586   1286.84   95.1786   115.683
    1   10        98.7176   1.72062   107.321   122.829   89.8371   106.378
    1   11        90.7898    1.7277   99.4283   161.716   82.9449   99.1416
    1   12        84.8127   1.69799   93.3027   14.8416   76.0526   93.2832
    1   13        100.256   1.70276    108.77   23.6716   92.0771   110.514
    1   14        83.8743   1.69335    92.341   15.0256   75.8803   92.2494
    1   15        83.0237   1.69696   91.5085   10.7251   73.2957   93.1109
    2    0        81.8868  0.786256   85.8181   36.9238   77.0865   89.3202
    2    1        83.8116  0.757352   87.5984   14.5305   77.4311   89.1479
    2    2        82.4596  0.751008   86.2147   68.1932    75.708   87.4248
    2    3        89.8598  0.738098   93.5503   35.2283   83.4618    94.317
    2    4        92.1702  0.748938   95.9149   34.6915   86.9079   97.0739
    2    5        100.686  0.738765    104.38   57.6073    94.317   106.895
    2    6        100.132  0.749281   103.879   10.3017   95.0063   107.068
    2    7        109.879  0.751709   113.637   27.8403   102.932   115.166
    2    8        91.4986  0.730117   95.1492    46.311   84.8402    98.797
    2    9        85.5986  0.725736   89.2273    59.885   80.8772   90.6986
    2   10        109.768  0.731839   113.427   55.0762   103.277   114.994
    2   11        92.5082  0.738008   96.1983   23.8812   87.4248   98.4524
    2   12        101.652  0.725525   105.279   60.5077   95.3509   107.585
    2   13        93.9911  0.727993   97.6311   17.5344   86.7356   100.348
    2   14        110.401  0.746587   114.134   43.8781   105.345   114.821
    2   15        82.7393  0.748494   86.4818   41.8547   76.7419   88.9756
    3    0        116.511   0.69172   119.969   5.02852   111.203   123.092
    3    1        79.4336  0.871212   83.7897   3337.43   69.1604   88.4586
    3    2        86.6444  0.848519    90.887   555.352   81.0495   93.8001
    3    3        82.9102  0.808752   86.9539   46.4941   76.3972   88.9756
    3    4        97.7264  0.784823   101.651   16.8955   90.5263   104.655
    3    5        78.7761  0.781576    82.684   14.9205   72.4342   86.5633
    3    6        80.9184  0.796564   84.9012   33.5403    75.708   85.5294
    3    7        80.9264  0.796978   84.9113   13.3279   74.3296    88.114
    3    8        76.8786   0.74508    80.604   29.0912    71.745   83.6341
    3    9        75.6316  0.724039   79.2518   75.9165   70.1942   83.8064
    3   10         103.09  0.743557   106.807   48.8172   97.9355   107.585
    3   11        79.9299   0.71992   83.5295   52.5176   75.0188   84.8402
    3   12        104.906  0.742351   108.617   41.9708   99.4862   109.997
    3   13        83.6038  0.725457   87.2311   95.5443   77.0865   89.4925
    3   14        83.1047  0.732586   86.7677   24.2222   78.8095   88.4586
    3   15        77.1602  0.744262   80.8815   40.7978   72.0896   83.1172
