*SSDNum  CHNum    mean     sigma   mean+5sigma      Chi2      Xmin      Xmax
    0    0        102.888  0.702783   106.401   9.19472   97.9355   106.378
    0    1         95.007  0.711588    98.565   2.25029   91.0432   99.8308
    0    2        86.3586  0.706839   89.8928   1.78727    81.911   90.6986
    0    3        122.196  0.711346   125.753   9.20211   116.372   128.261
    0    4        80.9377   0.70713   84.4733   4.47088   76.2249   88.9756
    0    5        112.397  0.714168   115.968   1.60609   106.378   116.889
    0    6        118.885  0.719625   122.484  0.426811   113.615   123.781
    0    7        106.004  0.710024   109.554   4.16854   101.898   112.581
    0    8        93.4928  0.694678   96.9662   4.66503   87.7694   100.175
    0    9        88.4976  0.686719   91.9312   6.67005   83.4618   93.2832
    0   10        108.378   0.69141   111.835   9.99276   101.554   113.788
    0   11        80.9221  0.683372   84.3389   17.8487   75.5357   87.5971
    0   12        112.422  0.700203   115.923   2.91568   106.551   117.923
    0   13        108.016   0.70161   111.524   16.9304   101.898   113.443
    0   14        101.825  0.694381   105.297   1.61694   94.1447   109.308
    0   15        112.379  0.694899   115.853   3.67509   108.618   117.406
    1    0        75.6269  0.774485   79.4993    1.2299   68.9881   82.9449
    1    1         98.128  0.783497   102.045   2.81415   92.2494   104.311
    1    2        82.6057  0.798666    86.599   12.2936   76.5695   89.1479
    1    3        90.0618  0.785158   93.9876   3.04187   85.0125    94.317
    1    4        100.495  0.765383   104.322   4.03443   95.3509   106.551
    1    5        75.9509  0.772767   79.8148   2.71734   69.8496   82.6003
    1    6        106.943  0.774805   110.817   9.63238   99.3139   115.166
    1    7         101.61  0.776291   105.492   6.95231   95.0063   108.158
    1    8        90.6878  0.769553   94.5356   3.58808   85.0125   98.6247
    1    9         104.82  0.746518   108.553   15.6779    98.797   111.031
    1   10        99.6963  0.762926   103.511   1.34193   92.4217   106.723
    1   11        91.5404   0.75342   95.3075   8.55647   84.3233   98.9693
    1   12        85.6515  0.753065   89.4169   2.68058   78.4649   93.2832
    1   13        101.066   0.74506   104.792   10.9633    94.317   106.723
    1   14        84.8877  0.757394   88.6747   1.33025   80.3603   90.5263
    1   15        83.8632  0.759109   87.6588    1.3013   78.4649   91.9048
    2    0        81.7634  0.817953   85.8532   31.7737   75.5357   89.1479
    2    1        83.9865  0.786725   87.9202   4.71312   77.7757   90.0094
    2    2        82.3936  0.779009   86.2887   3.61953   75.8803   90.1817
    2    3        89.9388  0.767742   93.7776   3.02875   82.7726   96.2124
    2    4        92.1082  0.761534   95.9159   2.53334   85.8741   97.9355
    2    5        100.537   0.76614   104.368   5.77138    94.317   106.895
    2    6        99.9408   0.76884   103.785   2.37848   94.6617   105.689
    2    7        109.611  0.782875   113.526   3.26809    102.76   114.132
    2    8        91.2612  0.760547    95.064   4.21194   83.8064   98.2801
    2    9         85.669  0.751541   89.4267   5.03112   80.0157   91.2155
    2   10        109.535  0.754726   113.309   2.71376   102.415   117.406
    2   11        92.4121  0.763866   96.2315   3.03686   85.5294   99.1416
    2   12        101.222   0.75633   105.003   3.57727    96.557   106.034
    2   13        93.7832  0.753068   97.5485   2.98954   87.5971   99.8308
    2   14        110.122  0.772521   113.984   0.89401   103.105   117.406
    2   15        82.3439  0.792755   86.3076   2.99381   77.6034   88.8033
    3    0          116.7  0.719054   120.295   37.2942   110.341   123.264
    3    1        79.5808   1.02922   84.7269   232.572   74.5019   85.3571
    3    2        86.5226  0.892107   90.9831   40.5036   80.8772   93.2832
    3    3        82.9908  0.809193   87.0368   2.27341   77.9825   89.0351
    3    4        97.5152  0.778913    101.41   4.86701   91.3878   102.932
    3    5        78.7013  0.765566   82.5292   6.68335   74.8465   84.3233
    3    6        80.6936   0.79087   84.6479   8.82289   75.0188   87.4248
    3    7        80.7287  0.797236   84.7149   1.05943   74.6742   87.0802
    3    8         76.644  0.756551   80.4268   4.02894   70.3665    81.911
    3    9        75.4643  0.728446   79.1065   1.73663   68.4712   82.9449
    3   10        102.728  0.760398    106.53   4.34631   96.7293   108.274
    3   11        79.8145  0.728758   83.4583   15.2983   72.7788   86.5633
    3   12        104.461  0.766639   108.294   15.5895   98.2801   110.341
    3   13         83.385  0.739458   87.0823   2.26652   76.3972   89.8371
    3   14         82.639  0.748436   86.3812   8.96224   76.3972    88.631
    3   15        76.8223  0.742319   80.5339    6.0213   71.0558   83.2895
