*SSDNum  CHNum    mean     sigma   mean+5sigma      Chi2      Xmin      Xmax
    0    0        114.108  0.582107   117.018    116636   108.446   116.889
    0    1        61.7811  0.604983    64.806   92613.7   56.0652   68.9881
    0    2        97.1877  0.581324   100.094   87907.5   91.7325   105.689
    0    3        62.1711  0.577278   65.0575   76252.4   56.4098   68.1266
    0    4        77.8289   0.59768   80.8173    128115   73.1234   85.0125
    0    5        61.5087  0.590132   64.4594   37430.6   55.5482   67.9543
    0    6        97.9189  0.604769   100.943    130541   90.1817   105.862
    0    7        60.6677  0.609178   63.7136   67027.8   54.1698   69.6773
    0    8        98.7674  0.614631   101.841     89823   92.0771   105.345
    0    9        96.7761  0.613886   99.8455   94624.7   90.6986   103.105
    0   10        100.107  0.584958   103.032    121663   93.6278    107.24
    0   11        96.5122  0.611475   99.5695     44552   88.9756   103.277
    0   12        73.9141  0.595786    76.893    113139   67.6096   83.6341
    0   13        91.5628  0.605391   94.5898   47304.9   84.4956   99.3139
    0   14        136.706  0.617355   139.793     76950   129.812    143.08
    0   15        83.8874   0.60771   86.9259    122671   77.4311   91.0432
    1    0        125.571  0.555517   128.348   4503.72   118.784   132.741
    1    1        56.5399   0.54691   59.2744   5283.05   51.7575   63.4743
    1    2        86.5183  0.550149    89.269   5337.67   79.8434   96.3847
    1    3         80.873  0.537484   83.5604   3892.89    73.468   91.0432
    1    4        63.4519  0.537014    66.137   5194.98   57.7882    73.468
    1    5         65.775  0.531067   68.4303   6151.09   58.3051   73.8127
    1    6        62.0721  0.538354   64.7639   287.327   55.2036   69.1604
    1    7        58.0207  0.525543   60.6484   970.691   53.9975   61.4066
    1    8        58.6009    0.5452   61.3269    6159.4   53.8252   63.1297
    1    9        87.8235  0.539414   90.5206   5996.66   80.8772   96.2124
    1   10        94.2651   0.54134   96.9718   2207.03   89.3202   99.8308
    1   11         84.705  0.542909   87.4195   6198.14   80.0157    88.114
    1   12        100.775  0.549912   103.525   7335.64   94.4893   107.412
    1   13        77.0691  0.542797   79.7831   485.177    71.745   83.6341
    1   14        73.6304  0.542224   76.3416   5688.61   67.0927   80.7049
    1   15        69.8965   0.53764   72.5847   2829.65   65.1974   72.9511
    2    0        97.0632  0.567143   99.8989   1007.06   92.2494   103.105
    2    1        84.5131  0.567955   87.3529   8641.05   79.1541   90.1817
    2    2        103.413   0.56889   106.257   8020.73   97.7632    111.72
    2    3         102.67  0.565138   105.495   7005.61   95.1786   110.686
    2    4        112.591  0.571488   115.449   7256.64   106.378   122.058
    2    5        54.4978  0.587517   57.4353   7677.31   50.3791   61.2343
    2    6        86.3023  0.576761   89.1861   5712.99   80.8772    94.834
    2    7        68.1371  0.568852   70.9813   2247.34    61.062    77.948
    2    8        102.042  0.563528    104.86   755.824   93.6278   111.375
    2    9         97.527    0.5676   100.365   7794.54   91.2155       105
    2   10        77.2296  0.575656   80.1079   3377.92   70.7112   89.1479
    2   11        83.9592   0.55565   86.7375   400.526   75.8803   91.5602
    2   12         104.43  0.578757   107.323   6535.64   97.2462   111.892
    2   13        96.8612   0.56836    99.703   2026.13   87.7694   106.723
    2   14        107.111  0.578244   110.002   1240.18   99.8308   116.544
    2   15        92.5216  0.575905   95.4011    6289.8   86.2187   102.071
    3    0        109.142  0.762916   112.957    850.34   100.348   119.991
    3    1        97.8976  0.676159   101.278   367.556   89.4925   108.102
    3    2        126.456   0.74883     130.2   357.713   120.508   135.326
    3    3        83.5937  0.657395   86.8807   1250.37   75.5357   91.5602
    3    4        115.721  0.655475   118.999   808.926   110.686   124.471
    3    5        117.371  0.654119   120.642    946.25   109.135   127.917
    3    6         106.91  0.665869   110.239   501.298   98.9693   117.234
    3    7        150.177  0.668278   153.518   612.516   143.769   156.692
    3    8        122.277  0.713946   125.847   376.636   115.683   130.329
    3    9        127.275  0.655677   130.553   779.933    118.44   136.532
    3   10        122.848  0.665361   126.174   417.605   116.717   131.363
    3   11        110.768  0.653505   114.035   668.625   104.483   118.612
    3   12        113.465  0.655182   116.741   952.155   102.071   123.954
    3   13        117.964    0.6519   121.223   299.223   111.031   126.711
    3   14        100.759  0.815433   104.836    80.345   93.2832   109.135
    3   15        108.634  0.672216   111.995   746.196   101.898   115.683
