*SSDNum  CHNum    mean     sigma   mean+5sigma      Chi2      Xmin      Xmax
    0    0        73.6309   0.53267   76.2942   6895.98    69.505   78.9818
    0    1        66.7879  0.536385   69.4699   5786.47    61.062    71.745
    0    2        76.7427  0.544815   79.4668   5944.43   70.7112   83.8064
    0    3        71.9846  0.537589   74.6726   866.786   65.1974   78.6372
    0    4        77.3079  0.536216    79.989   4701.71   71.5727   83.4618
    0    5        80.2237  0.539193   82.9197   2154.95   75.8803   85.8741
    0    6        93.3411  0.540524   96.0437   5593.55   89.4925   97.7632
    0    7        81.2103  0.552792   83.9742   1553.97   77.7757   86.5633
    0    8        95.7049  0.525659   98.3332   7777.42   89.1479   101.898
    0    9        75.5021  0.534733   78.1757   5749.42   70.3665   81.7387
    0   10        112.853   0.52618   115.484   4774.89   106.206   119.818
    0   11        72.7727  0.532539   75.4354   6891.51   68.6435    75.708
    0   12        54.1304  0.515889   56.7098   2155.99    50.896   59.1667
    0   13        89.1893  0.530023   91.8394   2025.89   83.8064   95.1786
    0   14        81.1601   0.52394   83.7798   1993.81   76.2249   86.7356
    0   15        71.5945   0.53912   74.2901   7864.71   67.0927   78.2926
    1    0        77.8524  0.574726   80.7261   7467.71   72.0896   83.8064
    1    1        80.8875  0.562648   83.7008   4925.59   76.0526   86.5633
    1    2         79.458  0.593915   82.4275   9815.09   74.6742   84.6679
    1    3        71.2039  0.581071   74.1093    4376.6   65.8866    77.948
    1    4        100.685  0.578043   103.576   9284.56   95.8678   105.517
    1    5        93.2495  0.570819   96.1036   5966.88   88.4586   97.7632
    1    6        74.3636  0.581627   77.2717   9708.78   69.3327   79.6711
    1    7        86.7506  0.578208   89.6416   6697.18   81.3941   92.7663
    1    8        97.0006  0.571546   99.8583   45628.2   90.5263   105.517
    1    9        73.0134  0.557749   75.8021   53094.4    67.782   78.9818
    1   10         91.669  0.606105   94.6996   22262.4   85.5294   98.1078
    1   11        95.5117  0.588594   98.4547   32538.7    88.631   102.071
    1   12        75.6584  0.559009   78.4535   16342.6   70.7112   82.7726
    1   13        80.0818  0.546051   82.8121   1760.19   76.0526   86.2187
    1   14        104.649  0.561085   107.454   14972.6   96.9016    111.72
    1   15        102.597  0.565096   105.423   11524.9   96.7293   108.963
    2    0        102.377  0.529053   105.023   5819.14   96.7293   108.963
    2    1        82.2003  0.527293   84.8368   4075.41   77.0865   88.4586
    2    2        92.1899   0.52381   94.8089   3722.79   87.0802    96.557
    2    3        63.6943  0.534091   66.3648   6995.97   57.6159   72.6065
    2    4        80.9124   0.52473   83.5361   1617.13   74.6742    88.114
    2    5         71.797  0.523009    74.412   6068.85   66.0589    77.948
    2    6        73.3344   0.53822   76.0255   5614.49   68.6435   79.6711
    2    7        73.0969  0.522254   75.7082      1421   67.4373   79.1541
    2    8        91.3401  0.505881   93.8695   29730.6   86.2187   96.0401
    2    9        74.5502  0.508302   77.0918   31854.8   69.1604   82.6003
    2   10        69.1706  0.505731   71.6992   4112.29   64.8528   75.5357
    2   11        87.4503  0.510475   90.0027   12087.7    81.911   93.9724
    2   12        82.6149  0.511091   85.1703   8941.12   77.6034   90.8709
    2   13         74.558  0.507665   77.0963   8851.87   69.8496   80.8772
    2   14        108.983  0.497219   111.469   332.409       105    113.96
    2   15         61.716  0.513608   64.2841   8245.24   55.7206   68.9881
    3    0        101.637  0.588529   104.579   4247.58   95.3509   106.378
    3    1        95.5704  0.592871   98.5347   4361.19   90.1817   103.622
    3    2        90.2643  0.607857   93.3036    2602.8    86.391   94.6617
    3    3        78.6057  0.614383   81.6776   4662.13   74.3296   85.5294
    3    4        78.9297  0.596911   81.9143   1189.97   73.8127   84.4956
    3    5        92.6448  0.678025    96.035   1352.29   87.2525    98.797
    3    6         105.28  0.604168   108.301   2668.95   101.554   109.652
    3    7        95.5511   0.67059    98.904   1678.14   89.8371   101.898
    3    8        96.4362  0.829585   100.584   37561.8   90.1817   104.828
    3    9        87.5997   0.58253   90.5123   20560.6   82.4279   93.9724
    3   10        104.358  0.621725   107.467    5498.2   98.1078   111.892
    3   11        100.107  0.596089   103.087   17680.3   94.6617   107.585
    3   12        108.068  0.568929   110.912   421.062   101.209   116.717
    3   13        102.661  0.544075   105.382   7424.97   95.8678   111.548
    3   14        104.055  0.556837   106.839   238.646   97.2462   111.548
    3   15        109.376  0.597755   112.365   4021.09   103.622   115.166
