*SSDNum  CHNum    mean     sigma   mean+5sigma      Chi2      Xmin      Xmax
    0    0        73.7883  0.518884   76.3828   6.05089   69.3327   76.9142
    0    1        66.8234  0.528061   69.4637   4.39546   61.8421   72.5439
    0    2        76.8723  0.539382   79.5692   6.00475   71.5727   83.6341
    0    3        72.1582  0.535113   74.8338  0.131161   67.9543    80.188
    0    4        77.4272  0.534992   80.1022   1.41529   73.8127   82.6003
    0    5        80.3819  0.532931   83.0465   5.89801   76.9142   83.9787
    0    6        93.2392  0.527861   95.8785   10.8465   89.3202   97.9355
    0    7        81.3545  0.545008   84.0795   8.39885   76.5695    86.391
    0    8        95.7202   0.52106   98.3255   2.44874   91.3878   99.8308
    0    9        75.7281  0.519096   78.3235   11.6647   69.8496   81.2218
    0   10        112.894  0.510151   115.444    3.1809   107.068   116.028
    0   11        72.8193  0.524673   75.4427   3.39301   68.2989   76.5695
    0   12        54.2577  0.516597   56.8407   11.3484   51.4129   58.9944
    0   13        89.2708  0.525854      91.9   9.50004   83.1172    94.834
    0   14        81.1926  0.519368   83.7895   4.76908   76.7419   87.5971
    0   15        71.5599  0.526346   74.1916  0.493434   67.4373   76.0526
    1    0         78.223  0.547149   80.9588   2.51095   73.2957   84.3233
    1    1        81.1794  0.552056   83.9397  0.464827    75.708    86.391
    1    2        79.7944  0.573753   82.6632   4.46145   73.2957   85.0125
    1    3        71.6299  0.571935   74.4896   5.62484   66.9204   77.0865
    1    4        101.002  0.560545   103.805   8.05177    94.834   107.929
    1    5        93.5511  0.559465   96.3484   29.4833   88.2863   98.6247
    1    6        74.7887  0.562096   77.5992    8.3394   69.3327   80.8772
    1    7        87.1601  0.564035   89.9803    2.4332   82.6003   93.1109
    1    8        97.3737  0.546324   100.105   5.03096   91.0432   104.655
    1    9        73.4802  0.547778   76.2191   17.4158   69.3327   79.6711
    1   10        92.2059  0.552622    94.969   14.4094   86.9079    98.797
    1   11        95.9495  0.549545   98.6972   2.83757    90.354   104.655
    1   12        75.9982  0.544456   78.7205    3.3012   70.5388   82.2556
    1   13         80.668  0.544912   83.3925   22.0254   75.0188   88.2863
    1   14        105.214  0.538191   107.905   7.90437   97.5909   111.031
    1   15        103.189  0.552504   105.952    18.471    96.557   108.963
    2    0        102.841  0.516956   105.426   3.03244   95.1786   107.757
    2    1         82.751  0.526464   85.3834   2.02755   76.2249   88.2863
    2    2        92.6249  0.529269   95.2713   6.13073   87.0802   100.003
    2    3        64.1921   0.52021   66.7932   8.27633    59.339   70.8835
    2    4         81.269  0.527034   83.9041   4.31447   75.3634   86.2187
    2    5        72.2992  0.526823   74.9333   1.74155   66.9204   77.6034
    2    6        73.6134  0.530822   76.2676   32.8222   69.6773   77.4311
    2    7        73.4589  0.531722   76.1175   2.95262   68.4712   79.1541
    2    8        91.6446  0.499298   94.1411   8.75352   86.9079   97.2462
    2    9        74.9257   0.48756   77.3635   2.43305   69.6773   81.2218
    2   10        69.4422  0.510552   71.9949 0.0561961   64.8528   73.8127
    2   11        87.8293  0.496317   90.3109   10.2401   82.2556   94.6617
    2   12        82.7962  0.500787   85.3002   8.70005   77.0865   88.2863
    2   13        74.9286  0.493413   77.3957   14.2479   70.3665   81.7387
    2   14        109.126  0.493706   111.595   2.30043   103.449   114.132
    2   15        62.0311  0.501051   64.5363  0.280157   55.3759    67.782
    3    0        101.954  0.562189   104.765    1.7449   95.0063    109.48
    3    1        95.6615  0.581167   98.5673   5.10004   90.0094    102.76
    3    2        90.4512  0.600847   93.4554   15.0539   85.1848   95.8678
    3    3        78.7428  0.601762   81.7516   8.86151   72.7788   86.0464
    3    4        79.1798  0.578406   82.0719   5.28039    73.985    84.151
    3    5        92.6767   0.66292   95.9913  0.376878   85.3571   99.1416
    3    6        105.405  0.589388   108.352   4.98252   98.2801    111.72
    3    7        95.5518  0.657554   98.8396   2.75324   88.4586   102.588
    3    8        96.6148  0.777341   100.502   39.7593   89.1479   104.655
    3    9        87.4551  0.572867   90.3194   22.8311    80.188   94.4893
    3   10        104.519  0.608303    107.56   24.1479   98.1078   112.754
    3   11        100.194  0.595741   103.172   29.6251   93.2832   107.068
    3   12        108.048  0.556637   110.831   1.58593   101.382   114.649
    3   13        102.528  0.541391   105.235   5.66602   96.9016   107.412
    3   14        104.079  0.555948   106.859   1.02785    98.797   110.686
    3   15        109.205   0.59225   112.166    1.7862   102.588   115.338
