* ssdnum    stripb    stripf    th_standard (mm)   th_effective (mm)
    0         0         0           1.01             1.02137
    0         0         1           1.01             1.01996
    0         0         2           1.01             1.01875
    0         0         3           1.01             1.01774
    0         0         4           1.01             1.01694
    0         0         5           1.01             1.01633
    0         0         6           1.01             1.01593
    0         0         7           1.01             1.01572
    0         0         8           1.01             1.01572
    0         0         9           1.01             1.01593
    0         0        10           1.01             1.01633
    0         0        11           1.01             1.01694
    0         0        12           1.01             1.01774
    0         0        13           1.01             1.01875
    0         0        14           1.01             1.01996
    0         0        15           1.01             1.02137
    0         1         0           1.01             1.01996
    0         1         1           1.01             1.01855
    0         1         2           1.01             1.01734
    0         1         3           1.01             1.01633
    0         1         4           1.01             1.01552
    0         1         5           1.01             1.01492
    0         1         6           1.01             1.01451
    0         1         7           1.01             1.01431
    0         1         8           1.01             1.01431
    0         1         9           1.01             1.01451
    0         1        10           1.01             1.01492
    0         1        11           1.01             1.01552
    0         1        12           1.01             1.01633
    0         1        13           1.01             1.01734
    0         1        14           1.01             1.01855
    0         1        15           1.01             1.01996
    0         2         0           1.01             1.01875
    0         2         1           1.01             1.01734
    0         2         2           1.01             1.01613
    0         2         3           1.01             1.01512
    0         2         4           1.01             1.01431
    0         2         5           1.01              1.0137
    0         2         6           1.01              1.0133
    0         2         7           1.01             1.01309
    0         2         8           1.01             1.01309
    0         2         9           1.01              1.0133
    0         2        10           1.01              1.0137
    0         2        11           1.01             1.01431
    0         2        12           1.01             1.01512
    0         2        13           1.01             1.01613
    0         2        14           1.01             1.01734
    0         2        15           1.01             1.01875
    0         3         0           1.01             1.01774
    0         3         1           1.01             1.01633
    0         3         2           1.01             1.01512
    0         3         3           1.01             1.01411
    0         3         4           1.01              1.0133
    0         3         5           1.01             1.01269
    0         3         6           1.01             1.01228
    0         3         7           1.01             1.01208
    0         3         8           1.01             1.01208
    0         3         9           1.01             1.01228
    0         3        10           1.01             1.01269
    0         3        11           1.01              1.0133
    0         3        12           1.01             1.01411
    0         3        13           1.01             1.01512
    0         3        14           1.01             1.01633
    0         3        15           1.01             1.01774
    0         4         0           1.01             1.01694
    0         4         1           1.01             1.01552
    0         4         2           1.01             1.01431
    0         4         3           1.01              1.0133
    0         4         4           1.01             1.01249
    0         4         5           1.01             1.01188
    0         4         6           1.01             1.01147
    0         4         7           1.01             1.01127
    0         4         8           1.01             1.01127
    0         4         9           1.01             1.01147
    0         4        10           1.01             1.01188
    0         4        11           1.01             1.01249
    0         4        12           1.01              1.0133
    0         4        13           1.01             1.01431
    0         4        14           1.01             1.01552
    0         4        15           1.01             1.01694
    0         5         0           1.01             1.01633
    0         5         1           1.01             1.01492
    0         5         2           1.01              1.0137
    0         5         3           1.01             1.01269
    0         5         4           1.01             1.01188
    0         5         5           1.01             1.01127
    0         5         6           1.01             1.01086
    0         5         7           1.01             1.01066
    0         5         8           1.01             1.01066
    0         5         9           1.01             1.01086
    0         5        10           1.01             1.01127
    0         5        11           1.01             1.01188
    0         5        12           1.01             1.01269
    0         5        13           1.01              1.0137
    0         5        14           1.01             1.01492
    0         5        15           1.01             1.01633
    0         6         0           1.01             1.01593
    0         6         1           1.01             1.01451
    0         6         2           1.01              1.0133
    0         6         3           1.01             1.01228
    0         6         4           1.01             1.01147
    0         6         5           1.01             1.01086
    0         6         6           1.01             1.01046
    0         6         7           1.01             1.01025
    0         6         8           1.01             1.01025
    0         6         9           1.01             1.01046
    0         6        10           1.01             1.01086
    0         6        11           1.01             1.01147
    0         6        12           1.01             1.01228
    0         6        13           1.01              1.0133
    0         6        14           1.01             1.01451
    0         6        15           1.01             1.01593
    0         7         0           1.01             1.01572
    0         7         1           1.01             1.01431
    0         7         2           1.01             1.01309
    0         7         3           1.01             1.01208
    0         7         4           1.01             1.01127
    0         7         5           1.01             1.01066
    0         7         6           1.01             1.01025
    0         7         7           1.01             1.01005
    0         7         8           1.01             1.01005
    0         7         9           1.01             1.01025
    0         7        10           1.01             1.01066
    0         7        11           1.01             1.01127
    0         7        12           1.01             1.01208
    0         7        13           1.01             1.01309
    0         7        14           1.01             1.01431
    0         7        15           1.01             1.01572
    0         8         0           1.01             1.01572
    0         8         1           1.01             1.01431
    0         8         2           1.01             1.01309
    0         8         3           1.01             1.01208
    0         8         4           1.01             1.01127
    0         8         5           1.01             1.01066
    0         8         6           1.01             1.01025
    0         8         7           1.01             1.01005
    0         8         8           1.01             1.01005
    0         8         9           1.01             1.01025
    0         8        10           1.01             1.01066
    0         8        11           1.01             1.01127
    0         8        12           1.01             1.01208
    0         8        13           1.01             1.01309
    0         8        14           1.01             1.01431
    0         8        15           1.01             1.01572
    0         9         0           1.01             1.01593
    0         9         1           1.01             1.01451
