* Consider the deadlayer effects on the fit parameters of peak1 and peak2 
* 1,2 represent using alpha peak1,peak2, respectively. 
* SSDNum  CHNum        k1             h1             k2           h2          <deadlayer>(um)     deadlayer(um)       E1_ELoss           E2_ELoss
    0      0      0.0606256       -6.30571       0.060323       -6.27423       0.226875              0.11           0.0161699            0.015489
    0      1      0.0604523       -3.17909      0.0601514       -3.16327       0.226875              0.52           0.0767385           0.0734803
    0      2      0.0592601       -5.03248      0.0590682       -5.01619       0.226875                 0                   0                   0
    0      3      0.0614832       -3.30851      0.0611764         -3.292       0.226875              0.06          0.00881578          0.00844493
    0      4      0.0608333        -4.2054      0.0605302       -4.18445       0.226875              0.82            0.121349            0.116165
    0      5      0.0614898       -3.37986      0.0611832       -3.36301       0.226875              0.07            0.010286          0.00985326
    0      6      0.0602558       -5.20341       0.060006       -5.18185       0.226875                 0                   0                   0
    0      7      0.0610527       -3.18722       0.060749       -3.17137       0.226875              0.69            0.101993            0.097647
    0      8      0.0594312       -5.14159      0.0593443       -5.13407       0.226875                 0                   0                   0
    0      9       0.059538       -5.07242      0.0593369       -5.05528       0.226875                 0                   0                   0
    0     10      0.0606103       -5.40999      0.0603588       -5.38753       0.226875                 0                   0                   0
    0     11      0.0613733       -5.32263      0.0611307       -5.30159       0.226875                 0                   0                   0
    0     12      0.0622571       -4.05258      0.0619465       -4.03237       0.226875              0.34           0.0500889             0.04797
    0     13      0.0601011       -4.85353       0.059801       -4.82929       0.226875              0.17            0.025004           0.0239499
    0     14      0.0608172       -7.72476      0.0605144       -7.68631       0.226875               0.4           0.0589619           0.0564645
    0     15      0.0609549       -4.55494      0.0606506        -4.5322       0.226875              0.45           0.0663572           0.0635437
    1      0       0.047258       -5.52898      0.0471815       -5.52003              0                 0                   0                   0
    1      1       0.047436       -2.31853      0.0473041       -2.31209              0                 0                   0                   0
    1      2      0.0473282       -3.68449      0.0473138       -3.68336              0                 0                   0                   0
    1      3      0.0478617       -3.50144      0.0477485       -3.49317              0                 0                   0                   0
    1      4      0.0474472       -2.66139       0.047356       -2.65628              0                 0                   0                   0
    1      5      0.0488782       -2.84909      0.0488063        -2.8449              0                 0                   0                   0
    1      6      0.0468123       -2.44162      0.0468579         -2.444              0                 0                   0                   0
    1      7      0.0483352       -2.56111      0.0483067        -2.5596              0                 0                   0                   0
    1      8      0.0470592       -2.35265      0.0469656       -2.34797              0                 0                   0                   0
    1      9      0.0475577       -3.78692      0.0474636       -3.77942              0                 0                   0                   0
    1     10      0.0469613       -4.06878      0.0468577        -4.0598              0                 0                   0                   0
    1     11      0.0483678       -3.81568      0.0482727       -3.80818              0                 0                   0                   0
    1     12      0.0471206        -4.2081      0.0471232       -4.20834              0                 0                   0                   0
    1     13      0.0471436       -3.23122      0.0471164       -3.22935              0                 0                   0                   0
    1     14        0.04856       -3.20195      0.0484439        -3.1943              0                 0                   0                   0
    1     15      0.0456577       -2.89681       0.045787       -2.90502              0                 0                   0                   0
    2      0      0.0289785       -2.14999      0.0288343       -2.13929        1.70125              2.15            0.322388            0.308219
    2      1      0.0283769       -1.77687      0.0282359       -1.76804        1.70125              1.93            0.288758            0.276127
    2      2      0.0289852       -2.36158       0.028841       -2.34983        1.70125              1.93            0.288758            0.276127
    2      3      0.0287794       -2.31266      0.0286364       -2.30116        1.70125              1.41            0.209889            0.200811
    2      4      0.0285433       -2.55377      0.0284007       -2.54101        1.70125              1.91            0.285708            0.273217
    2      5       0.027956      -0.902345      0.0278163      -0.897834        1.70125              1.35            0.200838            0.192163
    2      6      0.0280862       -1.78279      0.0279467       -1.77394        1.70125              1.46            0.217439            0.208024
    2      7       0.028638       -1.30858      0.0284951       -1.30205        1.70125              2.15            0.322388            0.308219
    2      8      0.0285895       -2.28392      0.0284476       -2.27257        1.70125              1.26            0.187264             0.17919
    2      9      0.0291362        -2.2196      0.0289913       -2.20856        1.70125              1.51            0.224974            0.215223
    2     10      0.0285719       -1.56412      0.0284292       -1.55631        1.70125              1.95            0.291838            0.279068
    2     11      0.0288429       -1.77647      0.0286992       -1.76762        1.70125              1.64            0.244658            0.234024
    2     12      0.0285579       -2.33207      0.0284158       -2.32047        1.70125               1.7            0.253761            0.242717
    2     13      0.0283807       -2.12355      0.0282391       -2.11296        1.70125              1.35            0.200838            0.192163
    2     14      0.0280214       -2.36116       0.027882       -2.34941        1.70125              1.83            0.273521            0.261584
    2     15       0.028567       -1.99742      0.0284243       -1.98744        1.70125              1.69            0.252243            0.241267
    3      0      0.0158017       -1.54242      0.0157674       -1.53907              0                 0                   0                   0
    3      1       0.015802       -1.37118      0.0157891       -1.37005              0                 0                   0                   0
    3      2      0.0157992       -1.81061      0.0157601       -1.80613              0                 0                   0                   0
    3      3      0.0157921       -1.13713      0.0157643       -1.13513              0                 0                   0                   0
    3      4      0.0158948       -1.65424      0.0158614       -1.65076              0                 0                   0                   0
    3      5      0.0158243       -1.67004      0.0158077       -1.66828              0                 0                   0                   0
    3      6      0.0158467        -1.5103      0.0158198       -1.50774              0                 0                   0                   0
    3      7      0.0156743       -2.16524      0.0156523       -2.16221              0                 0                   0                   0
    3      8      0.0157258       -1.74257      0.0156863        -1.7382              0                 0                   0                   0
    3      9      0.0158062       -1.82746      0.0157804       -1.82448              0                 0                   0                   0
    3     10      0.0157149       -1.75151       0.015688       -1.74851              0                 0                   0                   0
    3     11      0.0161284        -1.6028      0.0161137       -1.60134              0                 0                   0                   0
    3     12      0.0157677       -1.60686      0.0157399       -1.60403              0                 0                   0                   0
    3     13      0.0158803       -1.68167      0.0158583       -1.67934              0                 0                   0                   0
    3     14      0.0162369       -1.44518      0.0162126       -1.44302              0                 0                   0                   0
    3     15      0.0158836        -1.5305      0.0158579       -1.52802              0                 0                   0                   0
