* Consider the deadlayer effects on the fit parameters of peak1 and peak2 
* 1,2 represent using alpha peak1,peak2, respectively. 
* SSDNum  CHNum        k1             h1             k2           h2          <deadlayer>(um)     deadlayer(um)       E1_ELoss           E2_ELoss
    0      0       0.105771       -9.42674       0.105244       -9.37977         2.3125              2.71            0.408695            0.390505
    0      1       0.105008       -8.47636       0.104487       -8.43428         2.3125              2.64             0.39785            0.380171
    0      2       0.106149       -7.68878       0.105622       -7.65056         2.3125              2.16            0.323954            0.309712
    0      3       0.107123       -11.5626       0.106589       -11.5049         2.3125              2.01               0.301            0.287811
    0      4       0.106637       -7.12565       0.106104       -7.09009         2.3125              2.27            0.340797            0.325778
    0      5       0.104948       -10.3307       0.104424       -10.2791         2.3125              1.86            0.278089            0.265944
    0      6       0.104368       -10.9662       0.103848       -10.9116         2.3125               2.5            0.376249            0.359582
    0      7       0.104743       -9.67153       0.104222       -9.62338         2.3125              1.98            0.296418            0.283438
    0      8       0.106371        -8.4062       0.105843       -8.36444         2.3125              2.46            0.370039            0.353662
    0      9       0.105521        -7.8095       0.104995       -7.77058         2.3125               2.3            0.345442            0.330208
    0     10       0.107275       -10.0735       0.106741       -10.0233         2.3125               1.9            0.284212            0.271789
    0     11       0.104276       -6.95743       0.103757       -6.92282         2.3125              2.39            0.359252            0.343378
    0     12       0.104139       -10.2156       0.103621       -10.1647         2.3125              2.33            0.350054            0.334607
    0     13       0.103796       -9.75987        0.10328        -9.7113         2.3125              2.72            0.410287            0.392023
    0     14       0.105098       -9.22434       0.104575       -9.17845         2.3125              2.53            0.380881            0.363998
    0     15       0.105044       -10.3328       0.104522       -10.2814         2.3125              2.24            0.336225            0.321418
    1      0      0.0783961       -4.64588      0.0780061       -4.62276        0.93375              0.89            0.131797            0.126158
    1      1      0.0765373       -5.93533      0.0761551       -5.90569        0.93375              0.94            0.139269            0.133304
    1      2      0.0750165       -4.70856      0.0746425       -4.68509        0.93375              0.92            0.136293            0.130458
    1      3      0.0754043        -5.5371       0.075029       -5.50954        0.93375              1.09            0.161729            0.154781
    1      4      0.0758411       -6.29715      0.0754635        -6.2658        0.93375              0.74            0.109425            0.104758
    1      5      0.0770429       -4.63007      0.0766601       -4.60707        0.93375              0.67           0.0990073           0.0947906
    1      6      0.0759966       -6.64734      0.0756176       -6.61419        0.93375              1.05            0.155733            0.149048
    1      7      0.0763591       -6.41866      0.0759796       -6.38676        0.93375               0.9            0.133291            0.127587
    1      8      0.0744877       -5.49955      0.0741167       -5.47216        0.93375              0.88            0.130317            0.124742
    1      9      0.0756926       -6.50262      0.0753143       -6.47012        0.93375              0.89            0.131797            0.126158
    1     10      0.0748511       -5.95157      0.0744792       -5.92201        0.93375              1.33            0.197804            0.189263
    1     11      0.0739067       -5.47352      0.0735391        -5.4463        0.93375              0.77            0.113906            0.109045
    1     12      0.0757496       -5.20939      0.0753712       -5.18336        0.93375              0.47           0.0693196           0.0663794
    1     13      0.0753396       -6.23463       0.074963       -6.20346        0.93375              0.98            0.145252            0.139026
    1     14      0.0751695       -4.98914       0.074796       -4.96435        0.93375              1.09            0.161729            0.154781
    1     15      0.0765922       -4.98862      0.0762113       -4.96381        0.93375              1.33            0.197804            0.189263
    2      0      0.0285661        -1.9737      0.0284243        -1.9639        1.62562              1.67            0.249208            0.238369
    2      1      0.0279387       -1.95095      0.0277991        -1.9412        1.62562               1.5            0.223462            0.213778
    2      2      0.0279519       -1.96476      0.0278123       -1.95494        1.62562              1.65              0.2462            0.235496
    2      3      0.0280882       -2.12994      0.0279482       -2.11932        1.62562               1.5            0.223462            0.213778
    2      4      0.0279329       -2.16656      0.0277938       -2.15577        1.62562              1.92            0.287262              0.2747
    2      5      0.0283446       -2.47621      0.0282034       -2.46387        1.62562               1.7            0.253761            0.242717
    2      6      0.0277947       -2.40966      0.0276562       -2.39766        1.62562              1.53            0.227999            0.218112
    2      7      0.0280263       -2.70622      0.0278871       -2.69279        1.62562              1.62            0.241651            0.231152
    2      8      0.0282021        -2.1742      0.0280618       -2.16338        1.62562              1.89            0.282688            0.270334
    2      9       0.028281        -2.0841      0.0281406       -2.07375        1.62562              1.74            0.259862            0.248542
    2     10      0.0281142       -2.68666      0.0279739       -2.67325        1.62562              1.78            0.265915            0.254322
    2     11      0.0277206       -2.20353      0.0275821       -2.19253        1.62562              1.68            0.250751            0.239843
    2     12       0.028252       -2.48881      0.0281113       -2.47642        1.62562              1.72            0.256798            0.245616
