* Fit function: E_MeV = k * E_CH + h, then E_CH = 1/k * E_MeV - h/k 
* 1,2,3 represent using alpha peak1,peak2, and peak3 to calibrate the energy,respectively. 
* SSDNum  CHNum      k1        h1          k2           h2          k3          h3       k11=1./k1  h11=-h1/k1   k22=1./k2  h22=-h2/k2   k33=1./k3  h33=-h3/k3
    0       0    0.146675    -12.5221    0.144537    -12.3396    0.143281    -12.2324      6.8178     85.3735     6.91864     85.3735      6.9793     85.3735
    0       1    0.145227    -11.1432    0.143154    -10.9841    0.141525    -10.8592     6.88576     76.7296     6.98548     76.7296     7.06587     76.7296
    0       2    0.144456    -9.93991    0.142663    -9.81651    0.141343    -9.72571     6.92251     68.8092     7.00953     68.8092     7.07498     68.8092
    0       3    0.145413    -15.8067    0.143687    -15.6192    0.142143    -15.4513     6.87697     108.702     6.95955     108.702     7.03518     108.702
    0       4     0.14572    -9.31202    0.143847    -9.19232    0.142607    -9.11309     6.86247     63.9034     6.95182     63.9034     7.01227     63.9034
    0       5    0.141457     -13.473    0.139857    -13.3206    0.138916    -13.2309      7.0693     95.2443     7.15017     95.2443     7.19862     95.2443
    0       6    0.143709    -14.6321    0.141735    -14.4311    0.140438    -14.2991     6.95849     101.818     7.05543     101.818     7.12057     101.818
    0       7    0.141657    -12.5396    0.139993    -12.3923    0.138912    -12.2966      7.0593     88.5208     7.14319     88.5208     7.19879     88.5208
    0       8    0.146169    -10.8744    0.144186    -10.7268     0.14286    -10.6282      6.8414     74.3959      6.9355     74.3959     6.99985     74.3959
    0       9    0.144297    -10.1626    0.142427    -10.0309    0.141045    -9.93358     6.93014     70.4286     7.02116     70.4286     7.08995     70.4286
    0      10    0.144746    -13.1091    0.143089    -12.9591    0.141761    -12.8388     6.90867     90.5664     6.98866     90.5664     7.05414     90.5664
    0      11    0.143036     -9.0035    0.141133    -8.88373    0.140155    -8.82216     6.99123     62.9456     7.08549     62.9456     7.13493     62.9456
    0      12    0.142568     -13.517    0.140704    -13.3403    0.139572     -13.233      7.0142     94.8111     7.10713     94.8111     7.16477     94.8111
    0      13    0.144012    -13.0564    0.141908    -12.8656    0.140742    -12.7599     6.94385     90.6616      7.0468     90.6616     7.10518     90.6616
    0      14    0.144849    -12.2662    0.142842    -12.0963    0.141592    -11.9904     6.90374      84.683     7.00072      84.683     7.06255      84.683
    0      15    0.143367    -13.6289    0.141543    -13.4555    0.140939    -13.3981     6.97511      95.063       7.065      95.063     7.09525      95.063
    1       0   0.0793868    -4.60358   0.0787624    -4.56738   0.0783042     -4.5408     12.5966     57.9893     12.6964     57.9893     12.7707     57.9893
    1       1   0.0776094    -5.90624   0.0769844    -5.85868   0.0765486    -5.82551      12.885     76.1021     12.9896     76.1021     13.0636     76.1021
    1       2   0.0760292     -4.6209   0.0754227    -4.58404   0.0750192    -4.55952     13.1528      60.778     13.2586      60.778     13.3299      60.778
    1       3     0.07685    -5.56076    0.076193    -5.51322   0.0759077    -5.49257     13.0124     72.3586     13.1246     72.3586     13.1739     72.3586
    1       4   0.0764513    -6.26636   0.0758882    -6.22021   0.0755102    -6.18922     13.0802     81.9654     13.1773     81.9654     13.2432     81.9654
    1       5   0.0775817    -4.59689   0.0770292    -4.56416   0.0767348    -4.54671     12.8896     59.2523     12.9821     59.2523     13.0319     59.2523
    1       6    0.077343     -6.6379   0.0766917      -6.582   0.0764226     -6.5589     12.9294     85.8242     13.0392     85.8242     13.0851     85.8242
    1       7   0.0772673    -6.36305   0.0766573    -6.31282   0.0764509    -6.29582     12.9421     82.3512     13.0451     82.3512     13.0803     82.3512
    1       8    0.075414    -5.48171    0.074823    -5.43876   0.0744207    -5.40952     13.2601     72.6883     13.3649     72.6883     13.4371     72.6883
    1       9   0.0766223    -6.43971   0.0760179    -6.38891   0.0756186    -6.35535      13.051     84.0448     13.1548     84.0448     13.2243     84.0448
    1      10   0.0768689    -6.02985   0.0761483    -5.97332    0.075891    -5.95313     13.0092     78.4433     13.1323     78.4433     13.1768     78.4433
    1      11   0.0745867    -5.44138   0.0740302    -5.40079   0.0737707    -5.38185     13.4072     72.9538      13.508     72.9538     13.5555     72.9538
    1      12   0.0757176    -5.10252   0.0752259    -5.06938    0.074984    -5.05308      13.207     67.3888     13.2933     67.3888     13.3362     67.3888
    1      13   0.0765202     -6.2438   0.0758932    -6.19264   0.0754431    -6.15591     13.0684     81.5967     13.1764     81.5967      13.255     81.5967
    1      14   0.0765978     -4.9765   0.0759436      -4.934   0.0755639    -4.90933     13.0552     64.9693     13.1677     64.9693     13.2338     64.9693
    1      15   0.0786433    -5.02025   0.0779057    -4.97317   0.0772939    -4.93411     12.7156     63.8357      12.836     63.8357     12.9376     63.8357
    2       0   0.0300954    -2.07936   0.0297768    -2.05735   0.0294959    -2.03794     33.2276     69.0923     33.5832     69.0923      33.903     69.0923
    2       1   0.0292725    -2.04409   0.0289797    -2.02364   0.0288017    -2.01121     34.1617     69.8296     34.5069     69.8296     34.7202     69.8296
    2       2   0.0294294    -2.06861   0.0291191    -2.04679   0.0288826    -2.03017     33.9796     70.2905     34.3417     70.2905     34.6229     70.2905
    2       3   0.0294292    -2.23163   0.0291351    -2.20932    0.028897    -2.19127     33.9799     75.8304     34.3229     75.8304     34.6057     75.8304
    2       4   0.0296709    -2.30136   0.0293291    -2.27485   0.0290439    -2.25273      33.703      77.563     34.0958      77.563     34.4306      77.563
    2       5   0.0298913    -2.61133   0.0295712    -2.58336    0.029359    -2.56483     33.4545     87.3607     33.8167     87.3607     34.0611     87.3607
    2       6   0.0291499    -2.52715   0.0288556    -2.50163   0.0286473    -2.48357     34.3054     86.6949     34.6553     86.6949     34.9073     86.6949
    2       7   0.0294789    -2.84648   0.0291721    -2.81686   0.0289659    -2.79695     33.9226     96.5602     34.2793     96.5602     34.5234     96.5602
    2       8   0.0299272    -2.30719    0.029586    -2.28088   0.0293242     -2.2607     33.4144     77.0934     33.7998     77.0934     34.1015     77.0934
    2       9   0.0298635    -2.20071   0.0295397    -2.17685   0.0293647    -2.16396     33.4857     73.6925     33.8528     73.6925     34.0545     73.6925
    2      10    0.029726    -2.84069   0.0293987     -2.8094    0.029176    -2.78813     33.6406     95.5623     34.0152     95.5623     34.2747     95.5623
    2      11   0.0292143    -2.32227   0.0289031    -2.29753   0.0286576    -2.27802     34.2298     79.4909     34.5984     79.4909     34.8948     79.4909
    2      12   0.0298131    -2.62633   0.0294917    -2.59801   0.0292547    -2.57714     33.5423     88.0932     33.9079     88.0932     34.1825     88.0932
    2      13   0.0291403    -2.36693   0.0288232    -2.34117   0.0286488    -2.32701     34.3167     81.2253     34.6943     81.2253     34.9054     81.2253
    2      14   0.0295759    -2.84992   0.0293122    -2.82451   0.0291436    -2.80826     33.8114     96.3597     34.1155     96.3597     34.3129     96.3597
    2      15    0.028946    -2.02502   0.0286907    -2.00716   0.0285044    -1.99413     34.5471     69.9587     34.8545     69.9587     35.0824     69.9587
    3       0  -0.0438898     4.90407   -0.046965     5.24768  -0.0498628     5.57147    -22.7843     111.736    -21.2924     111.736     -20.055     111.736
    3       1   0.0207679    -1.56315   0.0207129    -1.55901   0.0206486    -1.55417     48.1513     75.2676     48.2791     75.2676     48.4295     75.2676
    3       2   0.0199528    -1.65341   0.0198893    -1.64815   0.0198362    -1.64375     50.1184     82.8661     50.2782     82.8661     50.4129     82.8661
    3       3   0.0207542    -1.62441   0.0207074    -1.62075   0.0206359    -1.61515      48.183     78.2692      48.292     78.2692     48.4594     78.2692
    3       4   0.0207133    -1.91546   0.0206593    -1.91047    0.020595    -1.90453     48.2783      92.475     48.4042      92.475     48.5554      92.475
    3       5     0.02036     -1.5094   0.0203152    -1.50608    0.020242    -1.50066      49.116     74.1358     49.2243     74.1358     49.4023     74.1358
    3       6   0.0197649    -1.51013   0.0196935    -1.50468   0.0196502    -1.50137     50.5948     76.4047     50.7781     76.4047       50.89     76.4047
    3       7   0.0203823    -1.57487   0.0203192    -1.56999   0.0202555    -1.56507     49.0622     77.2664     49.2146     77.2664     49.3693     77.2664
    3       8   0.0200983    -1.47116   0.0200464    -1.46736   0.0199847    -1.46284     49.7554     73.1981     49.8843     73.1981     50.0383     73.1981
    3       9   0.0209105    -1.45139   0.0208436    -1.44675   0.0207815    -1.44244      47.823     69.4099     47.9765     69.4099     48.1198     69.4099
    3      10    0.020636    -2.02522   0.0205865    -2.02035   0.0205314    -2.01495      48.459     98.1399     48.5756     98.1399     48.7058     98.1399
    3      11   0.0211836    -1.61986   0.0211053    -1.61387   0.0210358    -1.60857     47.2063     76.4679     47.3815     76.4679     47.5379     76.4679
    3      12   0.0199471    -1.99478   0.0198694    -1.98701    0.019805    -1.98057     50.1326     100.003     50.3287     100.003     50.4922     100.003
    3      13   0.0205547    -1.59109   0.0205061    -1.58732   0.0204669    -1.58429     48.6506     77.4073     48.7661     77.4073     48.8594     77.4073
    3      14   0.0208705    -1.61551   0.0207919    -1.60942   0.0207503     -1.6062     47.9146     77.4063     48.0957     77.4063     48.1921     77.4063
    3      15   0.0209818    -1.52472   0.0209019    -1.51891   0.0208473    -1.51494     47.6603     72.6685     47.8426     72.6685     47.9679     72.6685
