* Silicon energy calibration parameters. Two sets of parameters: 
* 1.Just the average of the peak1 and the peak2 parameters 
* 2.Consider the dead layer effect, then the get the average of the peak1 and the peak2 parameters 
* Fit function: E_MeV = k * E_CH + h, then E_CH = 1/k * E_MeV - h/k 
* SSDNum  CHNum      k_average           h_average         k_deadlayer         h_deadlayer       k_average_ave       h_average_ave     k_deadlayer_ave    h_deadlayer_ave
    0      0       0.114546            -10.2088            0.105508            -9.40326            0.112695            -9.89037            0.105129             -9.2287
    0      1       0.113463            -9.15888            0.104747            -8.45532            0.112695            -9.89037            0.105129             -9.2287
    0      2       0.112951            -8.18152            0.105885            -7.66967            0.112695            -9.89037            0.105129             -9.2287
    0      3       0.113451            -12.2456            0.106856            -11.5337            0.112695            -9.89037            0.105129             -9.2287
    0      4       0.113864             -7.6086            0.106371            -7.10787            0.112695            -9.89037            0.105129             -9.2287
    0      5       0.110628            -10.8897            0.104686            -10.3049            0.112695            -9.89037            0.105129             -9.2287
    0      6       0.112264            -11.7959            0.104108            -10.9389            0.112695            -9.89037            0.105129             -9.2287
    0      7       0.110826            -10.2332            0.104483            -9.64746            0.112695            -9.89037            0.105129             -9.2287
    0      8       0.114272            -9.03057            0.106107            -8.38532            0.112695            -9.89037            0.105129             -9.2287
    0      9       0.112781            -8.34683            0.105258            -7.79004            0.112695            -9.89037            0.105129             -9.2287
    0     10       0.113223             -10.632            0.107008            -10.0484            0.112695            -9.89037            0.105129             -9.2287
    0     11        0.11177            -7.45746            0.104016            -6.94013            0.112695            -9.89037            0.105129             -9.2287
    0     12       0.111411             -10.929             0.10388            -10.1901            0.112695            -9.89037            0.105129             -9.2287
    0     13       0.112446            -10.5732            0.103538            -9.73559            0.112695            -9.89037            0.105129             -9.2287
    0     14       0.113159            -9.93182            0.104836            -9.20139            0.112695            -9.89037            0.105129             -9.2287
    0     15       0.112059            -11.0228            0.104783            -10.3071            0.112695            -9.89037            0.105129             -9.2287
    1      0      0.0802444             -4.7554           0.0782011            -4.63432           0.0776645            -5.74466           0.0755852            -5.59036
    1      1      0.0784573            -6.08422           0.0763462            -5.92051           0.0776645            -5.74466           0.0755852            -5.59036
    1      2      0.0768532            -4.82385           0.0748295            -4.69683           0.0776645            -5.74466           0.0755852            -5.59036
    1      3      0.0776425            -5.70146           0.0752166            -5.52332           0.0776645            -5.74466           0.0755852            -5.59036
    1      4      0.0772864            -6.41715           0.0756523            -6.28148           0.0776645            -5.74466           0.0755852            -5.59036
    1      5      0.0783503            -4.70864           0.0768515            -4.61857           0.0776645            -5.74466           0.0755852            -5.59036
    1      6      0.0781586            -6.83645           0.0758071            -6.63077           0.0776645            -5.74466           0.0755852            -5.59036
    1      7      0.0781827            -6.57195           0.0761693            -6.40271           0.0776645            -5.74466           0.0755852            -5.59036
    1      8      0.0762212            -5.62754           0.0743022            -5.48585           0.0776645            -5.74466           0.0755852            -5.59036
    1      9      0.0774762            -6.65584           0.0755034            -6.48637           0.0776645            -5.74466           0.0755852            -5.59036
    1     10      0.0776314            -6.17265           0.0746651            -5.93679           0.0776645            -5.74466           0.0755852            -5.59036
    1     11      0.0753819            -5.58277           0.0737229            -5.45991           0.0776645            -5.74466           0.0755852            -5.59036
    1     12      0.0765862            -5.26692           0.0755604            -5.19637           0.0776645            -5.74466           0.0755852            -5.59036
    1     13      0.0773211             -6.3986           0.0751513            -6.21904           0.0776645            -5.74466           0.0755852            -5.59036
    1     14       0.077401            -5.13726           0.0749828            -4.97674           0.0776645            -5.74466           0.0755852            -5.59036
    1     15      0.0794371            -5.17392           0.0764017            -4.97621           0.0776645            -5.74466           0.0755852            -5.59036
    2      0      0.0299361            -2.06835           0.0284952             -1.9688           0.0293846            -2.37807            0.028007            -2.26663
    2      1      0.0291261            -2.03387           0.0278689            -1.94607           0.0293846            -2.37807            0.028007            -2.26663
    2      2      0.0292743             -2.0577           0.0278821            -1.95985           0.0293846            -2.37807            0.028007            -2.26663
    2      3      0.0292821            -2.22047           0.0280182            -2.12463           0.0293846            -2.37807            0.028007            -2.26663
    2      4         0.0295             -2.2881           0.0278634            -2.16117           0.0293846            -2.37807            0.028007            -2.26663
    2      5      0.0297313            -2.59734            0.028274            -2.47004           0.0293846            -2.37807            0.028007            -2.26663
    2      6      0.0290028            -2.51439           0.0277254            -2.40366           0.0293846            -2.37807            0.028007            -2.26663
    2      7      0.0293255            -2.83167           0.0279567            -2.69951           0.0293846            -2.37807            0.028007            -2.26663
    2      8      0.0297566            -2.29404            0.028132            -2.16879           0.0293846            -2.37807            0.028007            -2.26663
    2      9      0.0297016            -2.18878           0.0282108            -2.07892           0.0293846            -2.37807            0.028007            -2.26663
    2     10      0.0295624            -2.82505           0.0280441            -2.67995           0.0293846            -2.37807            0.028007            -2.26663
    2     11      0.0290587             -2.3099           0.0276513            -2.19803           0.0293846            -2.37807            0.028007            -2.26663
    2     12      0.0296524            -2.61217           0.0281816            -2.48262           0.0293846            -2.37807            0.028007            -2.26663
    2     13      0.0289818            -2.35405           0.0275188            -2.23522           0.0293846            -2.37807            0.028007            -2.26663
    2     14       0.029444            -2.83722           0.0284387            -2.74033           0.0293846            -2.37807            0.028007            -2.26663
    2     15      0.0288183            -2.01609            0.027851            -1.94842           0.0293846            -2.37807            0.028007            -2.26663
    3      0     -0.0454274             5.07587          -0.0386862             4.32264           0.0204942            -1.64049           0.0204942            -1.64049
    3      1      0.0207404            -1.56108           0.0207404            -1.56108           0.0204942            -1.64049           0.0204942            -1.64049
