* Consider the deadlayer effects on the fit parameters of peak1 and peak2 
* 1,2 represent using alpha peak1,peak2, respectively. 
* SSDNum  CHNum        k1             h1             k2           h2          <deadlayer>(um)     deadlayer(um)       E1_ELoss           E2_ELoss
    0      0      0.0708411       -4.02198      0.0714979       -4.05927              0                 0                   0                   0
    0      1      0.0712521       -3.53553      0.0719176       -3.56855              0                 0                   0                   0
    0      2      0.0700591       -4.10153      0.0706025       -4.13335              0                 0                   0                   0
    0      3      0.0699668       -3.77378      0.0705103       -3.80309              0                 0                   0                   0
    0      4      0.0706524       -4.18501       0.071232       -4.21934              0                 0                   0                   0
    0      5      0.0699906       -4.29536      0.0705461       -4.32945              0                 0                   0                   0
    0      6      0.0694234       -5.07395      0.0698852        -5.1077              0                 0                   0                   0
    0      7      0.0692309       -4.25961      0.0697779       -4.29326              0                 0                   0                   0
    0      8      0.0691101       -5.29064      0.0696799       -5.33426              0                 0                   0                   0
    0      9      0.0701258       -3.99503       0.070567       -4.02017              0                 0                   0                   0
    0     10      0.0693029        -6.4555      0.0697599       -6.49808              0                 0                   0                   0
    0     11      0.0706019       -3.90613      0.0711069       -3.93407              0                 0                   0                   0
    0     12      0.0708667       -2.62843       0.071612       -2.65607              0                 0                   0                   0
    0     13      0.0694135       -4.82625      0.0699317       -4.86227              0                 0                   0                   0
    0     14      0.0705503       -4.41915      0.0710608       -4.45113              0                 0                   0                   0
    0     15      0.0702339       -3.78611      0.0709685       -3.82571              0                 0                   0                   0
    1      0      0.0693742       -3.89001      0.0700857       -3.92991              0                 0                   0                   0
    1      1       0.066339       -3.82853      0.0670678       -3.87059              0                 0                   0                   0
    1      2      0.0560069       -3.44174      0.0564674       -3.47004              0                 0                   0                   0
    1      3      0.0562999       -2.99868      0.0567677        -3.0236              0                 0                   0                   0
    1      4       0.056058       -4.55196      0.0566233       -4.59786              0                 0                   0                   0
    1      5      0.0555705        -4.1786      0.0560102       -4.21166              0                 0                   0                   0
    1      6      0.0563797       -3.16156      0.0568664       -3.18885              0                 0                   0                   0
    1      7        0.05492       -3.67421      0.0554062       -3.70674              0                 0                   0                   0
    1      8       0.055121       -4.21262      0.0556871       -4.25588              0                 0                   0                   0
    1      9      0.0559152       -3.06446      0.0564069       -3.09141              0                 0                   0                   0
    1     10       0.055365       -3.98971      0.0558834       -4.02707              0                 0                   0                   0
    1     11      0.0530566       -3.78835      0.0536776       -3.83269              0                 0                   0                   0
    1     12      0.0565377       -3.28401      0.0568745       -3.30357              0                 0                   0                   0
    1     13      0.0562666       -3.43886      0.0567134       -3.46617              0                 0                   0                   0
    1     14      0.0560244       -4.74674      0.0564992       -4.78698              0                 0                   0                   0
    1     15      0.0584635       -4.95111      0.0589967       -4.99628              0                 0                   0                   0
    2      0      0.0278725       -2.26035      0.0277338        -2.2491        1.37125              1.14            0.169248            0.161969
    2      1      0.0273896       -1.66472      0.0272528        -1.6564        1.37125              1.26            0.187264             0.17919
    2      2      0.0280776       -1.99136      0.0279379       -1.98146        1.37125              1.56            0.232539            0.222449
    2      3      0.0280847       -1.17593      0.0279447       -1.17006        1.37125              1.44            0.214418            0.205138
    2      4      0.0279981       -1.64188       0.027859       -1.63373        1.37125              1.63            0.243167              0.2326
    2      5      0.0279941       -1.40243      0.0278549       -1.39546        1.37125              1.56            0.232539            0.222449
    2      6      0.0274292       -1.39862      0.0272922       -1.39164        1.37125              0.99            0.146763            0.140471
    2      7      0.0281019       -1.43677      0.0279614       -1.42959        1.37125              1.46            0.217439            0.208024
    2      8      0.0275731       -1.90325      0.0274362       -1.89379        1.37125              1.49            0.221973            0.212356
    2      9      0.0280499        -1.4613      0.0279102       -1.45402        1.37125              1.33            0.197804            0.189263
    2     10      0.0281438       -1.33663      0.0280039       -1.32999        1.37125              1.13             0.16773            0.160518
    2     11      0.0278591       -1.83302      0.0277199       -1.82386        1.37125              1.63            0.243167              0.2326
    2     12      0.0280188        -1.6733      0.0278792       -1.66496        1.37125              1.43            0.212886            0.203675
    2     13      0.0281265       -1.47005      0.0279864       -1.46272        1.37125              1.19            0.176757            0.169147
    2     14      0.0285507       -2.46813      0.0284082       -2.45581        1.37125              1.52            0.226509            0.216689
    2     15      0.0278617       -1.09884      0.0277226       -1.09336        1.37125              1.18            0.175255            0.167711
    3      0      0.0161367       -1.48079      0.0160956       -1.47702              0                 0                   0                   0
    3      1      0.0160461       -1.37145      0.0160086       -1.36825              0                 0                   0                   0
    3      2      0.0158367        -1.2678       0.015803        -1.2651              0                 0                   0                   0
    3      3      0.0158318       -1.07739      0.0158111       -1.07598              0                 0                   0                   0
    3      4      0.0160473       -1.10296      0.0160264       -1.10152              0                 0                   0                   0
    3      5      0.0160276       -1.31103      0.0160094       -1.30953              0                 0                   0                   0
    3      6      0.0159991       -1.51818       0.015978       -1.51618              0                 0                   0                   0
    3      7      0.0158513       -1.36345      0.0158079       -1.35971              0                 0                   0                   0
    3      8      0.0159788       -1.37433      0.0159524       -1.37207              0                 0                   0                   0
    3      9      0.0157606       -1.20095      0.0157354       -1.19903              0                 0                   0                   0
    3     10      0.0159119       -1.50013      0.0158848       -1.49758              0                 0                   0                   0
    3     11      0.0161422        -1.4462      0.0161059       -1.44294              0                 0                   0                   0
    3     12      0.0161188       -1.57092      0.0160921       -1.56833              0                 0                   0                   0
    3     13      0.0205399       -1.88611       0.020508       -1.88318              0                 0                   0                   0
    3     14      0.0206181       -1.92169      0.0205756       -1.91773              0                 0                   0                   0
    3     15       0.016037       -1.57718      0.0159986       -1.57341              0                 0                   0                   0
