* Fit function: E_MeV = k * E_CH + h, then E_CH = 1/k * E_MeV - h/k 
* 1,2,3 represent using alpha peak1,peak2, and peak3 to calibrate the energy,respectively. 
* SSDNum  CHNum      k1        h1          k2           h2          k3          h3       k11=1./k1  h11=-h1/k1   k22=1./k2  h22=-h2/k2   k33=1./k3  h33=-h3/k3
    0       0   0.0708411    -4.02198   0.0714979    -4.05927   0.0720598    -4.09117     14.1161     56.7747     13.9864     56.7747     13.8774     56.7747
    0       1   0.0712521    -3.53553   0.0719176    -3.56855   0.0725357    -3.59922     14.0347       49.62     13.9048       49.62     13.7863       49.62
    0       2   0.0700591    -4.10153   0.0706025    -4.13335   0.0710338     -4.1586     14.2737     58.5439     14.1638     58.5439     14.0778     58.5439
    0       3   0.0699668    -3.77378   0.0705103    -3.80309   0.0711297     -3.8365     14.2925     53.9367     14.1823     53.9367     14.0588     53.9367
    0       4   0.0706524    -4.18501    0.071232    -4.21934   0.0718211    -4.25424     14.1538     59.2338     14.0386     59.2338     13.9235     59.2338
    0       5   0.0699906    -4.29536   0.0705461    -4.32945    0.071076    -4.36196     14.2876     61.3705     14.1751     61.3705     14.0695     61.3705
    0       6   0.0694234    -5.07395   0.0698852     -5.1077   0.0704064     -5.1458     14.4044      73.087     14.3092      73.087     14.2032      73.087
    0       7   0.0692309    -4.25961   0.0697779    -4.29326   0.0701666    -4.31718     14.4444     61.5276     14.3312     61.5276     14.2518     61.5276
    0       8   0.0691101    -5.29064   0.0696799    -5.33426   0.0701324     -5.3689     14.4697     76.5538     14.3513     76.5538     14.2588     76.5538
    0       9   0.0701258    -3.99503    0.070567    -4.02017   0.0710407    -4.04715     14.2601     56.9695     14.1709     56.9695     14.0764     56.9695
    0      10   0.0693029     -6.4555   0.0697599    -6.49808    0.070222    -6.54111     14.4294     93.1491     14.3349     93.1491     14.2406     93.1491
    0      11   0.0706019    -3.90613   0.0711069    -3.93407   0.0716967     -3.9667     14.1639     55.3261     14.0633     55.3261     13.9476     55.3261
    0      12   0.0708667    -2.62843    0.071612    -2.65607   0.0722092    -2.67822      14.111     37.0897     13.9641     37.0897     13.8486     37.0897
    0      13   0.0694135    -4.82625   0.0699317    -4.86227   0.0704286    -4.89682     14.4064     69.5289     14.2997     69.5289     14.1988     69.5289
    0      14   0.0705503    -4.41915   0.0710608    -4.45113   0.0714367    -4.47467     14.1743     62.6383     14.0724     62.6383     13.9984     62.6383
    0      15   0.0702339    -3.78611   0.0709685    -3.82571   0.0714174    -3.84991     14.2381     53.9072     14.0908     53.9072     14.0022     53.9072
    1       0   0.0693742    -3.89001   0.0700857    -3.92991    0.070719    -3.96542     14.4146     56.0728     14.2682     56.0728     14.1405     56.0728
    1       1    0.066339    -3.82853   0.0670678    -3.87059   0.0679287    -3.92027     15.0741     57.7116     14.9103     57.7116     14.7213     57.7116
    1       2   0.0560069    -3.44174   0.0564674    -3.47004   0.0567383    -3.48669     17.8549     61.4521     17.7093     61.4521     17.6248     61.4521
    1       3   0.0562999    -2.99868   0.0567677     -3.0236   0.0571179    -3.04226      17.762     53.2627     17.6156     53.2627     17.5076     53.2627
    1       4    0.056058    -4.55196   0.0566233    -4.59786   0.0569132    -4.62141     17.8387     81.2009     17.6606     81.2009     17.5706     81.2009
    1       5   0.0555705     -4.1786   0.0560102    -4.21166   0.0562806    -4.23199     17.9952     75.1945     17.8539     75.1945     17.7681     75.1945
    1       6   0.0563797    -3.16156   0.0568664    -3.18885   0.0571674    -3.20573     17.7369     56.0761     17.5851     56.0761     17.4925     56.0761
    1       7     0.05492    -3.67421   0.0554062    -3.70674   0.0558069    -3.73355     18.2083     66.9012     18.0485     66.9012     17.9189     66.9012
    1       8    0.055121    -4.21262   0.0556871    -4.25588   0.0561419    -4.29064     18.1419     76.4249     17.9575     76.4249      17.812     76.4249
    1       9   0.0559152    -3.06446   0.0564069    -3.09141   0.0566843    -3.10661     17.8842     54.8055     17.7283     54.8055     17.6416     54.8055
    1      10    0.055365    -3.98971   0.0558834    -4.02707   0.0561974    -4.04969      18.062     72.0619     17.8944     72.0619     17.7944     72.0619
    1      11   0.0530566    -3.78835   0.0536776    -3.83269   0.0541156    -3.86397     18.8478     71.4021     18.6297     71.4021     18.4789     71.4021
    1      12   0.0565377    -3.28401   0.0568745    -3.30357    0.057168    -3.32062     17.6873     58.0852     17.5826     58.0852     17.4923     58.0852
    1      13   0.0562666    -3.43886   0.0567134    -3.46617   0.0570796    -3.48855     17.7725     61.1172     17.6325     61.1172     17.5194     61.1172
    1      14   0.0560244    -4.74674   0.0564992    -4.78698   0.0569548    -4.82558     17.8494     84.7264     17.6994     84.7264     17.5578     84.7264
    1      15   0.0584635    -4.95111   0.0589967    -4.99628    0.059357    -5.02679     17.1047     84.6873     16.9501     84.6873     16.8472     84.6873
    2       0   0.0288689    -2.34115    0.028617    -2.32073   0.0284306    -2.30561     34.6394      81.096     34.9442      81.096     35.1733      81.096
    2       1    0.028477    -1.73081   0.0282163    -1.71496   0.0280148    -1.70272     35.1161     60.7792     35.4406     60.7792     35.6954     60.7792
    2       2   0.0294752    -2.09049   0.0291746    -2.06917    0.028963    -2.05416     33.9268     70.9236     34.2764     70.9236     34.5269     70.9236
    2       3   0.0293688    -1.22969   0.0290815    -1.21766   0.0288831    -1.20936     34.0497     41.8707     34.3861     41.8707     34.6223     41.8707
    2       4   0.0294588    -1.72754   0.0291511     -1.7095    0.028961    -1.69835     33.9458     58.6426      34.304     58.6426     34.5292     58.6426
    2       5   0.0293876    -1.47224   0.0290879    -1.45723   0.0288862    -1.44712      34.028     50.0974     34.3785     50.0974     34.6186     50.0974
    2       6   0.0282754    -1.44177   0.0280429    -1.42992   0.0278642    -1.42081     35.3665     50.9904     35.6597     50.9904     35.8883     50.9904
    2       7   0.0294057    -1.50343   0.0291156     -1.4886   0.0289155    -1.47837      34.007     51.1271     34.3458     51.1271     34.5835     51.1271
    2       8   0.0288803    -1.99348   0.0285933    -1.97366   0.0283935    -1.95987     34.6256     69.0254     34.9733     69.0254     35.2194     69.0254
    2       9   0.0292289    -1.52272   0.0289545    -1.50842   0.0287593    -1.49825     34.2127     52.0963     34.5369     52.0963     34.7714     52.0963
    2      10   0.0291404    -1.38397   0.0288875    -1.37196   0.0287066    -1.36337     34.3166     47.4931      34.617     47.4931     34.8351     47.4931
    2      11   0.0293125    -1.92865   0.0290055    -1.90845   0.0288283    -1.89679     34.1151     65.7961     34.4762     65.7961     34.6881     65.7961
    2      12   0.0292903    -1.74923   0.0290049    -1.73219   0.0287859    -1.71911     34.1409     59.7204     34.4769     59.7204     34.7392     59.7204
    2      13   0.0291781    -1.52501   0.0289185    -1.51144    0.028711     -1.5006     34.2722     52.2656     34.5799     52.2656     34.8298     52.2656
    2      14   0.0299332    -2.58765   0.0296317    -2.56159    0.029441     -2.5451     33.4077     86.4474     33.7476     86.4474     33.9662     86.4474
    2      15   0.0288942    -1.13956   0.0286378    -1.12945   0.0284799    -1.12322      34.609     39.4392     34.9188     39.4392     35.1124     39.4392
    3       0   0.0161367    -1.48079   0.0160956    -1.47702    0.016051    -1.47293     61.9707     91.7655     62.1287     91.7655     62.3012     91.7655
    3       1   0.0160461    -1.37145   0.0160086    -1.36825   0.0159833    -1.36608     62.3206     85.4696     62.4663     85.4696     62.5654     85.4696
    3       2   0.0158367     -1.2678    0.015803     -1.2651   0.0157859    -1.26373     63.1444     80.0545     63.2791     80.0545     63.3478     80.0545
    3       3   0.0158318    -1.07739   0.0158111    -1.07598   0.0157844    -1.07416      63.164     68.0522     63.2466     68.0522     63.3536     68.0522
    3       4   0.0160473    -1.10296   0.0160264    -1.10152   0.0160008    -1.09976     62.3159     68.7316      62.397     68.7316      62.497     68.7316
    3       5   0.0160276    -1.31103   0.0160094    -1.30953   0.0159732    -1.30658     62.3923      81.798     62.4634      81.798     62.6048      81.798
    3       6   0.0159991    -1.51818    0.015978    -1.51618   0.0159443    -1.51298     62.5035     94.8914     62.5861     94.8914     62.7182     94.8914
    3       7   0.0158513    -1.36345   0.0158079    -1.35971   0.0157789    -1.35722     63.0864     86.0149     63.2596     86.0149     63.3759     86.0149
    3       8   0.0159788    -1.37433   0.0159524    -1.37207   0.0159182    -1.36912     62.5831       86.01     62.6864       86.01     62.8213       86.01
    3       9   0.0157606    -1.20095   0.0157354    -1.19903   0.0157139    -1.19739     63.4493     76.1992     63.5509     76.1992     63.6378     76.1992
    3      10   0.0159119    -1.50013   0.0158848    -1.49758   0.0158499    -1.49429     62.8459     94.2773     62.9533     94.2773     63.0919     94.2773
    3      11   0.0161422     -1.4462   0.0161059    -1.44294   0.0160826    -1.44086     61.9495     89.5911     62.0891     89.5911     62.1789     89.5911
    3      12   0.0161188    -1.57092   0.0160921    -1.56833   0.0160713    -1.56629     62.0395     97.4591     62.1421     97.4591     62.2229     97.4591
    3      13   0.0205399    -1.88611    0.020508    -1.88318   0.0204582    -1.87861     48.6858     91.8266     48.7614     91.8266     48.8802     91.8266
    3      14   0.0206181    -1.92169   0.0205756    -1.91773   0.0205479    -1.91515     48.5011     93.2042     48.6012     93.2042     48.6668     93.2042
    3      15    0.016037    -1.57718   0.0159986    -1.57341   0.0159777    -1.57134     62.3557     98.3463     62.5053     98.3463     62.5874     98.3463
