* Silicon energy calibration parameters. Two sets of parameters: 
* 1.Just the average of the peak1 and the peak2 parameters 
* 2.Consider the dead layer effect, then the get the average of the peak1 and the peak2 parameters 
* Fit function: E_MeV = k * E_CH + h, then E_CH = 1/k * E_MeV - h/k 
* SSDNum  CHNum      k_average           h_average         k_deadlayer         h_deadlayer       k_average_ave       h_average_ave     k_deadlayer_ave    h_deadlayer_ave
    0      0      0.0711695            -4.04063           0.0711695            -4.04063           0.0703837            -4.30155           0.0703837            -4.30155
    0      1      0.0715849            -3.55204           0.0715849            -3.55204           0.0703837            -4.30155           0.0703837            -4.30155
    0      2      0.0703308            -4.11744           0.0703308            -4.11744           0.0703837            -4.30155           0.0703837            -4.30155
    0      3      0.0702385            -3.78843           0.0702385            -3.78843           0.0703837            -4.30155           0.0703837            -4.30155
    0      4      0.0709422            -4.20218           0.0709422            -4.20218           0.0703837            -4.30155           0.0703837            -4.30155
    0      5      0.0702684            -4.31241           0.0702684            -4.31241           0.0703837            -4.30155           0.0703837            -4.30155
    0      6      0.0696543            -5.09083           0.0696543            -5.09083           0.0703837            -4.30155           0.0703837            -4.30155
    0      7      0.0695044            -4.27644           0.0695044            -4.27644           0.0703837            -4.30155           0.0703837            -4.30155
    0      8       0.069395            -5.31245            0.069395            -5.31245           0.0703837            -4.30155           0.0703837            -4.30155
    0      9      0.0703464             -4.0076           0.0703464             -4.0076           0.0703837            -4.30155           0.0703837            -4.30155
    0     10      0.0695314            -6.47679           0.0695314            -6.47679           0.0703837            -4.30155           0.0703837            -4.30155
    0     11      0.0708544             -3.9201           0.0708544             -3.9201           0.0703837            -4.30155           0.0703837            -4.30155
    0     12      0.0712394            -2.64225           0.0712394            -2.64225           0.0703837            -4.30155           0.0703837            -4.30155
    0     13      0.0696726            -4.84426           0.0696726            -4.84426           0.0703837            -4.30155           0.0703837            -4.30155
    0     14      0.0708055            -4.43514           0.0708055            -4.43514           0.0703837            -4.30155           0.0703837            -4.30155
    0     15      0.0706012            -3.80591           0.0706012            -3.80591           0.0703837            -4.30155           0.0703837            -4.30155
    1      0      0.0697299            -3.90996           0.0697299            -3.90996           0.0576166            -3.84251           0.0576166            -3.84251
    1      1      0.0667034            -3.84956           0.0667034            -3.84956           0.0576166            -3.84251           0.0576166            -3.84251
    1      2      0.0562371            -3.45589           0.0562371            -3.45589           0.0576166            -3.84251           0.0576166            -3.84251
    1      3      0.0565338            -3.01114           0.0565338            -3.01114           0.0576166            -3.84251           0.0576166            -3.84251
    1      4      0.0563406            -4.57491           0.0563406            -4.57491           0.0576166            -3.84251           0.0576166            -3.84251
    1      5      0.0557904            -4.19513           0.0557904            -4.19513           0.0576166            -3.84251           0.0576166            -3.84251
    1      6       0.056623            -3.17521            0.056623            -3.17521           0.0576166            -3.84251           0.0576166            -3.84251
    1      7      0.0551631            -3.69048           0.0551631            -3.69048           0.0576166            -3.84251           0.0576166            -3.84251
    1      8      0.0554041            -4.23425           0.0554041            -4.23425           0.0576166            -3.84251           0.0576166            -3.84251
    1      9      0.0561611            -3.07794           0.0561611            -3.07794           0.0576166            -3.84251           0.0576166            -3.84251
    1     10      0.0556242            -4.00839           0.0556242            -4.00839           0.0576166            -3.84251           0.0576166            -3.84251
    1     11      0.0533671            -3.81052           0.0533671            -3.81052           0.0576166            -3.84251           0.0576166            -3.84251
    1     12      0.0567061            -3.29379           0.0567061            -3.29379           0.0576166            -3.84251           0.0576166            -3.84251
    1     13        0.05649            -3.45252             0.05649            -3.45252           0.0576166            -3.84251           0.0576166            -3.84251
    1     14      0.0562618            -4.76686           0.0562618            -4.76686           0.0576166            -3.84251           0.0576166            -3.84251
    1     15      0.0587301            -4.97369           0.0587301            -4.97369           0.0576166            -3.84251           0.0576166            -3.84251
    2      0      0.0287429            -2.33094           0.0278031            -2.25472           0.0290217            -1.70226           0.0278761            -1.63445
    2      1      0.0283467            -1.72288           0.0273212            -1.66056           0.0290217            -1.70226           0.0278761            -1.63445
    2      2      0.0293249            -2.07983           0.0280078            -1.98641           0.0290217            -1.70226           0.0278761            -1.63445
