* Fit function: E_MeV = k * E_CH + h, then E_CH = 1/k * E_MeV - h/k 
* 1,2,3 represent using alpha peak1,peak2, and peak3 to calibrate the energy,respectively. 
* SSDNum  CHNum      k1        h1          k2           h2          k3          h3       k11=1./k1  h11=-h1/k1   k22=1./k2  h22=-h2/k2   k33=1./k3  h33=-h3/k3
    0       0   0.0669491    -3.64996   0.0678677    -3.70004    0.068647    -3.74253     14.9367     54.5185     14.7346     54.5185     14.5673     54.5185
    0       1   0.0675663    -3.21734   0.0684851    -3.26109   0.0693098    -3.30036     14.8003     47.6175     14.6017     47.6175      14.428     47.6175
    0       2    0.065853    -3.67925   0.0666797    -3.72544   0.0673488    -3.76282     15.1853     55.8707     14.9971     55.8707     14.8481     55.8707
    0       3   0.0667967    -3.49897   0.0675764    -3.53981   0.0683813    -3.58198     14.9708     52.3824     14.7981     52.3824     14.6239     52.3824
    0       4   0.0663822    -3.75405    0.067246     -3.8029   0.0680632    -3.84912     15.0643      56.552     14.8708      56.552     14.6922      56.552
    0       5    0.066211    -3.91695   0.0670296    -3.96538   0.0677732    -4.00937     15.1032     59.1586     14.9188     59.1586     14.7551     59.1586
    0       6   0.0659925    -4.69922   0.0667072    -4.75011   0.0674283    -4.80146     15.1532     71.2083     14.9909     71.2083     14.8306     71.2083
    0       7   0.0659579    -3.94477   0.0667444     -3.9918   0.0673352    -4.02714     15.1612     59.8073     14.9825     59.8073     14.8511     59.8073
    0       8   0.0655497    -4.88381   0.0663701    -4.94493    0.067032    -4.99425     15.2556     74.5054      15.067     74.5054     14.9182     74.5054
    0       9   0.0659653    -3.58543   0.0666968    -3.62519   0.0674025    -3.66355     15.1595     54.3534     14.9932     54.3534     14.8362     54.3534
    0      10   0.0669665    -6.19092   0.0676232    -6.25163   0.0682452    -6.30913     14.9328      92.448     14.7878      92.448      14.653      92.448
    0      11   0.0669439    -3.56804   0.0677114    -3.60895    0.068507    -3.65135     14.9379     53.2989     14.7686     53.2989      14.597     53.2989
    0      12   0.0703513    -2.69202   0.0712081     -2.7248   0.0718921    -2.75098     14.2144     38.2654     14.0434     38.2654     13.9097     38.2654
    0      13   0.0658441    -4.44427   0.0666176    -4.49648   0.0673215    -4.54399     15.1874     67.4969     15.0111     67.4969     14.8541     67.4969
    0      14    0.066477    -3.99925   0.0672687    -4.04688   0.0678821    -4.08378     15.0428     60.1599     14.8658     60.1599     14.7314     60.1599
    0      15    0.066518    -3.44471   0.0674998    -3.49556    0.068167    -3.53011     15.0335     51.7862     14.8149     51.7862     14.6699     51.7862
    1       0    0.067883    -3.81936   0.0687477    -3.86801   0.0695042    -3.91057     14.7312     56.2639     14.5459     56.2639     14.3876     56.2639
    1       1   0.0652124    -3.79861    0.066074     -3.8488   0.0670398    -3.90505     15.3345     58.2498     15.1345     58.2498     14.9165     58.2498
    1       2    0.052883    -3.09461   0.0535572    -3.13407   0.0540145    -3.16083     18.9097     58.5182     18.6716     58.5182     18.5135     58.5182
    1       3   0.0531293    -2.67202   0.0538129     -2.7064   0.0543458     -2.7332      18.822     50.2927     18.5829     50.2927     18.4007     50.2927
    1       4   0.0533284     -4.2099   0.0540829    -4.26946   0.0545419     -4.3057     18.7517     78.9429     18.4901     78.9429     18.3345     78.9429
    1       5   0.0527919    -3.84283   0.0534306    -3.88932   0.0538722    -3.92147     18.9423      72.792     18.7159      72.792     18.5624      72.792
    1       6   0.0532796    -2.83643   0.0539776    -2.87359   0.0544624     -2.8994     18.7689     53.2368     18.5262     53.2368     18.3613     53.2368
    1       7   0.0522584    -3.37686    0.052934    -3.42052   0.0534921    -3.45659     19.1357     64.6186     18.8914     64.6186     18.6943     64.6186
    1       8    0.052466    -3.89187   0.0532162    -3.94752   0.0538254    -3.99271       19.06     74.1789     18.7913     74.1789     18.5786     74.1789
    1       9   0.0528198    -2.74171   0.0535213    -2.77813   0.0539834    -2.80211     18.9323     51.9069     18.6841     51.9069     18.5242     51.9069
    1      10   0.0525645    -3.65821   0.0532769    -3.70779   0.0537602    -3.74143     19.0243     69.5948     18.7699     69.5948     18.6011     69.5948
    1      11   0.0513894    -3.63359   0.0521477    -3.68721   0.0527012    -3.72634     19.4593      70.707     19.1763      70.707     18.9749      70.707
    1      12   0.0532988    -2.93331   0.0538657    -2.96451   0.0543488     -2.9911     18.7621     55.0352     18.5647     55.0352     18.3997     55.0352
    1      13   0.0533337    -3.12237   0.0539873    -3.16063   0.0545255    -3.19214     18.7499      58.544     18.5229      58.544       18.34      58.544
    1      14   0.0531003    -4.36141   0.0537789    -4.41716   0.0543998    -4.46815     18.8323     82.1354     18.5946     82.1354     18.3824     82.1354
    1      15   0.0553056    -4.53717   0.0560533    -4.59852   0.0565985    -4.64324     18.0814     82.0383     17.8401     82.0383     17.6683     82.0383
    2       0   0.0280229    -2.24721   0.0278617    -2.23428   0.0277465    -2.22504     35.6852     80.1919     35.8915     80.1919     36.0406     80.1919
    2       1   0.0277276    -1.67458   0.0275499    -1.66385   0.0274137    -1.65563     36.0652     60.3942     36.2978     60.3942     36.4781     60.3942
    2       2   0.0285872    -1.99815   0.0283825    -1.98384   0.0282456    -1.97427     34.9806     69.8965     35.2329     69.8965     35.4038     69.8965
    2       3   0.0285547    -1.17805   0.0283569    -1.16989   0.0282281    -1.16458     35.0205     41.2559     35.2648     41.2559     35.4257     41.2559
    2       4    0.028613    -1.65553    0.028398    -1.64309   0.0282793    -1.63622     34.9491     57.8592     35.2137     57.8592     35.3616     57.8592
    2       5      0.0286    -1.41973   0.0283879     -1.4092   0.0282542    -1.40257     34.9651     49.6409     35.2262     49.6409     35.3929     49.6409
    2       6   0.0275771    -1.40343   0.0274228    -1.39558   0.0273056    -1.38962      36.262     50.8913      36.466     50.8913     36.6225     50.8913
    2       7   0.0285504    -1.43544   0.0283532    -1.42552   0.0282254     -1.4191     35.0258     50.2773     35.2694     50.2773     35.4291     50.2773
    2       8   0.0280754    -1.91961   0.0278768    -1.90603   0.0277458    -1.89707     35.6184     68.3733     35.8722     68.3733     36.0414     68.3733
    2       9   0.0284009    -1.45905   0.0282167    -1.44959   0.0280919    -1.44317     35.2101     51.3734       35.44     51.3734     35.5975     51.3734
    2      10   0.0283773    -1.33768   0.0282087    -1.32973   0.0280938    -1.32431     35.2394      47.139       35.45      47.139      35.595      47.139
    2      11   0.0284844      -1.854   0.0282686    -1.83995   0.0281612    -1.83296     35.1069     65.0882      35.375     65.0882     35.5098     65.0882
    2      12   0.0284619    -1.67942    0.028267    -1.66792    0.028119    -1.65919     35.1347      59.006     35.3769      59.006     35.5631      59.006
    2      13    0.028397    -1.47127   0.0282233    -1.46227   0.0280836    -1.45503      35.215     51.8109     35.4317     51.8109      35.608     51.8109
    2      14   0.0290917    -2.49541   0.0288826    -2.47748   0.0287633    -2.46724      34.374     85.7775     34.6229     85.7775     34.7665     85.7775
    2      15   0.0281525    -1.10281   0.0279787      -1.096   0.0278848    -1.09232     35.5208     39.1726     35.7414     39.1726     35.8618     39.1726
    3       0   0.0159003    -1.50566   0.0158908    -1.50476   0.0158709    -1.50288     62.8917     94.6938     62.9296     94.6938     63.0082     94.6938
    3       1   0.0158062    -1.39603   0.0158004    -1.39552   0.0157999    -1.39547     63.2662     88.3216     63.2896     88.3216     63.2917     88.3216
    3       2   0.0156152    -1.29983   0.0156116    -1.29954   0.0156181    -1.30008     64.0403     83.2418     64.0549     83.2418     64.0283     83.2418
    3       3   0.0156207    -1.11601   0.0156294    -1.11664   0.0156258    -1.11638     64.0176     71.4445     63.9818     71.4445     63.9967     71.4445
    3       4   0.0158165    -1.13496   0.0158266    -1.13568   0.0158253    -1.13559      63.225     71.7577     63.1848     71.7577       63.19     71.7577
    3       5   0.0158296     -1.3526     0.01584     -1.3535   0.0158263    -1.35233     63.1729      85.448     63.1311      85.448     63.1858      85.448
    3       6   0.0157597    -1.54045   0.0157701    -1.54147   0.0157612     -1.5406      63.453     97.7465     63.4113     97.7465     63.4469     97.7465
    3       7   0.0156254    -1.39251   0.0156125    -1.39136   0.0156074    -1.39091     63.9984     89.1187     64.0513     89.1187     64.0722     89.1187
    3       8   0.0157578     -1.4059   0.0157617    -1.40625   0.0157512    -1.40531     63.4606     89.2191     63.4449     89.2191     63.4873     89.2191
    3       9   0.0155506    -1.23797   0.0155547     -1.2383   0.0155562    -1.23841     64.3062     79.6093     64.2894     79.6093     64.2832     79.6093
    3      10   0.0156878    -1.52831    0.015691    -1.52862     0.01568    -1.52755     63.7438     97.4201     63.7306     97.4201     63.7754     97.4201
    3      11   0.0159171    -1.47603   0.0159115    -1.47551   0.0159123    -1.47558     62.8256     92.7322     62.8477     92.7322     62.8445     92.7322
    3      12   0.0159026    -1.60246    0.015906    -1.60281   0.0159087    -1.60308     62.8828     100.767     62.8693     100.767     62.8587     100.767
    3      13   0.0202939    -1.92316   0.0202983    -1.92358   0.0202768    -1.92154      49.276     94.7655     49.2652     94.7655     49.3174     94.7655
    3      14   0.0204049    -1.96949   0.0203965    -1.96868   0.0203954    -1.96857     49.0079     96.5205      49.028     96.5205     49.0308     96.5205
    3      15   0.0158363    -1.61442   0.0158268    -1.61346   0.0158284    -1.61363     63.1462     101.945      63.184     101.945     63.1774     101.945
