SSD_Layer       Multi=0       Multi=1        Multi=2        Multi=3        Multi=4        Multi=5        Multi=6         Sum

SSD1_L1S       0.123015       0.275966       0.291469       0.190125      0.0846246      0.0270491     0.00643108       0.998679
SSD1_L2F       0.598143       0.285974      0.0988536      0.0148883     0.00182453     0.00021851    2.80305e-05        0.99993
SSD1_L2B       0.616102       0.283763       0.083369      0.0134492     0.00177707    0.000328721    0.000128048       0.998917
SSD1_L3A        0.72662       0.231334      0.0386343     0.00321458     0.00018825    8.60025e-06    3.18528e-07              1

SSD2_L1S       0.327769       0.369847       0.207973      0.0731426      0.0177143     0.00309322    0.000408671       0.999948
SSD2_L2F       0.619069       0.246591        0.10428      0.0253494     0.00402046    0.000496904    5.25571e-05        0.99986
SSD2_L2B       0.580051       0.289085       0.101499      0.0220727     0.00370034    0.000709999    0.000345284       0.997463
SSD2_L3A       0.746496       0.214001      0.0360112     0.00330218    0.000181879    8.28173e-06              0              1

SSD3_L1S       0.659354       0.266484      0.0661471     0.00737551    0.000600425    3.59937e-05     2.2297e-06              1
SSD3_L2F       0.614204       0.255744      0.0812558       0.013682     0.00185638    0.000243674    5.70165e-05       0.967043
SSD3_L2B       0.639664        0.24878      0.0663417      0.0101544     0.00131743    0.000277756    0.000160538       0.966696
SSD3_L3A        0.74499       0.210444      0.0406372     0.00367613    0.000225199    2.03858e-05    6.68909e-06              1

SSD4_L1S       0.154535       0.217016       0.203194       0.156328       0.106543      0.0656642      0.0382351       0.941516
SSD4_L2F       0.565195       0.248916       0.139101      0.0340844     0.00550958    0.000748541    0.000169138       0.993724
SSD4_L2B       0.590561       0.307501      0.0823611      0.0126156     0.00152862    0.000295594     0.00014939       0.995012
SSD4_L3A       0.734271       0.216334      0.0428267      0.0060842    0.000464414    1.84746e-05    1.27411e-06              1

