 *Fit function = par[0]+par[1]*x && y = a*x + b (y=Energy, x=Ch);  so I define a = par[1], b = par[0]
 *SSDNum  CHNum     par_a       Errpar_a          par_b        Errpar_b
    0      0      0.0250085    0.000217976       -1.48199      0.0586468
    0      1      0.0244508    5.54153e-05       -1.17271      0.0145493
    0      2      0.0249888    1.12053e-05       -1.11675     0.00285356
    0      3      0.0250683    8.88991e-05       -2.00253       0.025706
    0      4      0.0252828    8.17654e-05       -1.02996      0.0202999
    0      5       0.025166    0.000343185       -1.92083      0.0977363
    0      6        0.02472    0.000219301       -1.88735      0.0632853
    0      7      0.0250922    0.000247545       -1.73771      0.0689009
    0      8      0.0251753    0.000104316       -1.27951      0.0270423
    0      9      0.0252069    0.000317343       -1.22514      0.0814788
    0     10      0.0252716    0.000205612       -1.72504      0.0567202
    0     11      0.0251422    0.000404305       -1.05256       0.101301
    0     12      0.0250523    0.000328594       -1.82944      0.0928078
    0     13      0.0247636     8.2565e-05       -1.61741      0.0228851
    0     14      0.0249169    0.000133186       -1.49145      0.0360163
    0     15       0.025895    0.000739418       -2.04575       0.208217
    1      0      0.0250687    3.87668e-05      -0.784704     0.00932791
    1      1      0.0247078    0.000216491       -1.32451      0.0575776
    1      2      0.0242499    0.000121532      -0.894549      0.0307799
    1      3      0.0246967    0.000227776       -1.20835      0.0595358
    1      4      0.0244264    0.000169297       -1.38847      0.0459876
    1      5       0.025025    0.000263091      -0.914018      0.0647726
    1      6      0.0248733    0.000289942       -1.60021      0.0798105
    1      7      0.0250487    0.000431968       -1.54571       0.117133
    1      8      0.0242068    0.000208351       -1.17764      0.0552965
    1      9      0.0246312    0.000305995        -1.5418      0.0843323
    1     10      0.0244871    0.000360559       -1.34202      0.0970154
    1     11      0.0240827    8.67377e-05       -1.19764      0.0232108
    1     12      0.0246837    8.55202e-05       -1.13802      0.0221215
    1     13      0.0244032    0.000104744       -1.39759      0.0285185
    1     14      0.0242236    0.000157984      -0.921085      0.0402282
    1     15      0.0242457    4.13846e-05      -0.828809       0.010371
    2      0      0.0256054    3.15979e-05       -1.03189     0.00774834
    2      1      0.0254941    0.000103923       -1.14455      0.0260537
    2      2      0.0254728    5.26531e-05       -1.13002      0.0131813
    2      3      0.0255791    8.53795e-05        -1.2993      0.0218498
    2      4      0.0251422      8.148e-05       -1.19964      0.0208915
    2      5      0.0260075    0.000133682       -1.63577      0.0353756
    2      6      0.0253653    0.000112077       -1.56162      0.0300818
    2      7      0.0256181     0.00012129       -1.83074      0.0335067
    2      8      0.0253469    5.91231e-05       -1.20309      0.0150448
    2      9      0.0259304    0.000306314       -1.26514       0.076925
    2     10      0.0255884    3.29276e-05       -1.76045     0.00901651
    2     11      0.0252811    8.04257e-05       -1.34816      0.0209799
    2     12      0.0258092    9.51205e-05       -1.61422      0.0252853
    2     13      0.0254785     0.00019619       -1.45232      0.0515831
    2     14       0.026071     0.00020147       -1.92633      0.0554277
    2     15      0.0253653    0.000134928       -1.16713      0.0341185
    3      0              0              0              0              0
    3      1       0.038818     0.00407218       -6.80223        1.26372
    3      2      0.0368316     0.00335319       -6.82848         1.0991
    3      3      0.0202512     0.00014091       -1.46739      0.0467165
    3      4      0.0196578      1.818e-05       -1.56561         0.0063
    3      5      0.0199819    0.000132218       -1.40651      0.0440232
    3      6      0.0190867    5.91021e-05       -1.29596      0.0202595
    3      7       0.019623    0.000121936       -1.33922      0.0409245
    3      8      0.0193158    7.17309e-05       -1.22491      0.0240333
    3      9       0.019462    7.38191e-05       -1.00305      0.0237064
    3     10      0.0198364    5.81009e-05       -1.75727      0.0205137
    3     11      0.0203281    4.27875e-05       -1.36131      0.0139088
    3     12      0.0189097    1.16817e-05       -1.64016      0.0042543
    3     13      0.0197871    5.95504e-05       -1.34986      0.0198527
    3     14      0.0200665     0.00018939       -1.36912      0.0624408
    3     15      0.0197815    0.000134862       -1.16048      0.0436826
