*SSDNum  CHNum    mean     sigma   mean+5sigma      Chi2      Xmin      Xmax
    0    0        101.875    2.1262   112.506   152.695   93.4555   111.548
    0    1        94.0153    2.1386   104.708   263.877   85.0125   104.311
    0    2        85.4815   2.15813   96.2721    160.27   76.7419   96.3847
    0    3        121.326   2.13697   132.011   239.062   111.548   131.363
    0    4        80.1462   2.12758   90.7841   212.235   70.0219   90.6986
    0    5        111.618   2.16241    122.43   222.338   100.175   124.643
    0    6        117.792    2.1821   128.703   118.052   110.169   125.504
    0    7          105.1    2.1543   115.872   85.8796   96.9016   114.132
    0    8        92.8834   2.12695   103.518   140.039   83.8064   104.138
    0    9        87.6925   2.14542   98.4196   198.722    77.948    98.797
    0   10        107.911   2.14651   118.644   261.544   98.1078   118.268
    0   11        80.1112     2.131   90.7662   155.433   71.0558   89.6648
    0   12        111.623   2.16491   122.448   350.453   101.554   121.541
    0   13        107.199   2.15151   117.957    210.92   96.2124   119.474
    0   14        101.313   2.14379   112.032   102.639   91.9048   112.581
    0   15        111.576    2.1274   122.213   319.346   102.243   121.197
    1    0        74.6903   1.68512   83.1159   201.358   66.0589   83.9787
    1    1        97.8868   1.70152   106.394   10.3277   88.4586   108.102
    1    2        81.5084   1.71823   90.0995   59.5072   72.2619   89.4925
    1    3        89.8297    1.7121   98.3902   36.7474   81.5664   98.1078
    1    4        99.6421   1.69121   108.098   32.5792   91.0432   110.169
    1    5        75.4423   1.69595   83.9221   97.3958   67.0927   84.8402
    1    6        106.021   1.70314   114.536   48.6943   97.5909   114.305
    1    7         101.17   1.71215    109.73   35.8271   90.6986   111.892
    1    8        89.9232   1.78192   98.8328    647.02   80.3603   101.382
    1    9        104.252   1.71135   112.808   1560.41   92.7663   113.443
    1   10        98.9118   1.71185   107.471   129.319   89.4925   110.341
    1   11        91.0136   1.72267    99.627   129.503   81.2218   100.865
    1   12        84.9126   1.68822   93.3537   15.7775   77.0865   93.2832
    1   13        100.533    1.6963   109.014   31.6911   90.5263   111.203
    1   14        83.9656   1.68511   92.3911   18.1825   75.5357   94.6617
    1   15        83.3212   1.69378   91.7901   22.3234   74.6742   94.1447
    2    0        81.7636  0.817725   85.8523   140.505    73.985   89.8371
    2    1        84.2452  0.791073   88.2006   35.4828   76.9142   92.9386
    2    2        82.3588  0.771734   86.2175   68.5697   74.1573    90.354
    2    3        90.1799   0.76692   94.0145    58.244   82.4279   98.9693
    2    4        92.0843  0.766258   95.9156   52.1381   84.4956   101.209
    2    5        101.015  0.770326   104.866   101.202   93.8001   107.929
    2    6        100.086  0.770326   103.937   20.0594   93.9724   106.895
    2    7        110.165  0.785158    114.09   109.428   103.794   119.818
    2    8        91.5182  0.752437   95.2804    32.997   85.5294   99.1416
    2    9        85.9056  0.753822   89.6747   86.5296   78.9818   93.4555
    2   10        109.985  0.758639   113.778   53.6128   102.588   118.268
    2   11        92.6179  0.763522   96.4355   15.9482   86.9079   96.7293
    2   12        101.746  0.754094   105.516   56.3956   92.2494   109.135
    2   13        94.1461  0.757119   97.9317   31.7914   87.7694   100.692
    2   14         110.62  0.775741   114.498   78.3498   103.105   118.095
    2   15        83.0202  0.788089   86.9606   116.363   75.0188   89.6648
    3    0        115.071  0.663379   118.388   111.281   109.135   122.058
    3    1        78.1156  0.892958   82.5804   285.267   71.0558   83.9787
    3    2        85.2604  0.855574   89.5383   62.3433   77.7757   92.2494
    3    3        81.6107  0.833401   85.7777   12.5676   75.5357    88.114
    3    4        96.3955  0.795189   100.371   35.2348   89.6648   103.966
    3    5        77.5339    0.7881   81.4744   38.8366   69.3327   86.7356
    3    6        79.5163  0.799617   83.5143   32.6365   73.1234   88.4586
    3    7        79.6499  0.809121   83.6955   52.2481   74.1573   86.0464
    3    8         75.591  0.745906   79.3206   94.1503   68.9881   83.2895
    3    9        74.4106  0.747253   78.1469   121.236   68.8158   82.6003
    3   10        101.745  0.745345   105.472   173.804   96.0401   108.102
    3   11        78.6768  0.736358   82.3586   121.759   72.7788   85.0125
    3   12        103.554  0.747078    107.29   55.5973   96.7293   110.341
    3   13        82.3766  0.748926   86.1212   79.0181   75.5357   88.4586
    3   14        81.8147  0.744726   85.5384   27.3814   76.7419   88.9756
    3   15        75.9988  0.776186   79.8797   43.7382   69.6773   85.7018
