* Fit function: E_MeV = a * E_CH + b, then E_CH = 1/a * E_MeV - a/b 
* 1,2,3 represent using alpha peak1,peak2, and peak3 to calibrate the energy,respectively. 
* SSDNum  CHNum        a1        b1     1./a1      -a1/b1        a2        b2     1./a2      -a2/b2        a3        b3     1./a3     -a3/b3
      0    0      0.0309624  -3.00566   32.2972   97.0743   0.0304845  -2.95926   32.8036   97.0743   0.0300839  -2.92037   33.2404   97.0743
      0    1      0.0306769  -2.72184   32.5978   88.7261   0.0301768  -2.67747   33.1381   88.7261   0.0298227  -2.64605   33.5315   88.7261
      0    2      0.0305541  -2.45779   32.7288   80.4405   0.0301341    -2.424    33.185   80.4405   0.0297721  -2.39488   33.5885   80.4405
      0    3       0.030739  -3.56923    32.532   116.114   0.0303706  -3.52646   32.9265   116.114   0.0299996  -3.48338   33.3337   116.114
      0    4      0.0306827  -2.29965   32.5916   74.9494   0.0302663  -2.26844     33.04   74.9494   0.0299322   -2.2434   33.4089   74.9494
      0    5      0.0298771  -3.19708   33.4704   107.008   0.0294884  -3.15549   33.9116   107.008   0.0291816  -3.12265   34.2682   107.008
      0    6      0.0303249   -3.4285   32.9762   113.059   0.0298923   -3.3796   33.4534   113.059   0.0295362  -3.33934   33.8567   113.059
      0    7      0.0298628  -2.99981   33.4865   100.453     0.02941  -2.95432   34.0021   100.453   0.0291876  -2.93198   34.2611   100.453
      0    8      0.0309375  -2.69502   32.3232   87.1118   0.0303936  -2.64764   32.9016   87.1118   0.0301325  -2.62489   33.1868   87.1118
      0    9      0.0305632   -2.5302    32.719   82.7856    0.030132  -2.49449   33.1873   82.7856   0.0297996  -2.46698   33.5575   82.7856
      0   10      0.0306699  -3.13963   32.6053   102.368   0.0301996  -3.09148    33.113   102.368   0.0298902  -3.05982   33.4557   102.368
      0   11      0.0302638   -2.2657   33.0428   74.8649   0.0298055  -2.23139   33.5508   74.8649   0.0295667  -2.21351   33.8218   74.8649
      0   12      0.0302387  -3.22008   33.0702   106.488   0.0297711  -3.17028   33.5896   106.488   0.0294789  -3.13916   33.9226   106.488
      0   13      0.0304149   -3.1142   32.8786   102.391   0.0300166  -3.07342   33.3149   102.391   0.0296717  -3.03811   33.7021   102.391
      0   14      0.0304579  -2.91725   32.8322   95.7796   0.0300071  -2.87407   33.3255   95.7796   0.0296859  -2.84331    33.686   95.7796
      0   15       0.030263  -3.21591   33.0437   106.265   0.0298527  -3.17232   33.4978   106.265   0.0296488  -3.15064   33.7282   106.265
      1    0      0.0292334  -1.73086   34.2074   59.2084   0.0289008  -1.71117   34.6011   59.2084   0.0286594  -1.69688   34.8925   59.2084
      1    1       0.028246  -2.21876   35.4032   78.5512   0.0279596  -2.19626   35.7659   78.5512   0.0277518  -2.17994   36.0337   78.5512
      1    2      0.0278619  -1.75752   35.8913   63.0795   0.0275721  -1.73924   36.2685   63.0795   0.0273838  -1.72736   36.5179   63.0795
      1    3      0.0282168  -2.07752   35.4399   73.6272   0.0279019  -2.05434   35.8398   73.6272    0.027741  -2.04249   36.0477   73.6272
