 *Fit function = par[0]+par[1]*x && y = a*x + b (y=Energy, x=Ch);  so I define a = par[1], b = par[0]
 *SSDNum  CHNum     par_a       Errpar_a          par_b        Errpar_b
    0      0       0.055158     0.00016679       -5.27451      0.0318084
    0      1      0.0554625    0.000173093       -2.43867      0.0239828
    0      2      0.0559084    0.000290913        -4.4647      0.0505228
    0      3       0.056378    3.04325e-05       -2.61418     0.00424276
    0      4       0.055664    0.000332799       -3.31706      0.0511926
    0      5      0.0564173     0.00030559       -2.68093      0.0429357
    0      6      0.0566898    2.34314e-05       -4.60532     0.00407133
    0      7       0.056139     0.00041543       -2.43939      0.0568714
    0      8      0.0566229    0.000311374       -4.66001      0.0544675
    0      9      0.0563471    0.000208311       -4.53333      0.0361492
    0     10      0.0562304     0.00031148       -4.66226      0.0548787
    0     11      0.0573171    0.000623301       -4.64126       0.107507
    0     12      0.0559047    0.000220715       -3.08628      0.0328945
    0     13       0.055954    0.000253229       -4.15687      0.0425498
    0     14      0.0558516     0.00018421       -6.63887      0.0391928
    0     15      0.0561592    4.70226e-05       -3.74948     0.00753133
    1      0      0.0459973    0.000255745       -5.25512      0.0583785
    1      1       0.046023    0.000158561       -2.10016      0.0253099
    1      2      0.0470171    0.000368156       -3.62586      0.0694632
    1      3      0.0463339    4.38749e-05       -3.23331      0.0080288
    1      4      0.0457844    6.74783e-05       -2.39652      0.0112637
    1      5       0.047286    0.000314452       -2.59135      0.0521172
    1      6      0.0465216     0.00020564       -2.39049      0.0337553
    1      7      0.0492302    0.000204454       -2.69681      0.0329855
    1      8      0.0458624     0.00012646       -2.16858      0.0204451
    1      9      0.0463255    0.000241951        -3.5564      0.0459699
    1     10      0.0457456    5.44257e-05       -3.83361      0.0108014
    1     11      0.0460483    0.000246957       -3.38811      0.0463014
    1     12      0.0466631    0.000287343       -4.11349      0.0576282
    1     13      0.0462542    0.000113987       -3.07331      0.0205005
    1     14      0.0473121    0.000204593       -2.99282      0.0356256
    1     15      0.0471162     0.00015136       -3.14261      0.0269467
    2      0       0.026472    0.000300927       -1.24276      0.0737717
    2      1      0.0260381    0.000278098      -0.963217      0.0663283
    2      2      0.0261011    0.000105465        -1.3767      0.0267625
    2      3      0.0260522    0.000242951       -1.43367      0.0622976
    2      4      0.0260866     0.00021657       -1.65225      0.0572728
    2      5      0.0256345    8.40912e-05      -0.231539      0.0179746
    2      6      0.0256277    6.60546e-05      -0.999555      0.0161003
    2      7      0.0261307    0.000212492      -0.469496      0.0464907
    2      8      0.0258489    5.40379e-05       -1.42197      0.0139409
    2      9       0.026126    8.64252e-05        -1.2764      0.0215787
    2     10      0.0260375     4.3915e-05       -0.72473      0.0100725
    2     11      0.0259628    0.000179307      -0.887217      0.0423657
    2     12      0.0259073    3.69201e-05       -1.43052     0.00951548
    2     13      0.0259471    7.52275e-05       -1.33786      0.0190904
    2     14      0.0257163    5.28441e-06       -1.51251     0.00138891
    2     15      0.0260061    3.98224e-05       -1.14696     0.00979073
    3      0      0.0153241    3.64945e-05       -1.34707      0.0157032
    3      1      0.0152972    5.60424e-06       -1.16375     0.00234858
    3      2      0.0153229     4.3164e-05       -1.60657      0.0193047
    3      3      0.0154272    1.62313e-05      -0.994694     0.00656702
    3      4      0.0153628     2.1289e-05       -1.43442      0.0092583
    3      5      0.0154708    1.98281e-06       -1.52088    0.000867348
    3      6      0.0154047    2.21456e-05       -1.32856     0.00945252
    3      7      0.0153179    4.96803e-05       -2.00017      0.0235021
    3      8      0.0152202    2.10731e-05       -1.52671     0.00937792
    3      9      0.0154273    6.96194e-05        -1.6645      0.0311872
    3     10      0.0152591    3.79115e-05       -1.55269      0.0168928
    3     11      0.0156422     1.0312e-05       -1.39953     0.00438147
    3     12      0.0153205    3.05672e-05       -1.41843       0.013298
    3     13      0.0153715    9.68047e-06       -1.46649     0.00422768
    3     14      0.0158067     2.1792e-05       -1.27501     0.00899126
    3     15      0.0154512    3.55403e-05       -1.35336      0.0151812
