*SSDNum  CHNum   mean1     mean2     mean3    sigma1    sigma2    sigma3     Chi21     Chi22     Chi23     Xmin1     Xmax1     Xmin2     Xmax2     Xmin3     Xmax3
0         0     184.697    190.77   196.659  0.971614   0.98746  0.910668  0.719026   6.83031  0.654355    183.19   187.396    188.72    194.25   195.262   200.247
0         1     132.418   138.543   144.297    1.0664   1.02402   1.03199   15.7627   60.7612   15.6602   129.827   135.045    135.59    141.12   142.289   146.728
0         2     167.721   173.714   179.486  0.938633   1.03073   1.00151   1.19822   108.379   9.50115   166.307   169.578   170.668   176.665   177.133    182.04
0         3     133.427   139.568   145.228   1.12427  0.965461   0.97116   24.6437  0.790215   13.0315   131.073   135.279   137.538   141.899   143.379   147.896
0         4     147.807   153.884   159.572  0.980462    1.1165   1.02832   11.3328   80.9911   16.4414   145.749   150.344   151.435   156.108   156.809   162.261
0         5     134.507   140.526   146.346   1.04916   1.00581   0.97483    160.61   47.6177   7.53401   132.176    137.55   138.173   143.391    144.17   149.544
0         6     167.712   173.769   179.517   1.05359   1.04932   1.07195   113.968   95.4223   15.4203   165.126   170.188   170.734   176.653   177.042   182.183
0         7     130.921   136.923   142.662   1.04449   1.11421    1.0214  0.509511   93.6339   17.1101     128.8   133.396   133.863   139.704   140.094   145.546
0         8     168.877   174.881   180.682   1.07891    1.1209  0.987094   127.637   86.7209   15.4783   166.087   170.994   172.318   177.302   178.315   183.066
0         9     167.543    173.62   179.407   1.06246   1.05062  0.988858   33.7478   42.2182   6.36931   165.099    170.24   170.629    175.77   176.627   181.923
0        10     170.122   176.195   181.955   1.14492   1.20009   1.05865   238.203   107.333   30.4161   166.464    172.85   173.474    178.38   179.081   185.624
0        11     166.649   172.544   178.374   1.12168   1.12081  0.885264   52.0922   46.1808  0.303875   163.632   169.318   170.486   175.938   176.873   183.104
0        12     142.944   148.966   154.882   1.12815   1.04742  0.860609   117.041   98.5612  0.579604   140.074   145.604    146.15   152.225    152.77   158.222
0        13     162.019   168.097   173.962   1.06621   1.15216  0.967093   38.5795   104.658   1.81666     159.8   164.785   165.175   171.405   171.951   176.935
0        14     206.711   212.793   218.608   1.08166   1.06754   1.01506   66.6288    230.97   19.1397   203.866   209.162   209.474   215.627   216.483   221.546
0        15      154.09   160.258    165.97   1.19312   1.36573  0.946284   41.5076   50.5355   20.3239   151.398   156.617   157.318   162.302    162.77   168.767
1         0     220.748   228.197   235.343   1.09909  0.998125  0.961756   71.6175   75.0238    47.881   217.743   223.183    225.63   230.526   232.157   238.684
1         1      152.25   159.624   166.747   1.04571    1.0563    1.0825   32.9808   128.958   22.6638    149.65   154.817   156.812   162.614   163.792   169.141
1         2     181.294   188.601   195.631   1.10038   1.11713   1.10124   297.327   250.065   33.5434     178.2   184.001   184.908   191.707   192.473   198.288
1         3     175.627   182.977   189.973   1.07345   1.01424   0.97872   177.272    218.96   42.0273   172.565   178.729   180.089   185.619   186.979   193.778
1         4     159.402   166.892   173.961   1.12143   1.04087  0.990749   308.974   148.234   48.4139   156.197   162.361    163.54   169.523   171.064   177.047
1         5     158.511   165.734   172.525   1.09022   1.03006  0.970298   350.841    157.71   61.5203   155.205   161.279   163.183   168.713   169.438   175.058
1         6     156.746   164.081   171.207   1.10454    1.0723   1.28299   149.062   158.462   24.5135   153.565   160.183   160.545   166.982   168.342   173.327
1         7      154.29   161.195   167.832   1.15321   1.53017   1.52649   210.586   173.444   15.5078   150.667    156.65   157.647   164.446   165.353   171.427
1         8     154.121   161.617   168.736   1.09794   1.06386   1.02662   202.952   100.455    39.954   151.378   156.817   158.812   164.795   165.792   172.047
1         9     182.615   190.008   197.075   1.17869    1.0867  0.972616   351.964   164.623   11.0976   179.496   185.575   187.337    193.24   194.561   201.697
1        10     190.968   198.466   205.584   1.12099   1.07439  0.964631   176.194   264.863   42.4572   188.285   193.724   194.721   202.064   203.242   209.135
1        11     180.112   187.435   194.477   1.13911   1.10582   1.01505   214.287   258.749   25.1134   176.565    182.82   184.089   190.979   191.885   198.503
1        12      193.19   200.488    207.45    1.1038   1.12235  0.944321   258.613   267.898    38.576   190.386   196.007   196.642   203.894    204.71   210.874
1        13     172.452   179.807   186.792   1.08393   1.06101  0.991192   170.922   126.384   29.6205   169.559   175.814   177.446   183.248   183.973   191.407
1        14     166.848   174.064   180.965   1.08728   1.06074  0.985918   178.376   205.247   61.5664   164.474   169.732   171.001   177.257     177.8   184.599
1        15     170.657   177.917   184.923   1.38485   1.16117  0.963891   28.3891   38.3901   23.5031   168.559   173.545   174.633   180.616   181.795   188.594
2         0     232.084   245.335   257.262    1.4961   1.34578   1.38227   199.091   221.196   54.2593   228.028   236.669   241.182   250.725   253.304   262.976
2         1     225.176   238.577   250.817   1.49317   1.35589   1.35815   370.661   194.051   68.4796   221.058   229.827   234.727   242.981   246.076   255.877
2         2     240.565   253.705   266.005   1.44881   1.45721   1.29703   296.052   325.088   48.8363   236.576   244.313   249.214   257.467   261.852   270.105
2         3     243.134   256.439   268.704   1.43029   1.39632   1.45985   365.826    303.75   52.4141   239.187   247.053   251.954   259.949    263.56   272.716
2         4     251.106   264.486   276.775   1.43325   1.39054   1.29496   179.463   153.097    66.647    247.51   256.151    261.18   267.886   273.173     282.2
2         5     200.324   213.783   226.372   1.49847   1.36876    1.3396   455.389   250.458   49.2288   195.829   204.856   209.628   218.139   223.297   231.293
2         6     230.126    243.68   256.246    1.5127   1.41039   1.36629   366.424   207.129   80.3822   226.442   235.083   239.725   247.334   251.073   262.938
2         7     205.578   218.841   231.017   1.42268   1.38281   1.40407   238.989   506.574   46.9444   201.705   208.927   213.182   223.757   226.981   236.782
2         8     244.521    257.92   270.328   1.54323    1.4189    1.4593   535.041    352.56    116.84   239.863   249.664   252.501   262.947   264.107   276.874
2         9     236.539   249.679   261.903    1.4447   1.35083   1.28193   287.348   260.499   61.6915   233.026   240.893   246.438   253.402   258.044    268.49
2        10     216.145   229.371   241.657   1.39253   1.37226   1.26961   188.635   180.026   31.3929   212.671   221.311   225.954   233.949   237.818   246.071
2        11      222.92   236.244   248.601   1.47686   1.39915   1.31179   327.113   411.183   135.536   218.768   227.022   231.148   239.917   242.239   254.232
2        12     244.284   257.756   270.057   1.51223   1.28383   1.36875   368.615   92.0493   60.1171   240.155   248.795   254.598   262.465   265.689    276.65
2        13     240.438   253.764   266.185   1.41751   1.39075   1.51089   211.862   237.751   29.1652   236.798   244.406   249.693   258.076   262.073   269.295
2        14     249.319   262.882   275.336   1.53579   1.33746   1.34937   376.366   271.518   36.0777   244.992   253.632   259.049   267.302   272.202   279.811
2        15     232.696   245.825   258.151   1.42995   1.38234   1.20492   209.746   129.213   43.5664   229.187   237.827   241.696   250.981   253.947    263.49
3         0     407.973   430.588   451.261   2.06529   1.85375   2.26506   76.2876   9.50536   29.7197    404.44   414.112   428.039   435.519   445.965   459.376
3         1     396.796   419.174   440.341   2.01909   1.94957   1.96754    179.44   177.575   27.3765    392.86   402.919    415.17    424.97   437.092   446.893
3         2     424.862   447.241   468.262   2.11817   2.04703   2.10839   180.719   201.763   52.0541   420.602    431.95   443.041   454.647   464.448   474.893
3         3     382.397    404.77   425.732    1.9522   1.95827   2.09916   131.516   103.181   62.3414   379.149   388.305   400.784    410.39   421.008   432.385
3         4     412.447   434.812   455.888    2.0676   2.02063    1.8895   326.711   255.706   50.3078   408.312   417.726   429.719   441.326   452.158   462.733
3         5     415.311   437.291   458.169   1.91168   2.06538   2.12655   100.146   314.085   61.4955   412.247     420.5   431.977   442.552    452.74   465.893
3         6     404.382     426.9   447.939   2.16223   1.94612   2.01171   550.912   173.848   42.1639   398.925   410.274   422.783   433.615   443.932    454.12
3         7     450.606   472.994   494.192   2.11016   2.13897   2.24482   315.964   223.609   65.1474    446.02   456.724   467.814   479.807   489.479   499.022
3         8     422.523   444.943   466.117   2.19487   2.15472    2.2298   208.548   175.378   60.0679   417.505    429.24   439.814   450.518   461.221   472.183
3         9     425.753    447.84   468.959   1.99539   2.08362   2.02881   164.023   449.183   65.5558   421.602   431.403   442.235   453.712   464.545   476.796
