 *Fit function = par[0]+par[1]*x && y = a*x + b (y=Energy, x=Ch);  so I define a = par[1], b = par[0]
 *SSDNum  CHNum     par_a       Errpar_a          par_b        Errpar_b
    0      0      0.0839029     0.00046254       -5.66565      0.0601453
    0      1      0.0833872    0.000211456        -4.9725      0.0259091
    0      2       0.081433     0.00023455       -5.57039      0.0311499
    0      3      0.0810379    0.000173297       -5.14591      0.0222199
    0      4      0.0823205    0.000719687       -5.68949      0.0955902
    0      5      0.0801234    0.000456429       -5.62527      0.0619204
    0      6      0.0795474     0.00030702       -6.52846      0.0454376
    0      7      0.0793134    7.24713e-05       -5.59191      0.0099016
    0      8      0.0793124    0.000496365       -6.79386      0.0753382
    0      9      0.0779675    7.69719e-06       -4.98473     0.00100988
    0     10      0.0789262    0.000492074       -8.03663      0.0827987
    0     11      0.0821859    0.000762039       -5.34863      0.0982218
    0     12      0.0829127    0.000246118       -3.89928      0.0271442
    0     13      0.0779661    0.000329457       -6.01652      0.0475844
    0     14      0.0801702     0.00330922       -5.71977       0.452575
    0     15      0.0847189     0.00078126        -5.5794      0.0998158
    1      0      0.0844314    3.33975e-05       -5.80574     0.00437098
    1      1      0.0831573    0.000477271       -6.04484       0.064793
    1      2      0.0628169    0.000393746       -4.45176      0.0607802
    1      3      0.0637399    0.000197412       -4.03671      0.0287471
    1      4      0.0645571    0.000529777       -5.98045      0.0921148
    1      5      0.0623008    0.000259428       -5.27355      0.0437988
    1      6      0.0638324    0.000160252       -4.22454      0.0237734
    1      7      0.0631862    0.000605181       -4.96288      0.0977657
    1      8      0.0642121    0.000393263       -5.70624       0.067067
    1      9      0.0632951    0.000773377        -4.1107       0.114314
    1     10      0.0634642    0.000384009        -5.2871      0.0637251
    1     11      0.0637883    0.000206446       -5.53935      0.0349011
    1     12       0.062732    0.000152103       -4.17852      0.0228488
    1     13      0.0639936    0.000308753       -4.58492      0.0474261
    1     14      0.0650081    0.000280775       -6.29105      0.0498221
    1     15        0.06642    0.000411451       -6.28734      0.0714348
    2      0      0.0256875    0.000155851       -1.54391       0.041199
    2      1      0.0253345    0.000111855       -1.00004      0.0275817
    2      2      0.0257732    0.000111068       -1.21199      0.0278339
    2      3      0.0257624    0.000158009      -0.477162      0.0351116
    2      4      0.0258218    0.000179475       -0.90973      0.0427932
    2      5      0.0258802     9.5351e-05      -0.712181      0.0219567
    2      6      0.0251213    8.17653e-06      -0.733843     0.00194674
    2      7      0.0258684    0.000142117      -0.733966        0.03286
    2      8       0.025438    2.72935e-05       -1.17332     0.00688848
    2      9      0.0256848    0.000168613       -0.74224      0.0393194
    2     10      0.0259784    0.000148567      -0.702285       0.034025
    2     11      0.0258222    0.000134995        -1.1181      0.0332754
    2     12      0.0257712    0.000194564      -0.951192      0.0467948
    2     13      0.0257053    7.36103e-05      -0.756362      0.0171921
    2     14      0.0262313    0.000137524       -1.65962      0.0362069
    2     15      0.0257929     9.8645e-05      -0.490249      0.0219442
    3      0      0.0156944    8.30704e-05       -1.30997      0.0347046
    3      1      0.0156034    1.21945e-05       -1.19687     0.00503594
    3      2      0.0154217    7.17963e-05       -1.10669      0.0295794
    3      3      0.0154172    4.28681e-06      -0.920943     0.00171505
    3      4      0.0155773    3.27496e-05      -0.920109      0.0129659
    3      5      0.0157376    3.49522e-05       -1.19933      0.0143165
    3      6      0.0156249    6.81196e-05       -1.36736      0.0288351
    3      7        0.01544     4.2918e-05       -1.20534      0.0179348
    3      8      0.0156342     1.9376e-05       -1.23979     0.00803909
    3      9      0.0154938    8.94595e-06       -1.09817     0.00366359
    3     10      0.0155753    2.33076e-05       -1.36468     0.00989358
    3     11       0.015791     5.6422e-07       -1.30868    0.000234229
    3     12         0.0158    8.96556e-05       -1.44036      0.0379447
    3     13      0.0199589    4.21828e-05       -1.69059      0.0146612
    3     14      0.0201239    6.21639e-05       -1.75777      0.0216362
    3     15       0.015646    2.93571e-05       -1.42146      0.0125116
