*SSDNum  CHNum   mean1     mean2     mean3    sigma1    sigma2    sigma3     Chi21     Chi22     Chi23     Xmin1     Xmax1     Xmin2     Xmax2     Xmin3     Xmax3
0         0     254.988   269.383    281.88   3.72488   3.14252   3.07258   3.50511    9.8598   4.43423   250.515   259.705   264.571   276.465   277.366   292.323
0         1     248.293   262.396    276.36   3.87722   3.34048   2.64149    9.5659   7.49609   5.34103   242.695   254.408   257.832   266.843   272.069   285.764
0         2     240.767   254.498   267.467   3.97453   3.25238   3.29468   4.23255   6.52832   4.70764   237.218   245.327   248.931   259.383   263.888   277.044
0         3     274.663   288.985   302.216   3.72927   3.87848    2.7773   9.82038   9.43719   6.42698   272.038   279.967   284.472   294.564   297.987   309.341
0         4     234.654   248.423   261.307   3.56593   3.59185   2.97922   12.5726   12.7211   5.01668   229.977   239.338   244.919   255.361   257.521   274.624
0         5     270.907   285.311   296.549    3.9482   3.26614   3.64913   4.21086   6.91623   5.88026   266.477   277.639    282.32   290.421   294.202   313.285
0         6     274.673   288.623    301.44   3.75201     4.045   3.14411   6.90201   10.8383   14.0312   270.857   279.859   283.999   294.441   298.222   311.004
0         7     264.412   278.392   291.686   3.70392   3.57613    3.1144   6.08009   4.24824   4.08866   260.197   270.279    274.24   283.421   287.562   300.524
0         8     245.225   258.965   272.172   3.60751   3.35561   3.62175   5.42251   4.83015   10.5026   240.276   251.078   254.678     265.3   267.641   284.924
0         9     242.616   256.904   270.225   3.73551   3.93185   3.37112   4.65548   4.22159   18.1286   237.436   248.058   252.739    261.38   266.061   280.104
0        10     262.106   275.816   288.835   3.46173   3.56138   2.90697   14.3886   7.11706   9.39092   257.436   266.078   271.299   281.561   285.341   296.863
0        11     236.419   250.722    263.28   4.09043   3.64498   3.80699   9.14598   6.69231   3.47518   229.796   241.678   247.079   255.541   259.682   276.965
0        12     268.282   282.342   294.888   3.74963   3.41893   3.92187   5.59976   5.36062   9.27225   263.417   274.399   278.899   287.721   290.961   304.284
0        13     263.212   277.648   290.117   3.62242   3.41747   3.70357   10.4561    3.2694   14.8782   258.777   267.958   273.539   282.721   285.601   299.104
0        14     256.315   270.808   283.954   3.90142   4.03146   2.81326   1.45067   4.79503   4.17784   250.977   261.598   265.559   274.921   281.042   294.544
0        15      267.62   281.891    294.65   4.04163   3.39193   4.35125   11.9205   7.92203   1.65147   263.237   272.418   277.999   287.181   292.222   306.984
1         0     226.799   240.534   253.223   3.13945   2.97681   3.18067   8.98248   1.94471   2.34534   223.157   232.158   236.299    245.84   250.161   264.744
1         1     251.652   265.636   278.877   3.16333   3.14543   3.11985   6.49189   4.54054     6.351   246.877   258.219   262.539   271.541   275.502   290.084
1         2     239.102   253.434   266.638   3.43469   2.82183   2.49356   2.38156   3.39571   16.3817   234.837   244.199     249.6   258.061   264.182   276.965
1         3     247.051   261.175   274.328   3.17487   2.96884   2.98364   3.74429   6.62509   5.63698   243.377   253.279    257.42   268.042   271.282   284.244
1         4     257.484    271.73    284.98   3.18921   3.27009   2.87668    4.9876   2.21327    6.8928   253.737   262.379     267.6   277.502   281.822   298.025
1         5     231.948   245.688     259.5   3.33185   3.69183   3.05418   10.7647   15.7144   10.6197   226.217   238.639    242.06   252.682   257.362   269.784
1         6     261.254   275.465   288.163   3.09927   2.77093   3.47094   8.49065   7.16006   7.23977   255.777   266.759     271.8   280.261   284.222   297.184
1         7     257.098    271.33   284.031   3.66357   3.61363   3.05508   21.6544   5.33633   19.6598   252.037   263.919    267.34   277.961   281.022   296.865
1         8     251.071   265.374   277.132   3.37356   3.67805   4.62568   6.15877   5.41262   12.8795   246.798   254.719    261.02   270.742   273.803   289.285
1         9     261.528   275.729   288.332   3.38686   3.37192   4.25799   4.83777   5.13371   10.1647   257.377   266.739    271.78   280.601   285.462   299.685
1        10     254.587   269.486   281.298   4.41388   3.78295   4.82473   18.6202   10.0673    6.8259   249.857   261.559     265.7   275.241   279.022   301.166
1        11     253.452   267.764   280.971   3.70859   3.68667    4.5377   8.66606   7.06972    9.2802   249.418    259.32   263.821   274.082   278.223   294.246
1        12     244.743   258.898   270.858   4.09748     3.939   5.27165   4.87767   10.0117   17.1401   241.258   249.719    255.48   263.222   266.462   290.226
1        13     258.267   272.163   285.491   3.40768   4.71881   4.84092   3.89615   7.61558   10.7147   254.818   262.739    267.06   278.042   281.822   294.064
1        14     240.477   254.599   267.531    3.2087    2.9974   2.95058   6.01414   4.75062    14.838   236.657   246.019    250.34   259.701   263.482   276.804
1        15     236.547     250.3   264.099   3.68958   3.30444   2.66086   6.42309   6.02014   4.10605   232.237   242.318   246.639   257.801   259.601   278.865
2         0      231.91   245.464   257.931   1.74518   1.37605   1.40712   28.0883   1.10337   2.85512    228.22   236.602   242.534   248.982   255.172   263.683
2         1     237.234   250.965   263.286   1.63208   1.46568   1.47336   13.6425   1.90286   5.70925   234.217   241.568    248.79   254.077   261.427   267.617
2         2     237.172   250.612   263.347   1.40539   1.44634   1.44695    6.3554   9.59764   3.74439   234.636   240.568   247.532   254.753   260.814   270.486
2         3     242.465   256.019   268.768   1.69045   1.42682   1.44556   51.2037   13.2707   4.95919   238.412    247.31   252.855   260.335   266.009   275.294
2         4     242.791   256.472   269.392   1.72552   1.57541   1.28948   58.1375    33.381   4.68883   238.478    246.86   253.179   261.303    266.59   274.844
2         5     251.489   264.941   277.159   1.60227   1.41581   1.33832   38.8977   18.9775   1.91042   247.864   256.634   262.437   268.627   275.461   282.812
2         6     255.032   268.582   281.298   1.54883   1.44592    1.3997   18.4004   10.7279   4.41738   252.023   258.858   265.176   272.656   278.846   285.681
2         7     262.916   276.429   288.964   1.63214   1.54268   1.61551   44.2947   14.4861   7.04955   259.315   266.923   273.113   280.464    285.88   294.907
2         8     241.283   254.645   267.517   1.57819   1.49508   1.32615   23.5733    42.446   4.82776   237.575   245.699   250.986   258.724   265.688   274.328
2         9     237.884   251.291   263.548      1.57   1.54036   1.73291   5.29476   17.7734   11.8019   234.799   242.278   248.468   254.916   260.332   272.326
2        10     260.641   274.192   286.619   1.65422    1.5007   1.60345   11.7372   9.80434   3.59214   257.896   264.989   271.824     278.4   283.559   296.455
2        11     247.291    261.05   273.763   1.87378   1.62242   1.63634   25.0915   15.3543   11.6988   243.475   252.502   258.434   265.785   270.427   283.065
2        12     252.579   266.074    278.76   1.66103   1.58999   1.46033   33.5556   43.4668   4.08884   249.251   256.344   262.276   271.174   275.559   285.746
2        13     249.524   263.172   275.748   1.58092   1.43155   1.55238    17.894   24.8843   5.02025   246.152   253.115   260.208   266.785   272.717   282.389
2        14     261.985   275.319   287.835   1.72274   1.54054   1.64355    45.774   56.1925    11.823   258.122   265.473   271.405   278.885   285.075   296.681
2        15     239.309   252.925   265.424   1.74858   1.58016   1.79837   11.9351   12.0819    1.8988   235.281   243.921   249.337    257.59   261.975   271.905
3         0           0         0         0         0         0         0         0         0         0   334.256   345.438   351.415   365.297   369.538   384.577
3         1     311.405   328.621   345.091   1.73384    1.8068   1.47161   14.5368    34.379   12.2741   308.667   317.343   325.441   336.045   342.985   358.024
3         2      328.65    346.71    363.74   1.88718   1.87647   1.91771   44.1521   33.8734   10.4157   324.536   334.176   342.659   352.685   359.818   373.121
3         3     314.562    331.69   348.259   1.82185   1.82237   1.61968   51.2742   83.1744   6.16859   310.896   319.186   326.706   339.045   345.214   357.361
3         4     329.235   346.485       363    1.7737   1.69276   1.70352   30.9214   17.9764   2.18118   325.896   334.958    342.67   351.346   360.021   371.397
3         5     315.004   332.449   349.379   1.90885   1.95356   1.62622   28.1146   55.3625   8.03261   310.945   318.271   328.104   337.358   346.227   356.831
3         6     324.525   342.872   359.937   1.88681   1.66265   1.77829   18.4031   7.72685   8.49102    320.85   328.947   340.129   347.263   357.481   370.013
3         7     317.871   335.529   352.326   1.94967   1.96177   1.75825   106.693   42.7875   25.8134   312.559   322.585   331.454   341.865   348.613   361.723
3         8     317.202   334.975   351.985   1.68243   1.76118   1.77169   35.8192   13.2618   2.74138   314.343   323.019   331.695   340.949   348.661   359.458
3         9     303.937   321.175   337.508   1.79145   1.69097   1.85215   82.9664   28.4421   6.74144   300.233   310.644   318.163   329.538   333.973   346.119
3        10     335.786   353.049   369.503   1.70227   1.76429   1.89361   17.2726    54.296   9.95765   332.824   341.114   349.019   360.394   365.793   381.024
3        11     307.971   325.111   341.324   1.84067    1.6359   1.62797   89.7491      27.8  0.162555   303.847   314.837   321.778   330.839   338.551   351.661
3        12     345.857   364.112   381.319   1.90996   1.72619   1.62516   52.8241   14.1171   19.9359    342.15   350.441   360.659   369.142   377.818   392.471
3        13     315.993   333.316   349.626    1.7033   1.71601   1.77508   16.5294   22.7714   13.2613    312.86   320.186   330.019    338.31   346.021    359.71
3        14     312.383   329.797   345.907   1.85405   1.65174   1.81359   28.3819   20.8229   17.7419   308.968   318.415   327.284   333.068   341.551   355.818
3        15     306.398   323.731    339.92   1.71543   1.60834   1.86553   47.1701   28.1713   8.94081   302.775   312.608   319.934    331.31   335.744   348.276
