 *Fit function = par[0]+par[1]*x && y = a*x + b (y=Energy, x=Ch);  so I define a = par[1], b = par[0]
 *SSDNum  CHNum     par_a       Errpar_a          par_b        Errpar_b
    0      0      0.0555707    0.000380831       -5.35493      0.0726393
    0      1      0.0557512    1.42613e-05       -2.47978     0.00197625
    0      2      0.0563097    8.69317e-05       -4.53748      0.0151021
    0      3      0.0562075    0.000501298       -2.59404      0.0699214
    0      4      0.0560334    0.000131861       -3.37532      0.0202868
    0      5      0.0565533    0.000296938       -2.70434      0.0417426
    0      6      0.0561857    0.000276181       -4.51975      0.0479981
    0      7       0.056501    0.000219971       -2.49032      0.0301187
    0      8      0.0571252    0.000590211       -4.74985       0.103263
    0      9      0.0562665    0.000202393       -4.52356      0.0351375
    0     10      0.0559847    0.000585629       -4.62086         0.1032
    0     11      0.0570403    0.000491805       -4.59901      0.0848743
    0     12      0.0564702    0.000625466        -3.1725      0.0932378
    0     13      0.0557291    2.74126e-05       -4.12062     0.00460688
    0     14      0.0563639    0.000122644       -6.74579      0.0260893
    0     15      0.0561592    4.70226e-05       -3.74948     0.00753133
    1      0      0.0457703    0.000203955        -5.1997      0.0465404
    1      1      0.0458862    0.000234482       -2.08351       0.037455
    1      2      0.0467646    0.000205729        -3.5814      0.0388307
    1      3      0.0460058      0.0001109       -3.17506      0.0202982
    1      4       0.045788    0.000181425       -2.39608      0.0302798
    1      5      0.0475629    0.000143318       -2.63987      0.0237614
    1      6      0.0463676    0.000671429       -2.36907        0.11027
    1      7      0.0494459    0.000966475       -2.73619       0.156016
    1      8      0.0455535    6.71971e-05       -2.12017      0.0108662
    1      9      0.0462003    2.25173e-05       -3.53894     0.00428131
    1     10      0.0456251    0.000117835       -3.81396      0.0233968
    1     11      0.0466325    0.000190572       -3.50205      0.0357477
    1     12      0.0470128    8.74271e-05       -4.18692        0.01754
    1     13      0.0465997    7.72792e-05       -3.13705      0.0139013
    1     14       0.047303     0.00028044       -2.99322      0.0488445
    1     15       0.047134    0.000347709       -3.14768      0.0619168
    2      0      0.0264627    0.000264594       -1.24501      0.0649101
    2      1      0.0259167    0.000202068      -0.935365      0.0482035
    2      2      0.0263135    0.000108016       -1.43049      0.0274093
    2      3      0.0261967    1.76971e-05       -1.47409     0.00454014
    2      4      0.0258699    8.11362e-05       -1.59688       0.021463
    2      5       0.025694     0.00015867      -0.249061      0.0339455
    2      6      0.0256278    6.55509e-05      -0.999554      0.0159775
    2      7      0.0261052    0.000234186        -0.4669      0.0512636
    2      8      0.0258489    0.000125054       -1.42466      0.0322749
    2      9      0.0265095    3.57559e-05       -1.37292     0.00892851
    2     10      0.0260244     0.00016934      -0.722802      0.0388473
    2     11      0.0260933    1.97632e-05      -0.918135     0.00466959
    2     12      0.0259077     3.7327e-05       -1.43062     0.00962038
    2     13      0.0259477     7.4918e-05       -1.33801      0.0190119
    2     14      0.0257099    0.000247713       -1.51265      0.0651246
    2     15      0.0262122    0.000221497       -1.19865      0.0544652
    3      0      0.0152541    2.34787e-05        -1.3187      0.0101054
    3      1       0.015459    8.75116e-05       -1.23389      0.0366864
    3      2      0.0152786      3.404e-05       -1.58979      0.0152309
    3      3      0.0154276    2.94831e-05      -0.998067      0.0119348
    3      4      0.0153634    2.19284e-05       -1.43469     0.00953639
    3      5      0.0155254    2.91094e-05        -1.5455      0.0127348
    3      6      0.0154047    2.46627e-05       -1.33107      0.0105309
    3      7      0.0152861    3.55448e-05       -1.98975      0.0168258
    3      8      0.0151881    2.64615e-05       -1.51563      0.0117815
    3      9      0.0153138    6.36624e-05       -1.61697      0.0285327
    3     10      0.0153477    2.00535e-05       -1.59624     0.00894082
    3     11      0.0156385    0.000157306       -1.40325      0.0668906
    3     12      0.0153755    1.33655e-05       -1.44506     0.00581693
    3     13      0.0154723     4.6913e-05       -1.51192      0.0204921
    3     14      0.0157962    4.57925e-05        -1.2723      0.0188985
    3     15      0.0153716    7.60667e-05       -1.32213      0.0325062
