 *Fit function = par[0]+par[1]*x && y = a*x + b (y=Energy, x=Ch);  so I define a = par[1], b = par[0]
 *SSDNum  CHNum     par_a       Errpar_a          par_b        Errpar_b
    0      0      0.0824963    5.27892e-05       -5.49072     0.00686947
    0      1      0.0835924    0.000376626       -4.99803      0.0461487
    0      2      0.0791285     0.00015993       -5.26699      0.0212454
    0      3      0.0832824    0.000193259       -5.44339      0.0248017
    0      4      0.0816874     0.00184441       -5.60864       0.245052
    0      5      0.0800277     0.00109954       -5.61579       0.149215
    0      6      0.0784775    0.000865198       -6.37663       0.128118
    0      7      0.0792311     0.00079222       -5.58511       0.108284
    0      8      0.0795877    0.000366728       -6.83711      0.0556685
    0      9       0.078007    0.000765482       -4.99352       0.100468
    0     10      0.0784382    0.000127138       -7.95862      0.0213995
    0     11      0.0809012    0.000521873       -5.19252      0.0673273
    0     12       0.083203    0.000282472       -3.92921      0.0311466
    0     13      0.0789016    0.000373928       -6.15719      0.0540337
    0     14      0.0787127    0.000316809       -5.49707      0.0432337
    0     15      0.0857743     0.00192519       -5.72615       0.246233
    1      0      0.0806662    0.000171155        -5.3218      0.0224195
    1      1      0.0811485    0.000471873       -5.77692      0.0640885
    1      2      0.0627619    2.73781e-05       -4.44843     0.00422844
    1      3      0.0639436    5.28533e-05       -4.07179     0.00770095
    1      4      0.0649688     0.00067109       -6.05292       0.116694
    1      5      0.0621148    0.000603877       -5.24638       0.101993
    1      6      0.0637804    0.000119394       -4.22069      0.0177193
    1      7      0.0638094    0.000332741       -5.06684      0.0537705
    1      8      0.0644536    0.000138002       -5.75113      0.0235428
    1      9      0.0634163    0.000279998       -4.12953      0.0413909
    1     10      0.0641502     0.00031091       -5.40094      0.0515943
    1     11      0.0634141    3.36631e-05       -5.48534     0.00569591
    1     12      0.0625115    0.000614378       -4.14982      0.0923348
    1     13      0.0638611    6.59215e-05       -4.56476      0.0101261
    1     14      0.0648651    0.000460038       -6.27098      0.0816689
    1     15      0.0668722    0.000486805       -6.36722      0.0845273
    2      0      0.0257581    8.29515e-05       -1.56336      0.0219306
    2      1      0.0253068    0.000128954       -0.99508      0.0318073
    2      2      0.0256822    4.00497e-05       -1.19069      0.0100389
    2      3       0.025714    0.000150274      -0.469357        0.03341
    2      4      0.0258206    0.000201832      -0.911615      0.0481409
    2      5      0.0259759     0.00013463        -0.7377      0.0310194
    2      6      0.0251635    2.50915e-05      -0.746477     0.00597658
    2      7      0.0256692    0.000119676      -0.692133      0.0276912
    2      8      0.0254543    3.32599e-05       -1.17755     0.00839448
    2      9      0.0257194    0.000111668      -0.751849      0.0260468
    2     10      0.0259559    0.000188816      -0.700301       0.043266
    2     11      0.0257359    0.000135975       -1.10281      0.0335487
    2     12      0.0256106    2.05567e-05       -0.91505     0.00494613
    2     13      0.0256897     8.5196e-05      -0.755731       0.019908
    2     14      0.0263831    1.05055e-06       -1.70575     0.00027683
    2     15      0.0256505    0.000141174      -0.462119      0.0314248
    3      0      0.0155634    0.000113267       -1.25749      0.0473367
    3      1      0.0155937    5.63603e-06       -1.19694     0.00232897
    3      2      0.0153368    6.47998e-05       -1.07218       0.026699
    3      3      0.0154229    2.55307e-05      -0.928018      0.0102221
    3      4      0.0154731        4.8e-05      -0.883542      0.0190183
    3      5      0.0156433    3.80981e-05       -1.16407      0.0156133
    3      6      0.0154872    6.17418e-05       -1.31193      0.0261471
    3      7      0.0152011    4.38259e-05       -1.10919      0.0183251
    3      8      0.0155254    2.57289e-05       -1.19755      0.0106797
    3      9       0.015346    4.29267e-05       -1.04582      0.0176026
    3     10      0.0155088    6.17676e-05       -1.34162      0.0262396
    3     11       0.015783    9.98182e-05       -1.30857      0.0414585
    3     12      0.0156255    1.69368e-05       -1.37301     0.00717519
    3     13       0.020064     3.0516e-06       -1.73134     0.00106127
    3     14      0.0201678    3.68239e-05          -1.78      0.0128292
    3     15       0.015555    5.62348e-05       -1.38758      0.0239843
