*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.133538  	0.001000	0.0725795 	0.001000	0.115771  	0.001000	0.115771  	0.001000	0.0371848 	0.001000	0.0353947
0.002000	0.155046  	0.002000	0.0819139 	0.002000	0.129916  	0.002000	0.129916  	0.002000	0.0544417 	0.002000	0.0274722
0.005000	0.217215  	0.005000	0.107417  	0.005000	0.158478  	0.005000	0.158478  	0.005000	0.0901153 	0.005000	0.0173016
0.008000	0.269623  	0.008000	0.129742  	0.008000	0.179463  	0.008000	0.179463  	0.008000	0.116698  	0.008000	0.013044
0.010000	0.300831  	0.010000	0.143244  	0.010000	0.191245  	0.010000	0.191245  	0.010000	0.131937  	0.010000	0.0113078
0.015000	0.35319   	0.015000	0.176181  	0.015000	0.219184  	0.015000	0.219184  	0.015000	0.167565  	0.015000	0.00861562
0.020000	0.394258  	0.020000	0.216311  	0.020000	0.255337  	0.020000	0.255337  	0.020000	0.209333  	0.020000	0.00697763
0.025000	0.438942  	0.025000	0.254764  	0.025000	0.290223  	0.025000	0.290223  	0.025000	0.248819  	0.025000	0.00594499
0.030000	0.475172  	0.030000	0.290645  	0.030000	0.319496  	0.030000	0.319496  	0.030000	0.285444  	0.030000	0.00520124
0.035000	0.504153  	0.035000	0.323182  	0.035000	0.346267  	0.035000	0.346267  	0.035000	0.318544  	0.035000	0.00463727
0.040000	0.526385  	0.040000	0.352837  	0.040000	0.370637  	0.040000	0.370637  	0.040000	0.348644  	0.040000	0.00419334
0.045000	0.542227  	0.045000	0.379518  	0.045000	0.392701  	0.045000	0.392701  	0.045000	0.375684  	0.045000	0.00383383
0.050000	0.55213   	0.050000	0.403227  	0.050000	0.412559  	0.050000	0.412559  	0.050000	0.399691  	0.050000	0.00353612
0.055000	0.574097  	0.055000	0.424051  	0.055000	0.430322  	0.055000	0.430322  	0.055000	0.420766  	0.055000	0.0032851
0.060000	0.592362  	0.060000	0.442137  	0.060000	0.44611   	0.060000	0.44611   	0.060000	0.439067  	0.060000	0.00307031
0.070000	0.618971  	0.070000	0.470892  	0.070000	0.472269  	0.070000	0.472269  	0.070000	0.468171  	0.070000	0.00272122
0.080000	0.647496  	0.080000	0.491257  	0.080000	0.492089  	0.080000	0.492089  	0.080000	0.488808  	0.080000	0.00244893
0.090000	0.668055  	0.090000	0.505029  	0.090000	0.50661   	0.090000	0.50661   	0.090000	0.502799  	0.090000	0.00223004
0.100000	0.683232  	0.100000	0.513808  	0.100000	0.516801  	0.100000	0.516801  	0.100000	0.511758  	0.100000	0.00204987
0.120000	0.692869  	0.120000	0.527748  	0.120000	0.527502  	0.120000	0.527502  	0.120000	0.525978  	0.120000	0.00176999
0.140000	0.694544  	0.140000	0.532886  	0.140000	0.529582  	0.140000	0.529582  	0.140000	0.531324  	0.140000	0.0015619
0.160000	0.694602  	0.160000	0.534401  	0.160000	0.526661  	0.160000	0.526661  	0.160000	0.533     	0.160000	0.0014006
