*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - Range straggling - method [0] - LISE	Energy (MeV/u)6	5 - Range straggling - method [1] - Atima	Energy (MeV/u)7	6 - Lateral range - method [0] - LISE	Energy (MeV/u)8	7 - Lateral range - method [1] - Atima	Energy (MeV/u)9	8 - Lateral range - method [2] - PDG
0.001000	0.203535  	0.001000	0.203535  	0.001000	0.222101  	0.001000	0.222101  	0.001000	0         	0.001000	0         	0.001000	0.00172061	0.001000	0.00249167	0.001000	0.00155958
0.002000	0.41019   	0.002000	0.40707   	0.002000	0.444201  	0.002000	0.444201  	0.002000	0.0437856 	0.002000	0.0437856 	0.002000	0.00504228	0.002000	0.00705805	0.002000	0.0046674
0.005000	0.776791  	0.005000	0.768135  	0.005000	0.842015  	0.005000	0.842015  	0.005000	0.047442  	0.005000	0.047442  	0.005000	0.0126405 	0.005000	0.0174512 	0.005000	0.0117797
0.008000	1.01898   	0.008000	1.00667   	0.008000	1.10622   	0.008000	1.10622   	0.008000	0.0474907 	0.008000	0.0474907 	0.008000	0.01855   	0.008000	0.0246931 	0.008000	0.0173522
0.010000	1.15067   	0.010000	1.13637   	0.010000	1.25013   	0.010000	1.25013   	0.010000	0.0476284 	0.010000	0.0476284 	0.010000	0.0221506 	0.010000	0.0285439 	0.010000	0.0207572
0.015000	1.42102   	0.015000	1.40264   	0.015000	1.54879   	0.015000	1.54879   	0.015000	0.048198  	0.015000	0.048198  	0.015000	0.0305532 	0.015000	0.0365957 	0.015000	0.0288948
0.020000	1.64561   	0.020000	1.62384   	0.020000	1.79497   	0.020000	1.79497   	0.020000	0.0488613 	0.020000	0.0488613 	0.020000	0.0378359 	0.020000	0.0435777 	0.020000	0.0363563 	
0.025000	1.84273   	0.025000	1.81798   	0.025000	2.00877   	0.025000	2.00877   	0.025000	0.0495098 	0.025000	0.0495098 	0.025000	0.0444303 	0.025000	0.0499854 	0.025000	0.0430756
0.030000	2.01991   	0.030000	1.99248   	0.030000	2.19113   	0.030000	2.19113   	0.030000	0.050035  	0.030000	0.050035  	0.030000	0.0503881 	0.030000	0.055796  	0.030000	0.049118
0.035000	2.18209   	0.035000	2.15222   	0.035000	2.34957   	0.035000	2.34957   	0.035000	0.050453  	0.035000	0.050453  	0.035000	0.0558854 	0.035000	0.0611269 	0.035000	0.0546627
0.040000	2.33283   	0.040000	2.30068   	0.040000	2.49533   	0.040000	2.49533   	0.040000	0.0508317 	0.040000	0.0508317 	0.040000	0.0611674 	0.040000	0.0662469 	0.040000	0.0600001
0.045000	2.47466   	0.045000	2.44037   	0.045000	2.63298   	0.045000	2.63298   	0.045000	0.0511921 	0.045000	0.0511921 	0.045000	0.0663752 	0.045000	0.0712658 	0.045000	0.0652559
0.050000	2.60944   	0.050000	2.57311   	0.050000	2.7646    	0.050000	2.7646    	0.050000	0.0515409 	0.050000	0.0516069 	0.050000	0.0714847 	0.050000	0.076211  	0.050000	0.0704164
0.055000	2.73853   	0.055000	2.70025   	0.055000	2.89134   	0.055000	2.89134   	0.055000	0.0518802 	0.055000	0.0520376 	0.055000	0.0765691 	0.055000	0.0811385 	0.055000	0.0755487
0.060000	2.86296   	0.060000	2.8228    	0.060000	3.014     	0.060000	3.014     	0.060000	0.0522115 	0.060000	0.0524474 	0.060000	0.0816307 	0.060000	0.0860663 	0.060000	0.0806553
0.070000	3.10092   	0.070000	3.05716   	0.070000	3.24936   	0.070000	3.24936   	0.070000	0.0528538 	0.070000	0.0532175 	0.070000	0.0911031 	0.070000	0.0953855 	0.070000	0.0901993
0.080000	3.32793   	0.080000	3.28075   	0.080000	3.47436   	0.080000	3.47436   	0.080000	0.0534761 	0.080000	0.0539388 	0.080000	0.099944  	0.080000	0.104176  	0.080000	0.0991001
0.090000	3.54707   	0.090000	3.49658   	0.090000	3.69166   	0.090000	3.69166   	0.090000	0.0540855 	0.090000	0.0546266 	0.090000	0.108214  	0.090000	0.112442  	0.090000	0.107405
0.100000	3.76048   	0.100000	3.70677   	0.100000	3.90321   	0.100000	3.90321   	0.100000	0.0546885 	0.100000	0.055292  	0.100000	0.115705  	0.100000	0.120019  	0.100000	0.11491
0.120000	4.17604   	0.120000	4.11605   	0.120000	4.31466   	0.120000	4.31466   	0.120000	0.0558954 	0.120000	0.0565876 	0.120000	0.129492  	0.120000	0.134064  	0.120000	0.128723
0.140000	4.58325   	0.140000	4.51711   	0.140000	4.71715   	0.140000	4.71715   	0.140000	0.05713   	0.140000	0.0578732 	0.140000	0.141823  	0.140000	0.1467    	0.140000	0.141055
0.160000	4.98751   	0.160000	4.91527   	0.160000	5.11602   	0.160000	5.11602   	0.160000	0.0584161 	0.160000	0.0591792 	0.160000	0.152724  	0.160000	0.157951  	0.160000	0.151948
0.180000	5.39238   	0.180000	5.31403   	0.180000	5.51485   	0.180000	5.51485   	0.180000	0.0597717 	0.180000	0.0605261 	0.180000	0.16218   	0.180000	0.167803  	0.180000	0.16139
