*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - Range straggling - method [0] - LISE	Energy (MeV/u)6	5 - Range straggling - method [1] - Atima	Energy (MeV/u)7	6 - Lateral range - method [0] - LISE	Energy (MeV/u)8	7 - Lateral range - method [1] - Atima	Energy (MeV/u)9	8 - Lateral range - method [2] - PDG	
0.001000	0.100648  	0.001000	0.100648  	0.001000	0.0959679 	0.001000	0.0959679 	0.001000	0         	0.001000	0         	0.001000	0.000467712	0.001000	0.00070712	0.001000	0.000412082
0.002000	0.218513  	0.002000	0.201297  	0.002000	0.191936  	0.002000	0.191936  	0.002000	0.0182427 	0.002000	0.0182427 	0.002000	0.00136997	0.002000	0.00200133	0.002000	0.00123769
0.005000	0.463328  	0.005000	0.410353  	0.005000	0.397753  	0.005000	0.397753  	0.005000	0.0205221 	0.005000	0.0205221 	0.005000	0.00398666	0.005000	0.00569793	0.005000	0.00365432
0.008000	0.643543  	0.008000	0.564244  	0.008000	0.553813  	0.008000	0.553813  	0.008000	0.0205775 	0.008000	0.0205775 	0.008000	0.00643253	0.008000	0.00908487	0.008000	0.00593994
0.010000	0.745487  	0.010000	0.651298  	0.010000	0.643538  	0.010000	0.643538  	0.010000	0.0207515 	0.010000	0.0207515 	0.010000	0.00801825	0.010000	0.0112624 	0.010000	0.00742869
0.015000	0.962302  	0.015000	0.836444  	0.015000	0.837394  	0.015000	0.837394  	0.015000	0.0215526 	0.015000	0.0215526 	0.015000	0.011901  	0.015000	0.0164793 	0.015000	0.0110879
0.020000	1.14426   	0.020000	0.991824  	0.020000	1.00291   	0.020000	1.00291   	0.020000	0.0225534 	0.020000	0.0225534 	0.020000	0.0157028 	0.020000	0.0211573 	0.020000	0.0146839
0.025000	1.30379   	0.025000	1.12806   	0.025000	1.14982   	0.025000	1.14982   	0.025000	0.0235652 	0.025000	0.0235652 	0.025000	0.0194665 	0.025000	0.0254147 	0.025000	0.018253
0.030000	1.44841   	0.030000	1.25155   	0.030000	1.27726   	0.030000	1.27726   	0.030000	0.024403  	0.030000	0.024403  	0.030000	0.0230512 	0.030000	0.0292049 	0.030000	0.0216526
0.035000	1.58158   	0.035000	1.36527   	0.035000	1.38915   	0.035000	1.38915   	0.035000	0.0250767 	0.035000	0.0250767 	0.035000	0.0264652 	0.035000	0.0325949 	0.035000	0.0248898
0.040000	1.70563   	0.040000	1.4712    	0.040000	1.49263   	0.040000	1.49263   	0.040000	0.0256858 	0.040000	0.0256858 	0.040000	0.0297911 	0.040000	0.0357677 	0.040000	0.028105
0.045000	1.82262   	0.045000	1.57109   	0.045000	1.59053   	0.045000	1.59053   	0.045000	0.0262597 	0.045000	0.0262597 	0.045000	0.0328424 	0.045000	0.0388088 	0.045000	0.0313551
0.050000	1.93381   	0.050000	1.66605   	0.050000	1.68409   	0.050000	1.68409   	0.050000	0.0268062 	0.050000	0.0267727 	0.050000	0.0358354 	0.050000	0.0417493 	0.050000	0.0345148
0.055000	2.04017   	0.055000	1.75687   	0.055000	1.77403   	0.055000	1.77403   	0.055000	0.0273281 	0.055000	0.0272366 	0.055000	0.0387729 	0.055000	0.0446136 	0.055000	0.0374466
0.060000	2.14246   	0.060000	1.84422   	0.060000	1.86083   	0.060000	1.86083   	0.060000	0.0278274 	0.060000	0.0276739 	0.060000	0.0416621 	0.060000	0.047413  	0.060000	0.0403512
0.070000	2.33721   	0.070000	2.01053   	0.070000	2.02659   	0.070000	2.02659   	0.070000	0.0287661 	0.070000	0.0284829 	0.070000	0.0473111 	0.070000	0.0528845 	0.070000	0.0460469
0.080000	2.52177   	0.080000	2.16812   	0.080000	2.18396   	0.080000	2.18396   	0.080000	0.0296392 	0.080000	0.0292241 	0.080000	0.0528235 	0.080000	0.0582571 	0.080000	0.0516168
