*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - Range straggling - method [0] - LISE	Energy (MeV/u)6	5 - Range straggling - method [1] - Atima	Energy (MeV/u)7	6 - Lateral range - method [0] - LISE	Energy (MeV/u)8	7 - Lateral range - method [1] - Atima	Energy (MeV/u)9	8 - Lateral range - method [2] - PDG	
0.001000	0.0425675 	0.001000	0.0425675 	0.001000	0.0387331 	0.001000	0.0387331 	0.001000	0         	0.001000	0         	0.001000	8.20545e-05	0.001000	0.000133944	0.001000	6.05173e-05
0.002000	0.086655  	0.002000	0.0851351 	0.002000	0.0774663 	0.002000	0.0774663 	0.002000	0.00637052	0.002000	0.00637052	0.002000	0.000240284	0.002000	0.000378905	0.002000	0.000184773
0.005000	0.199212  	0.005000	0.193811  	0.005000	0.176601  	0.005000	0.176601  	0.005000	0.00754621	0.005000	0.00754621	0.005000	0.000831682	0.005000	0.00126747	0.005000	0.000662988
0.008000	0.295868  	0.008000	0.287136  	0.008000	0.26224   	0.008000	0.26224   	0.008000	0.00759726	0.008000	0.00759726	0.008000	0.00150296	0.008000	0.00225105	0.008000	0.00121809
0.010000	0.354726  	0.010000	0.343965  	0.010000	0.314634  	0.010000	0.314634  	0.010000	0.00777816	0.010000	0.00777816	0.010000	0.00197602	0.010000	0.00293598	0.010000	0.00161316
0.015000	0.488138  	0.015000	0.472777  	0.015000	0.434177  	0.015000	0.434177  	0.015000	0.00871649	0.015000	0.00871649	0.015000	0.00321285	0.015000	0.00470755	0.015000	0.00265487
0.020000	0.59883   	0.020000	0.579653  	0.020000	0.536737  	0.020000	0.536737  	0.020000	0.00980687	0.020000	0.00980687	0.020000	0.00441972	0.020000	0.00642495	0.020000	0.00367634
0.025000	0.691173  	0.025000	0.668812  	0.025000	0.625078  	0.025000	0.625078  	0.025000	0.0107565 	0.025000	0.0107565 	0.025000	0.00555145	0.025000	0.00803093	0.025000	0.00463624
0.030000	0.77096   	0.030000	0.745848  	0.030000	0.703327  	0.030000	0.703327  	0.030000	0.0115588 	0.030000	0.0115588 	0.030000	0.00662312	0.030000	0.00954774	0.030000	0.005547
0.035000	0.841798  	0.035000	0.814244  	0.035000	0.774361  	0.035000	0.774361  	0.035000	0.0122488 	0.035000	0.0122488 	0.035000	0.00765391	0.035000	0.0110028 	0.035000	0.00642483
